post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel os oppressed.,I feel os oppressed.,I feel so oppressed.,ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I efel so oppressed.,I efel so oppressed.,I feel so oppressed.,ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go to college alone without ym family ro any uspport Im gonna end up killing myself....Im barely keepign my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without ym family ro any uspport Im gonna end up killing myself....Im barely keepign my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
I acnt stop crying.,I acnt stop crying.,I cant stop crying.,ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I cant tsop crying.,I cant tsop crying.,I cant stop crying.,ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
"tI was only ltaer after my second boyfriend, I realized I cannot feel sexual attractino (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes ot the sex part.","tI was only ltaer after my second boyfriend, I realized I cannot feel sexual attractino (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes ot the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_neighbor,ANHEDONIA,0,s_716_26_15
"It wsa only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexula due to the fact that I ujst get disgusted with myself when it comes to the sxe part.","It wsa only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexula due to the fact that I ujst get disgusted with myself when it comes to the sxe part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_neighbor,ANHEDONIA,0,s_716_26_15
I do'nt like me.,I do'nt like me.,I don't like me.,ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I don't liek me.,I don't liek me.,I don't like me.,ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I've cired.,I've cired.,I've cried.,ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I've rcied.,I've rcied.,I've cried.,ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I began ot cry.,I began ot cry.,I began to cry.,ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I began to rcy.,I began to rcy.,I began to cry.,ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I hadrly sleep.,I hadrly sleep.,I hardly sleep.,ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I ahrdly sleep.,I ahrdly sleep.,I hardly sleep.,ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I am very asd.,I am very asd.,I am very sad.,ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I ma very sad.,I ma very sad.,I am very sad.,ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
