post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feek so oppressed.,I feek so oppressed.,I feel so oppressed.,ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I feel si oppressed.,I feel si oppressed.,I feel so oppressed.,ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go to college alone without my familu or any support Im gonna end up killing myself....Im harely keeping ky self alive now, I can't imagine being all by myself and dealing with ky thoughts and emotions!","I 100% know that if I have to go to college alone without my familu or any support Im gonna end up killing myself....Im harely keeping ky self alive now, I can't imagine being all by myself and dealing with ky thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I have to go to college alone without my family pr any support Im gonna end up killing myself....Im bwrely keeping my self alive now, I can't imagine being all by mtself and dealing with my thoughts and emitions!","I 100% know that if I have to go to college alone without my family pr any support Im gonna end up killing myself....Im bwrely keeping my self alive now, I can't imagine being all by mtself and dealing with my thoughts and emitions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant stop cryind.,I cant stop cryind.,I cant stop crying.,ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I cant stop cryihg.,I cant stop cryihg.,I cant stop crying.,ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I don't like ke.,I don't like ke.,I don't like me.,ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I dkn't like me.,I dkn't like me.,I don't like me.,ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I've vried.,I've vried.,I've cried.,ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I've cgied.,I've cgied.,I've cried.,ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
