post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fee so oppresed.,I fee so oppresed.,I feel so oppressed.,nlp_randchar_del,WORTHLESSNESS,0,s_1955_1069_2
I fel so oppressd.,I fel so oppressd.,I feel so oppressed.,nlp_randchar_del,WORTHLESSNESS,0,s_1955_1069_2
I hte tat i am cryig rn.,I hte tat i am cryig rn.,I hate that i am crying rn.,nlp_randchar_del,DEPRESSED_MOOD,1,s_321_219_4
I hae hat i am cryng rn.,I hae hat i am cryng rn.,I hate that i am crying rn.,nlp_randchar_del,DEPRESSED_MOOD,1,s_321_219_4
"I ' m so indecisie, if I was in our boot I ' d neer be abe to decie.","I ' m so indecisie, if I was in our boot I ' d neer be abe to decie.","I'm so indecisive, if I was in your boots I'd never be able to decide.",nlp_randchar_del,COGNITIVE_ISSUES,1,s_1997_963_1
"I ' m so indcisive, if I was in yor bots I ' d neer be abe to ecide.","I ' m so indcisive, if I was in yor bots I ' d neer be abe to ecide.","I'm so indecisive, if I was in your boots I'd never be able to decide.",nlp_randchar_del,COGNITIVE_ISSUES,1,s_1997_963_1
I ' m not intereted in anthing.,I ' m not intereted in anthing.,I'm not interested in anything.,nlp_randchar_del,ANHEDONIA,1,s_1404_102_34
I ' m not interesed in nything.,I ' m not interesed in nything.,I'm not interested in anything.,nlp_randchar_del,ANHEDONIA,1,s_1404_102_34
I ' m still tying to be social and mak riends but my ocial skills mes it up very tme.,I ' m still tying to be social and mak riends but my ocial skills mes it up very tme.,I'm still trying to be social and make friends but my social skills mess it up every time.,nlp_randchar_del,WORTHLESSNESS,0,s_1404_102_51
I ' m stil trying to be socil and mke frends but my scial skills mss it up every tme.,I ' m stil trying to be socil and mke frends but my scial skills mss it up every tme.,I'm still trying to be social and make friends but my social skills mess it up every time.,nlp_randchar_del,WORTHLESSNESS,0,s_1404_102_51
Whch I can ' t bcause my socil skills are terrble and hey can sell it.,Whch I can ' t bcause my socil skills are terrble and hey can sell it.,Which I can't because my social skills are terrible and they can smell it.,nlp_randchar_del,WORTHLESSNESS,1,s_1404_102_62
Which I can ' t becase my socal skils are trrible and the can mell it.,Which I can ' t becase my socal skils are trrible and the can mell it.,Which I can't because my social skills are terrible and they can smell it.,nlp_randchar_del,WORTHLESSNESS,1,s_1404_102_62
