post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel so opрressed.,I feel so opрressed.,I feel so oppressed.,ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I feel ѕo oppressed.,I feel ѕo oppressed.,I feel so oppressed.,ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go to college alone without my family оr any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't іmaɡine being all by myself anԁ dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family оr any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't іmaɡine being all by myself anԁ dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I have to go to college ɑlone witհout my family or any support Im gonna end up killing myself....Im barely keeping my self alіve now, I can't imagine being all by myself and dealing with my thоughts and emotions!","I 100% know that if I have to go to college ɑlone witհout my family or any support Im gonna end up killing myself....Im barely keeping my self alіve now, I can't imagine being all by myself and dealing with my thоughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant stop crуing.,I cant stop crуing.,I cant stop crying.,ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I cɑnt stop crying.,I cɑnt stop crying.,I cant stop crying.,ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was оnly later after ｍy second boyfriend, I realized I cannot feel sexual attrac𝚝ion (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted ԝith myself when it comes to the sex part.","It was оnly later after ｍy second boyfriend, I realized I cannot feel sexual attrac𝚝ion (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted ԝith myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I doո't like me.,I doո't like me.,I don't like me.,ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I don't ⅼike me.,I don't ⅼike me.,I don't like me.,ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I`ve cried.,I`ve cried.,I've cried.,ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I've criеd.,I've criеd.,I've cried.,ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I began tо cry.,I began tо cry.,I began to cry.,ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I began 𝚝o cry.,I began 𝚝o cry.,I began to cry.,ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I harԁly sleep.,I harԁly sleep.,I hardly sleep.,ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I hɑrdly sleep.,I hɑrdly sleep.,I hardly sleep.,ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I am ѵery sad.,I am ѵery sad.,I am very sad.,ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I am very sɑd.,I am very sɑd.,I am very sad.,ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
