post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"It as only lter after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), nd that I am probably aseual due to the fact that I just get disgusted with myself when it comes to the sex part.","It as only lter after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), nd that I am probably aseual due to the fact that I just get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"Masturbating ight before and also during sleep I feel like its affecting my sleep quality If I wake up tire in the mornng when I shoud go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating ight before and also during sleep I feel like its affecting my sleep quality If I wake up tire in the mornng when I shoud go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"I work from hom, and I don't sleep well for the most part (I have insomnia and completely rely o sleep aids, nd they tend not to give yu a good night's rest, which results in atigue a few hours after waking up), so at sme point during the day, I usually get a little tired and have the rge to just crawl nto bed and finish my work later (which I could do, but staying awake and doing it right then would be better).","I work from hom, and I don't sleep well for the most part (I have insomnia and completely rely o sleep aids, nd they tend not to give yu a good night's rest, which results in atigue a few hours after waking up), so at sme point during the day, I usually get a little tired and have the rge to just crawl nto bed and finish my work later (which I could do, but staying awake and doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don't sleep well for the mst part (I have insomnia and completely rly on sleep aids, and they tend not to give you a good night's ret, which results in fatigue a few hours after waking up), so at some point during the da, I usually get a little tred and have te urge to just crawl ito bed and finish my work later (which I could do, but staying awake and doing it right hen would be better).","I work from home, and I don't sleep well for the mst part (I have insomnia and completely rly on sleep aids, and they tend not to give you a good night's ret, which results in fatigue a few hours after waking up), so at some point during the da, I usually get a little tred and have te urge to just crawl ito bed and finish my work later (which I could do, but staying awake and doing it right hen would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,bt my emotions are so weak an i am much less sensitive o particular things/peope.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,bt my emotions are so weak an i am much less sensitive o particular things/peope.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case.. Its bee nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested e before,but my emotions are so weak and i am much less sensitive to particular things/peple.","So here is the case.. Its bee nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested e before,but my emotions are so weak and i am much less sensitive to particular things/peple.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case.. Its bee nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested e before,but my emotions are so weak and i am much less sensitive to particular things/peple.","So here is the case.. Its bee nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested e before,but my emotions are so weak and i am much less sensitive to particular things/peple.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,bt my emotions are so weak an i am much less sensitive o particular things/peope.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,bt my emotions are so weak an i am much less sensitive o particular things/peope.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"It has been a rough school year for me with a lot of changes that brought me to the oint o uncontrollable crying or two days in a row, migraines, muscle tension, and an inability to really get any work done wih my students.","It has been a rough school year for me with a lot of changes that brought me to the oint o uncontrollable crying or two days in a row, migraines, muscle tension, and an inability to really get any work done wih my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del,SPECIAL_CASE,1,s_1190_67_2
"It has been a rough school year for me with a lot of changes hat brought me o the point of uncontrollable crying for two days in a row, migraines, uscle tension, and an inability to really get any work done with my tudents.","It has been a rough school year for me with a lot of changes hat brought me o the point of uncontrollable crying for two days in a row, migraines, uscle tension, and an inability to really get any work done with my tudents.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del,SPECIAL_CASE,1,s_1190_67_2
