post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel so opprensed.,I feel so opprensed.,I feel so oppressed.,ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I fUel so oppressed.,I fUel so oppressed.,I feel so oppressed.,ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keepNng my sehf alive now, I can't imagine being all bX myself and dealing with Vy thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keepNng my sehf alive now, I can't imagine being all bX myself and dealing with Vy thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that nf I have to go to college alone without my family or any support Im gonna end up killing mysela....Im barely keeping iy self alive now, I can't imagine Oeing all by myself and dealing with my thoughts and emotions!","I 100% know that nf I have to go to college alone without my family or any support Im gonna end up killing mysela....Im barely keeping iy self alive now, I can't imagine Oeing all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant stoy crying.,I cant stoy crying.,I cant stop crying.,ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I cant jtop crying.,I cant jtop crying.,I cant stop crying.,ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, Jt was very temporary), and that I am probably asexual due to tWe fact that I Musq get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, Jt was very temporary), and that I am probably asexual due to tWe fact that I Musq get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
"It was only later after my second boyfriend, I realized I cannot feel sexual attractioD (if I hace, it was verf temporary), and that I am probably asexual due Oo the fact that I just get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attractioD (if I hace, it was verf temporary), and that I am probably asexual due Oo the fact that I just get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
I don't like fe.,I don't like fe.,I don't like me.,ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I don't like Ae.,I don't like Ae.,I don't like me.,ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
G've cried.,G've cried.,I've cried.,ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I'vA cried.,I'vA cried.,I've cried.,ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I began to cCy.,I began to cCy.,I began to cry.,ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I began to crP.,I began to crP.,I began to cry.,ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I hardly Rleep.,I hardly Rleep.,I hardly sleep.,ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I hardly slVep.,I hardly slVep.,I hardly sleep.,ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I am very saI.,I am very saI.,I am very sad.,ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I am vdry sad.,I am vdry sad.,I am very sad.,ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
Im bo tired,Im bo tired,Im so tired,ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Im oo tired,Im oo tired,Im so tired,ta_char_rand_swap,FATIGUE,1,s_2434_365_0
This had me crPing,This had me crPing,This had me crying,ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
Tais had me crying,Tais had me crying,This had me crying,ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
I wanQ to die,I wanQ to die,I want to die,ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I want to Iie,I want to Iie,I want to die,ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lost ny libido.,I lost ny libido.,I lost my libido.,ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I lost by libido.,I lost by libido.,I lost my libido.,ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I am being tormured.,I am being tormured.,I am being tortured.,ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
