post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I hate that i'm ckying kn.,I hate that i'm ckying kn.,I hate that i am crying rn.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
1 hate that i'm crying kn.,1 hate that i'm crying kn.,I hate that i am crying rn.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
I've 6een fee1ing down on and off.,I've 6een fee1ing down on and off.,I have been feeling down on and off.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_2035_91_6
I'm veky depressed a1so.,I'm veky depressed a1so.,I am very depressed also.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_131_822_0
I'm 6eing tortured.,I'm 6eing tortured.,I am being tortured.,nlp_ocr+ta_contraction,WORTHLESSNESS,0,s_1351_120_5
I'm bein9 tortured.,I'm bein9 tortured.,I am being tortured.,nlp_ocr+ta_contraction,WORTHLESSNESS,0,s_1351_120_5
I've n0 enekgy at all.,I've n0 enekgy at all.,I have no energy at all.,nlp_ocr+ta_contraction,FATIGUE,1,s_1455_72_50
I am scared 1 won't 6e a successfol man in the future,I am scared 1 won't 6e a successfol man in the future,I am scared I will not be a successful man in the future,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_65_110_0
1 am 8cared 1 won't be a successful man in the future,1 am 8cared 1 won't be a successful man in the future,I am scared I will not be a successful man in the future,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_65_110_0
I'm veky tiked.,I'm veky tiked.,I am very tired.,nlp_ocr+ta_contraction,FATIGUE,1,s_1030_1290_8
I'm very tiked.,I'm very tiked.,I am very tired.,nlp_ocr+ta_contraction,FATIGUE,1,s_1030_1290_8
I'm wokthless.,I'm wokthless.,I am worthless.,nlp_ocr+ta_contraction,WORTHLESSNESS,1,s_2415_2_3
I'm hope1ess.,I'm hope1ess.,I am hopeless.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_2415_2_4
I'm h0peless.,I'm h0peless.,I am hopeless.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_2415_2_4
And I'd cky so hakd.,And I'd cky so hakd.,And I would cry so hard.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_2190_134_3
I've is8ues in focu8ing and attention.,I've is8ues in focu8ing and attention.,I have issues in focusing and attention.,nlp_ocr+ta_contraction,COGNITIVE_ISSUES,0,s_2257_110_29
1 cant focus and i've no enekgy.,1 cant focus and i've no enekgy.,I cant focus and i have no energy.,nlp_ocr+ta_contraction,COGNITIVE_ISSUES,1,s_1404_729_2
1 cant focus and i've nu ener9y.,1 cant focus and i've nu ener9y.,I cant focus and i have no energy.,nlp_ocr+ta_contraction,COGNITIVE_ISSUES,1,s_1404_729_2
I'm fucring CRYING.,I'm fucring CRYING.,I am fucking CRYING.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_74_207_1
I'm fucking CRYINC.,I'm fucking CRYINC.,I am fucking CRYING.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_74_207_1
I'm veky lonely nuw.,I'm veky lonely nuw.,I am very lonely now.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_2415_1014_9
I'm rinda angry al1 the time.,I'm rinda angry al1 the time.,I am kinda angry all the time.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_1749_859_23
I've insumnia.,I've insumnia.,I have insomnia.,nlp_ocr+ta_contraction,SLEEP_ISSUES,1,s_341_1177_1
I'm tiked.,I'm tiked.,I am tired.,nlp_ocr+ta_contraction,FATIGUE,1,s_681_475_2
I'd really like 8ome fkee energy right n0w.,I'd really like 8ome fkee energy right n0w.,I would really like some free energy right now.,nlp_ocr+ta_contraction,FATIGUE,1,s_969_1077_3
i've nothing tu live for peksonally.,i've nothing tu live for peksonally.,i have nothing to live for personally.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_699_4_6
i've nothin9 to 1ive for personally.,i've nothin9 to 1ive for personally.,i have nothing to live for personally.,nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_699_4_6
I'm veky focu8ed on sex.,I'm veky focu8ed on sex.,I am very focused on sex.,nlp_ocr+ta_contraction,SPECIAL_CASE,1,s_731_903_4
Bven my low pain day8 I've no energy.,Bven my low pain day8 I've no energy.,Even my low pain days I have no energy.,nlp_ocr+ta_contraction,FATIGUE,1,s_1749_905_17
"I'm ikritated, yes.","I'm ikritated, yes.","I am irritated, yes.",nlp_ocr+ta_contraction,DEPRESSED_MOOD,1,s_2625_148_0
