post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"Fingering ight before and also during sleep I feel like its affecting my sleep quality If I wake height wheels in the mornng when I shoud go back to sleep, instead I start masturbating which also affects methods much rest I get.","Fingering ight before and also during sleep I feel like its affecting my sleep quality If I wake height wheels in the mornng when I shoud go back to sleep, instead I start masturbating which also affects methods much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_wordswap_embedding,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating ight before and also during sleep I feel like its affecting my sleep quality Unless I wake up tire in of mornng when I shoud go back to sleep, instead I initiating masturbating which also affects how much rest l get.","Masturbating ight before and also during sleep I feel like its affecting my sleep quality Unless I wake up tire in of mornng when I shoud go back to sleep, instead I initiating masturbating which also affects how much rest l get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_wordswap_embedding,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I don't sleep well for the mst part (ich have insomnia and completely rly on sleep aids, and they tendencies not to give you a good night's ret, which results in fatigue a few timetables after waking up), so at some point during the da, I usually get a little tred and have te urge to just crawl ito bed and finish my work trailing (which I could do, but staying woken and doing ec right hen owe be better).","I work from home, and I don't sleep well for the mst part (ich have insomnia and completely rly on sleep aids, and they tendencies not to give you a good night's ret, which results in fatigue a few timetables after waking up), so at some point during the da, I usually get a little tred and have te urge to just crawl ito bed and finish my work trailing (which I could do, but staying woken and doing ec right hen owe be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del+ta_wordswap_embedding,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, thereby I don't sleep well for the mst part (I have insomnia and completely rly on sleep aids, and they tend not to give you a good night's ret, consisting result across fatigue a few hours after waking up), so at some point during the da, I usually get a little tred where have te urge de just crawl ito cot and finish my work later (which I could do, but staying awake and doing it right hen would be better).","I work from home, thereby I don't sleep well for the mst part (I have insomnia and completely rly on sleep aids, and they tend not to give you a good night's ret, consisting result across fatigue a few hours after waking up), so at some point during the da, I usually get a little tred where have te urge de just crawl ito cot and finish my work later (which I could do, but staying awake and doing it right hen would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del+ta_wordswap_embedding,SLEEP_ISSUES,1,s_2292_402_1
"So here is los case.. It's been nearly 4 years, since i really don't feel analogous myself..I am still interested in activities that anxious me before,bt my emotions are so weak an jag am much less sensitive o particular things/peope.","So here is los case.. It's been nearly 4 years, since i really don't feel analogous myself..I am still interested in activities that anxious me before,bt my emotions are so weak an jag am much less sensitive o particular things/peope.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_del+ta_wordswap_embedding,ANHEDONIA,1,s_1127_16_1
"So here is the case.. It's been roughly 4 years, since jag indeed don't feel like myself..I am still interested in activities that interested me before,bt my affections are so weak an i am much less sensitive o particular things/peope.","So here is the case.. It's been roughly 4 years, since jag indeed don't feel like myself..I am still interested in activities that interested me before,bt my affections are so weak an i am much less sensitive o particular things/peope.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_del+ta_wordswap_embedding,ANHEDONIA,1,s_1127_16_1
"So here es the case.. Its edo nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested e before,but my emotions are so feeble and i am much least sensitive to particular things/peple.","So here es the case.. Its edo nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested e before,but my emotions are so feeble and i am much least sensitive to particular things/peple.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_del+ta_wordswap_embedding,ANHEDONIA,1,s_1127_16_1
"So here is the case.. It's been roughly 4 years, since jag indeed don't feel like myself..I am still interested in activities that interested me before,bt my affections are so weak an i am much less sensitive o particular things/peope.","So here is the case.. It's been roughly 4 years, since jag indeed don't feel like myself..I am still interested in activities that interested me before,bt my affections are so weak an i am much less sensitive o particular things/peope.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_del+ta_wordswap_embedding,ANHEDONIA,1,s_1127_16_1
"Es had been a rough school year for me with a lot of changes that brought me to the oint o uncontrollable crying or two days in a row, migraines, brawn tension, and an inadequacy to really get any work done wih my students.","Es had been a rough school year for me with a lot of changes that brought me to the oint o uncontrollable crying or two days in a row, migraines, brawn tension, and an inadequacy to really get any work done wih my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del+ta_wordswap_embedding,SPECIAL_CASE,1,s_1190_67_2
"It has been a rough school year for moi with a fate of changes hat brought me o the point des uncontrollable crying for two days in paras row, migraines, uscle tension, and an inability to really get any work done with my tudents.","It has been a rough school year for moi with a fate of changes hat brought me o the point des uncontrollable crying for two days in paras row, migraines, uscle tension, and an inability to really get any work done with my tudents.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del+ta_wordswap_embedding,SPECIAL_CASE,1,s_1190_67_2
'meter trash.,'meter trash.,I'm trash.,ta_char_rand_del+ta_wordswap_embedding,WORTHLESSNESS,1,s_2130_82_12
I'm reckless.,I'm reckless.,I'm trash.,ta_char_rand_del+ta_wordswap_embedding,WORTHLESSNESS,1,s_2130_82_12
"I have atrocious self-esteem (it's getting better, and I'll tell you pourquoi), and freqently would go out with y friends and restitution home feeling like shit because of al the stupid things I've say or done.","I have atrocious self-esteem (it's getting better, and I'll tell you pourquoi), and freqently would go out with y friends and restitution home feeling like shit because of al the stupid things I've say or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",ta_char_rand_del+ta_wordswap_embedding,WORTHLESSNESS,1,s_2986_448_1
"jag have atrocious self-esteem (it's getting better, and I'll tell you why), and freqently would go out with y friends and return home hunch like shit because of al nova stupid things I've said or done.","jag have atrocious self-esteem (it's getting better, and I'll tell you why), and freqently would go out with y friends and return home hunch like shit because of al nova stupid things I've said or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",ta_char_rand_del+ta_wordswap_embedding,WORTHLESSNESS,1,s_2986_448_1
"jag have atrocious self-esteem (it's getting better, and I'll tell you why), and freqently would go out with y friends and return home hunch like shit because of al nova stupid things I've said or done.","jag have atrocious self-esteem (it's getting better, and I'll tell you why), and freqently would go out with y friends and return home hunch like shit because of al nova stupid things I've said or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",ta_char_rand_del+ta_wordswap_embedding,WORTHLESSNESS,1,s_2986_448_1
"I have atrocious self-esteem (it's getting better, and I'll tell you pourquoi), and freqently would go out with y friends and restitution home feeling like shit because of al the stupid things I've say or done.","I have atrocious self-esteem (it's getting better, and I'll tell you pourquoi), and freqently would go out with y friends and restitution home feeling like shit because of al the stupid things I've say or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",ta_char_rand_del+ta_wordswap_embedding,WORTHLESSNESS,1,s_2986_448_1
I don't have a passion for anything I gone interest in most things about the age to 10 (idk what happeed to suis maybe some event or one of my childhood activity something gone wrong) after losing it at 10; my time became occupied with philosophy ja ust wastig time mindlessly r on intellectual things like scence and math.,I don't have a passion for anything I gone interest in most things about the age to 10 (idk what happeed to suis maybe some event or one of my childhood activity something gone wrong) after losing it at 10; my time became occupied with philosophy ja ust wastig time mindlessly r on intellectual things like scence and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_del+ta_wordswap_embedding,ANHEDONIA,1,s_212_394_1
I don't have a hobby for anything I lost significance into most things about the age of 10 (idk what happeed to suis maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and ust wastig time mindlessly r on intellectual things like scence and math.,I don't have a hobby for anything I lost significance into most things about the age of 10 (idk what happeed to suis maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and ust wastig time mindlessly r on intellectual things like scence and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_del+ta_wordswap_embedding,ANHEDONIA,1,s_212_394_1
I don't have a passion for anything I forfeited interest in most things about the age of 10 (idk what happeed to me potentially some event or one del my childhood operations nothin gone wrong) after losing it at 10; my time became occupied with philosophy and en wastig time mindlessly r on intellectual things like scence and math.,I don't have a passion for anything I forfeited interest in most things about the age of 10 (idk what happeed to me potentially some event or one del my childhood operations nothin gone wrong) after losing it at 10; my time became occupied with philosophy and en wastig time mindlessly r on intellectual things like scence and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_del+ta_wordswap_embedding,ANHEDONIA,1,s_212_394_1
I don't have a hobby for anything I lost significance into most things about the age of 10 (idk what happeed to suis maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and ust wastig time mindlessly r on intellectual things like scence and math.,I don't have a hobby for anything I lost significance into most things about the age of 10 (idk what happeed to suis maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and ust wastig time mindlessly r on intellectual things like scence and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_del+ta_wordswap_embedding,ANHEDONIA,1,s_212_394_1
"I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted sacrificial 4 times, actally being successful on the second boozed lived ultimately, nd that's where I was a near/post death experience that willpower shape the rest of my life, for however lon that may be.","I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted sacrificial 4 times, actally being successful on the second boozed lived ultimately, nd that's where I was a near/post death experience that willpower shape the rest of my life, for however lon that may be.","I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted suicide 4 times, actually being successful on the second but lived ultimately, and that's where I had a near/post death experience that will shape the rest of my life, for however long that may be.",ta_char_rand_del+ta_wordswap_embedding,SUICIDAL_THOUGHTS,1,s_552_263_41
"I ha NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted suicide 4 times, actally being successful on the second bu lived ultimately, nd that's where I had a near/post fatalities experience that willingness shape the rest of my living, for however lon that may be.","I ha NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted suicide 4 times, actally being successful on the second bu lived ultimately, nd that's where I had a near/post fatalities experience that willingness shape the rest of my living, for however lon that may be.","I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted suicide 4 times, actually being successful on the second but lived ultimately, and that's where I had a near/post death experience that will shape the rest of my life, for however long that may be.",ta_char_rand_del+ta_wordswap_embedding,SUICIDAL_THOUGHTS,1,s_552_263_41
