post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I'm filled with joy.,I'm filled with joy.,I was filled with energy.,nlp_cwe_sub_roberta+ta_contraction,FATIGUE,1,s_993_1060_1
I'm filled explosive energy.,I'm filled explosive energy.,I was filled with energy.,nlp_cwe_sub_roberta+ta_contraction,FATIGUE,1,s_993_1060_1
I'd concentrate in all myself.,I'd concentrate in all myself.,I can't concentrate at all now.,nlp_cwe_sub_roberta+ta_contraction,COGNITIVE_ISSUES,1,s_993_1060_4
I posted dat i'm quitting rn.,I posted dat i'm quitting rn.,I hate that i am crying rn.,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
I've loads of anxiety due to this.,I've loads of anxiety due to this.,I feel lot of guilt due to this.,nlp_cwe_sub_roberta+ta_contraction,WORTHLESSNESS,1,s_993_557_3
I could kill myself right afterwards – no you'd guess why,I could kill myself right afterwards – no you'd guess why,I could kill myself right now and no one would know why,nlp_cwe_sub_roberta+ta_contraction,SUICIDAL_THOUGHTS,1,s_2449_137_0
I'm without easily being one.,I'm without easily being one.,I cry more easily for one.,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_2035_91_1
I've had feeling better early and off.,I've had feeling better early and off.,I have been feeling down on and off.,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_2035_91_6
I've felt feeling down lately and low.,I've felt feeling down lately and low.,I have been feeling down on and off.,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_2035_91_6
My patience is depleted and I won't really experience life anymore.,My patience is depleted and I won't really experience life anymore.,My energy is depleted and I will probably never enjoy life anymore.,nlp_cwe_sub_roberta+ta_contraction,FATIGUE,1,s_1404_60_9
That's all we've words for after that.,That's all we've words for after that.,That's all I have energy for after work.,nlp_cwe_sub_roberta+ta_contraction,FATIGUE,1,s_1483_10_2
I'm crazy - crying anymore.,I'm crazy - crying anymore.,I wasnt sad or crying anymore.,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_1897_77_60
I'd sleep so Not to worry,I'd sleep so Not to worry,I don't sleep well due to worry,nlp_cwe_sub_roberta+ta_contraction,SLEEP_ISSUES,1,s_2338_145_2
I now got nothing and I've no hope.,I now got nothing and I've no hope.,I have achieved nothing and I have no skills.,nlp_cwe_sub_roberta+ta_contraction,WORTHLESSNESS,1,s_1455_72_8
I'd kill you while I just build those godless churches. —,I'd kill you while I just build those godless churches. —,"I would kill myself before I helped build those godless trucks. """,nlp_cwe_sub_roberta+ta_contraction,SUICIDAL_THOUGHTS,0,s_1514_914_163
I am scared Ali won't be an safe man in the world,I am scared Ali won't be an safe man in the world,I am scared I will not be a successful man in the future,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_65_110_0
I grew scared I won't remain a white man in the world,I grew scared I won't remain a white man in the world,I am scared I will not be a successful man in the future,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_65_110_0
I'm rather than ready.,I'm rather than ready.,I am more than annoyed.,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_1296_12_9
I'm prescribed psych drugs.,I'm prescribed psych drugs.,I am prescribed anxiety medications.,nlp_cwe_sub_roberta+ta_contraction,PSYCHOMOTOR,1,s_103_32_3
I'm taking three medications.,I'm taking three medications.,I am prescribed anxiety medications.,nlp_cwe_sub_roberta+ta_contraction,PSYCHOMOTOR,1,s_103_32_3
Then I'd get home sick more times.,Then I'd get home sick more times.,Then I would get really angry at times.,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_84_60_2
Then we'd act really angry most times.,Then we'd act really angry most times.,Then I would get really angry at times.,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_84_60_2
I think that's if I'd dwell on things.,I think that's if I'd dwell on things.,I think that's why I can't focus on study.,nlp_cwe_sub_roberta+ta_contraction,COGNITIVE_ISSUES,1,s_1404_640_4
I'm highly irritable.,I'm highly irritable.,I get really irritable.,nlp_cwe_sub_roberta+ta_contraction,DEPRESSED_MOOD,1,s_993_600_2
