post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
1 hatee thaHt i am Ncryin9 rn.,1 hatee thaHt i am Ncryin9 rn.,I hate that i am crying rn.,nlp_ocr+nlp_randchar_ins,DEPRESSED_MOOD,1,s_321_219_4
1 hatde tvhat i am cr_yin9 rn.,1 hatde tvhat i am cr_yin9 rn.,I hate that i am crying rn.,nlp_ocr+nlp_randchar_ins,DEPRESSED_MOOD,1,s_321_219_4
"I 100% know thaGt if I have to 9o t0 college alone witho9ut my family or any support Im goJnna end up Ekil1ing myselJf. .. . Im barely keeping my sealf aliEve nuw, 1 can ' t imagine being all by myself and doealing $with my thoughts and emotionis!","I 100% know thaGt if I have to 9o t0 college alone witho9ut my family or any support Im goJnna end up Ekil1ing myselJf. .. . Im barely keeping my sealf aliEve nuw, 1 can ' t imagine being all by myself and doealing $with my thoughts and emotionis!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+nlp_randchar_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know th$at if I have to 9o t0 collCege alonve without my f_amily or any support Im gonna end up kil1ing myself. .. . Im bar8ely keeping my self Aalive nuw, 1 can ' t ixmagine beinAg all by my@self and dealing qwith my thoughts and emotions!","I 100% know th$at if I have to 9o t0 collCege alonve without my f_amily or any support Im gonna end up kil1ing myself. .. . Im bar8ely keeping my self Aalive nuw, 1 can ' t ixmagine beinAg all by my@self and dealing qwith my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+nlp_randchar_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
1 cwant qstop crying.,1 cwant qstop crying.,I cant stop crying.,nlp_ocr+nlp_randchar_ins,DEPRESSED_MOOD,1,s_2334_738_1
1 cacnt stoRp crying.,1 cacnt stoRp crying.,I cant stop crying.,nlp_ocr+nlp_randchar_ins,DEPRESSED_MOOD,1,s_2334_738_1
"1t was on1y Klater afster my secoSnd boyfriend, I realized I cannot feel sexual attraction (if I ahave, it was very tempo3rary ), and tnhat I am probab1y asexual due to the fact tkhat 1 Wjust get disgusted with myOself when it comes t0 the 8ex _part.","1t was on1y Klater afster my secoSnd boyfriend, I realized I cannot feel sexual attraction (if I ahave, it was very tempo3rary ), and tnhat I am probab1y asexual due to the fact tkhat 1 Wjust get disgusted with myOself when it comes t0 the 8ex _part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+nlp_randchar_ins,ANHEDONIA,0,s_716_26_15
"1t was on1y lwater after my second boyfriend, I reali0zed I cannot feel sexual attractyion (if I hav&e, it was verry temporary ), and that I am probab1y as8exual due to the fact that 1 just get disgusted &with cmyself whe_n it come#s t0 the 8ex part.","1t was on1y lwater after my second boyfriend, I reali0zed I cannot feel sexual attractyion (if I hav&e, it was verry temporary ), and that I am probab1y as8exual due to the fact that 1 just get disgusted &with cmyself whe_n it come#s t0 the 8ex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+nlp_randchar_ins,ANHEDONIA,0,s_716_26_15
I Uhakdly slweep.,I Uhakdly slweep.,I hardly sleep.,nlp_ocr+nlp_randchar_ins,SLEEP_ISSUES,1,s_697_81_3
I hagkdly msleep.,I hagkdly msleep.,I hardly sleep.,nlp_ocr+nlp_randchar_ins,SLEEP_ISSUES,1,s_697_81_3
"I ' ve bDeen lirGe this for a long tim^e now wherein I 87leep at around q or 10pm, hoping to wake up earlBy in the mornhin9 at around 7 - 8pm, then all of a sEodden I wake up at 12 or 2am in the Zmorning feeli*ng groggiy and now 1 cant get 6ack bed.","I ' ve bDeen lirGe this for a long tim^e now wherein I 87leep at around q or 10pm, hoping to wake up earlBy in the mornhin9 at around 7 - 8pm, then all of a sEodden I wake up at 12 or 2am in the Zmorning feeli*ng groggiy and now 1 cant get 6ack bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_ocr+nlp_randchar_ins,SLEEP_ISSUES,1,s_852_229_1
"I ' ve bleen lire thNis for a long ^time now wherein I 8leep at around q or 10Opm, hopinwg to wakOe up early in the mornin59 at around 7 - 8pm, then all of a sodden I wadke up at 12 or 2am in the mor0ning feeling groggy and now 1 Lcant get 6ack bed.","I ' ve bleen lire thNis for a long ^time now wherein I 8leep at around q or 10Opm, hopinwg to wakOe up early in the mornin59 at around 7 - 8pm, then all of a sodden I wadke up at 12 or 2am in the mor0ning feeling groggy and now 1 Lcant get 6ack bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_ocr+nlp_randchar_ins,SLEEP_ISSUES,1,s_852_229_1
IThi8 had me cSrying,IThi8 had me cSrying,This had me crying,nlp_ocr+nlp_randchar_ins,DEPRESSED_MOOD,0,s_2464_412_0
Th1i8 had me cryimng,Th1i8 had me cryimng,This had me crying,nlp_ocr+nlp_randchar_ins,DEPRESSED_MOOD,0,s_2464_412_0
1 lWost my Ylibido.,1 lWost my Ylibido.,I lost my libido.,nlp_ocr+nlp_randchar_ins,ANHEDONIA,1,s_2904_522_5
1 Flost my libi6do.,1 Flost my libi6do.,I lost my libido.,nlp_ocr+nlp_randchar_ins,ANHEDONIA,1,s_2904_522_5
"I wa8 able to expekienc1e novelty and joy eveIn if I did still feel loneQly / depreissed and would self harm, 1 had the ability to genjoy and feel like the real me - now all cthats gone and Ive just gutten bu9ried irnt0 a depres8ive hoxle where evekyday is lived robotically 0r gh^ostly.","I wa8 able to expekienc1e novelty and joy eveIn if I did still feel loneQly / depreissed and would self harm, 1 had the ability to genjoy and feel like the real me - now all cthats gone and Ive just gutten bu9ried irnt0 a depres8ive hoxle where evekyday is lived robotically 0r gh^ostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_ocr+nlp_randchar_ins,ANHEDONIA,1,s_258_546_2
"I wa8 able to expekiencze novelty and joy eveKn if I did still fee@l lonely / depres(sed and would self harm, 1 had the ability to ennjoy and feel like the re)al me - now all thats goNne and Ive just guttsen bruried pint0 a depres8ive hole where evekyday is lived robotically 0r ghostly.","I wa8 able to expekiencze novelty and joy eveKn if I did still fee@l lonely / depres(sed and would self harm, 1 had the ability to ennjoy and feel like the re)al me - now all thats goNne and Ive just guttsen bruried pint0 a depres8ive hole where evekyday is lived robotically 0r ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_ocr+nlp_randchar_ins,ANHEDONIA,1,s_258_546_2
I ' m 9u&ite _angky,I ' m 9u&ite _angky,I'm quite angry,nlp_ocr+nlp_randchar_ins,DEPRESSED_MOOD,1,s_2188_1006_0
1 ' m quyite acngry,1 ' m quyite acngry,I'm quite angry,nlp_ocr+nlp_randchar_ins,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m realEly t%iked.,I ' m realEly t%iked.,I'm really tired.,nlp_ocr+nlp_randchar_ins,FATIGUE,1,s_547_567_2
1 ' m reall(y tireNd.,1 ' m reall(y tireNd.,I'm really tired.,nlp_ocr+nlp_randchar_ins,FATIGUE,1,s_547_567_2
