post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely oblige my self alive now, I can't imagine being ll by myself and deaing with m sentiment neodymium emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely oblige my self alive now, I can't imagine being ll by myself and deaing with m sentiment neodymium emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_del+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I have to go to college alone without my family or any support Im gonna death up killing myself....Im barely keeping my self alive now, i can't envisage being ll by myself and deaing with yard thoughts nd emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna death up killing myself....Im barely keeping my self alive now, i can't envisage being ll by myself and deaing with yard thoughts nd emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_del+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_156_366_1
"I've been like this for a long time now wherein I sleep t around 9 or 10p, hoping to aftermath up arly in the morning at around 7-8pm, then ll of a sudden I wake up astatine 12 or 2am in the morning touch groggy and today I ant receive back bed.","I've been like this for a long time now wherein I sleep t around 9 or 10p, hoping to aftermath up arly in the morning at around 7-8pm, then ll of a sudden I wake up astatine 12 or 2am in the morning touch groggy and today I ant receive back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_del+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a long time now wherein I nap t around 9 or 10p, hoping to wake up arly in the morning at around 7-8pm, then ll of a sudden I wake up at 12 or 2am inward the morning flavour groggy and now I ant receive hinder bed.","I've been like this for a long time now wherein I nap t around 9 or 10p, hoping to wake up arly in the morning at around 7-8pm, then ll of a sudden I wake up at 12 or 2am inward the morning flavour groggy and now I ant receive hinder bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_del+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_852_229_1
"I was able to experience novelty and joy even if I i still feel lonly/ depressed and would self harm , I had the ability to enjoy an feel ilk the real me - now all thats plump and Ive just gotten swallow into a depressive hole where routine cost lived robotially or ghostly.","I was able to experience novelty and joy even if I i still feel lonly/ depressed and would self harm , I had the ability to enjoy an feel ilk the real me - now all thats plump and Ive just gotten swallow into a depressive hole where routine cost lived robotially or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_del+ta_wordswap_wordnet,ANHEDONIA,1,s_258_546_2
"I was able to experience novelty and joy even if I i still feel lonly/ depressed and would self trauma , I had the ability to enjoy an feel like the real me - now all thats conk and Ive good become sink into a depressive hole where everyday is lived robotially or ghostly.","I was able to experience novelty and joy even if I i still feel lonly/ depressed and would self trauma , I had the ability to enjoy an feel like the real me - now all thats conk and Ive good become sink into a depressive hole where everyday is lived robotially or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_del+ta_wordswap_wordnet,ANHEDONIA,1,s_258_546_2
"Masturbating right before and also during sleep I feel like its affecting my sleep quality f I wake up tired in the moring when ane should o back to sleep, instead ane start masturbating which also involve how much pillow I gt.","Masturbating right before and also during sleep I feel like its affecting my sleep quality f I wake up tired in the moring when ane should o back to sleep, instead ane start masturbating which also involve how much pillow I gt.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during sleep I feel like its poignant M sleep quality If I wake up tired in the morning when I should fail back to sleep, istead I start masturbating which also affects how often rest I e.","Masturbating right before and also during sleep I feel like its poignant M sleep quality If I wake up tired in the morning when I should fail back to sleep, istead I start masturbating which also affects how often rest I e.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I don't sleep well for th most part (I have insomnia and comletely rely on sleep aids, and they tnd not o reach you ampere good night's rest, which lead in fatigue a few hour aftr waking up), so at some direct during the dy, I usually incur a little bore and have the urge to just crawl into be and finish my work later (which I could do, bu staying awake and doing it right then would be skillful).","I work from home, and I don't sleep well for th most part (I have insomnia and comletely rely on sleep aids, and they tnd not o reach you ampere good night's rest, which lead in fatigue a few hour aftr waking up), so at some direct during the dy, I usually incur a little bore and have the urge to just crawl into be and finish my work later (which I could do, bu staying awake and doing it right then would be skillful).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_2292_402_1
"It take been a rough school year for me with a lo of changes that brought e to the sharpen of uncontrollable crying for two days n a row, migraines, muscle tension, and a unfitness to really draw any work done with my students.","It take been a rough school year for me with a lo of changes that brought e to the sharpen of uncontrollable crying for two days n a row, migraines, muscle tension, and a unfitness to really draw any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del+ta_wordswap_wordnet,SPECIAL_CASE,1,s_1190_67_2
