post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I effl so oppressed.,I effl so oppressed.,I feel so oppressed.,nlp_randchar_swap+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I fele so olperssed.,I fele so olperssed.,I feel so oppressed.,nlp_randchar_swap+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"I 100% knwo taht if I hvae to go to college laone iwthout my family or any support Im gonan end up killing myself. .. . Im barely keeping my eslf alive now, I can ' t imgzine beirn all by mysefl and dealong with mt thoughts and emotions!","I 100% knwo taht if I hvae to go to college laone iwthout my family or any support Im gonan end up killing myself. .. . Im barely keeping my eslf alive now, I can ' t imgzine beirn all by mysefl and dealong with mt thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I catn stop crjign.,I catn stop crjign.,I cant stop crying.,nlp_randchar_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I cnat tspp crying.,I cnat tspp crying.,I cant stop crying.,nlp_randchar_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"It was only ltaer fater mh second boyfriend, I realized I cannot feek sexula attraction (if I have, it was veyr temporary ), and that I am probbaly aseuxal due to the fact htat I just get disugsted with nyself whnw it comes to the sex aprt.","It was only ltaer fater mh second boyfriend, I realized I cannot feek sexula attraction (if I have, it was veyr temporary ), and that I am probbaly aseuxal due to the fact htat I just get disugsted with nyself whnw it comes to the sex aprt.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_swap+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
"Ut was only ltaer fater my second boyfriend, I realized I cannot feel sexula attraction (if I have, it was veyr temporary ), and that I am probbaly aseuxal due to the fact htat I just yet disugsted with myself whnf it comes to thf sex aprt.","Ut was only ltaer fater my second boyfriend, I realized I cannot feel sexula attraction (if I have, it was veyr temporary ), and that I am probbaly aseuxal due to the fact htat I just yet disugsted with myself whnf it comes to thf sex aprt.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_swap+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
I don ' t oiek me.,I don ' t oiek me.,I don't like me.,nlp_randchar_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I dom ' t lkie me.,I dom ' t lkie me.,I don't like me.,nlp_randchar_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I ' vw cired.,I ' vw cired.,I've cried.,nlp_randchar_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I ' ve rcoed.,I ' ve rcoed.,I've cried.,nlp_randchar_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I bgean to cdy.,I bgean to cdy.,I began to cry.,nlp_randchar_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
