post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that ip I have to go to college alone without my family or any support Im gonna end up killing myself. .. . Im barely keeping my self alive straighOaway, I can ' t imagine being all by myself aFd dealing with my thoughts abd emotions!","I 100% know that ip I have to go to college alone without my family or any support Im gonna end up killing myself. .. . Im barely keeping my self alive straighOaway, I can ' t imagine being all by myself aFd dealing with my thoughts abd emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_wordnet_syn+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant Ttop shout.,I cant Ttop shout.,I cant stop crying.,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I caot stop shout.,I caot stop shout.,I cant stop crying.,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
Im mostlG tired So,Im mostlG tired So,Im generally tired So,nlp_wordnet_syn+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
Im mosYly tired So,Im mosYly tired So,Im generally tired So,nlp_wordnet_syn+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
IHdin ' ve cry.,IHdin ' ve cry.,I've cried.,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' ve crn.,I ' ve crn.,I've cried.,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I begvn to hollo.,I begvn to hollo.,I began to cry.,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I began to holUo.,I began to holUo.,I began to cry.,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
One be very Xad.,One be very Xad.,I am very sad.,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
Ooe be very sad.,Ooe be very sad.,I am very sad.,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
Im so satigue,Im so satigue,Im so tired,nlp_wordnet_syn+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Im sU jade,Im sU jade,Im so tired,nlp_wordnet_syn+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
This makt me holler,This makt me holler,This had me crying,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
Thds birth me call,Thds birth me call,This had me crying,nlp_wordnet_syn+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
I wana to pall,I wana to pall,I want to die,nlp_wordnet_syn+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
Usity want to die,Usity want to die,I want to die,nlp_wordnet_syn+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lose my lioido.,I lose my lioido.,I lost my libido.,nlp_wordnet_syn+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I losa my libido.,I losa my libido.,I lost my libido.,nlp_wordnet_syn+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
