post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% agree that if I have to go to college alone without immediate family without any support Im gonna finіsh becoｍing suicidal and ｍostly keeping my self alive now, I can't imagine sitting alⅼ alone myself and dealing with my thoughts and emotions!","I 100% agree that if I have to go to college alone without immediate family without any support Im gonna finіsh becoｍing suicidal and ｍostly keeping my self alive now, I can't imagine sitting alⅼ alone myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_cwe_sub_roberta+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant hope anymоre.,I cant hope anymоre.,I cant stop crying.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I always stoр it.,I always stoр it.,I cant stop crying.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later ɑfter my seϲond boyfriend, I ⲅealize the cannot feel sexual attraction (if I have, it was very temporary), adding that I am probably asexսal due this small fact if I easily get disgusted at myself when it comes with having sex part.","It was only later ɑfter my seϲond boyfriend, I ⲅealize the cannot feel sexual attraction (if I have, it was very temporary), adding that I am probably asexսal due this small fact if I easily get disgusted at myself when it comes with having sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_cwe_sub_roberta+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
"It was only later ɑfter my second boyfriend, I realize the cannot feel sexual at𝚝raction (if I have, it was very temporary), adding that I am probably aѕe×ual due this small fact if I easily get disgusted at myself when it comes with having sex part.","It was only later ɑfter my second boyfriend, I realize the cannot feel sexual at𝚝raction (if I have, it was very temporary), adding that I am probably aѕe×ual due this small fact if I easily get disgusted at myself when it comes with having sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_cwe_sub_roberta+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I don't kill ԁogs.,I don't kill ԁogs.,I don't like me.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I don't Ьlame them.,I don't Ьlame them.,I don't like me.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
Im generɑlly … So,Im generɑlly … So,Im generally tired So,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
Im generalⅼy … So,Im generalⅼy … So,Im generally tired So,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
I've no𝚝.,I've no𝚝.,I've cried.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I've nоt.,I've nоt.,I've cried.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I began ɑnd write.,I began ɑnd write.,I began to cry.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I began aոd write.,I began aոd write.,I began to cry.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
Immɑ go kill you ...,Immɑ go kill you ...,Imma go kill myself now,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2638_683_0
Imma go kill yоu ...,Imma go kill yоu ...,Imma go kill myself now,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2638_683_0
I became veⲅy lucky.,I became veⲅy lucky.,I am very sad.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I became very luc𝒌y.,I became very luc𝒌y.,I am very sad.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
"I was just հungry like shit, therefore I didn'𝚝 eat for a while, and grɑdually as a week passed and I was feeling OK nоrmally, I was waiting for the ""I'm better"" day again this hit, but it never manifested.","I was just հungry like shit, therefore I didn'𝚝 eat for a while, and grɑdually as a week passed and I was feeling OK nоrmally, I was waiting for the ""I'm better"" day again this hit, but it never manifested.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_cwe_sub_roberta+ta_wordswap_homoglyph,APPETITE_CHANGE,1,s_1294_205_1
"I was just hungry like shit, therefore I didn't ea𝚝 for a ԝhile, and gradually as a week passed and I was feeling OK normally, I was waiting for the ""I'm betteⲅ"" day again this hit, but it never manifes𝚝ed.","I was just hungry like shit, therefore I didn't ea𝚝 for a ԝhile, and gradually as a week passed and I was feeling OK normally, I was waiting for the ""I'm betteⲅ"" day again this hit, but it never manifes𝚝ed.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_cwe_sub_roberta+ta_wordswap_homoglyph,APPETITE_CHANGE,1,s_1294_205_1
I'm also nоt gay.,I'm also nоt gay.,I'm also clinically depressed.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1581_626_0
"I've been like thiѕ with a long time now ԝherein I sleep only ɑround 6 or 10pm, hoping to wake up early into the morniոgs at like 7-8pm, then all of all sudden I wake up at 12 or 2am in the dark ra𝚝her groggy as now I cant get back bed.","I've been like thiѕ with a long time now ԝherein I sleep only ɑround 6 or 10pm, hoping to wake up early into the morniոgs at like 7-8pm, then all of all sudden I wake up at 12 or 2am in the dark ra𝚝her groggy as now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_sub_roberta+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I've been like this with a long time now ԝherein I sleeр only around 6 or 10pm, hoping to wake up early into the mornings at like 7-8pm, then all of all sսdԁen I wɑke up at 12 or 2am in the dark rather groggy as now I cant get back bed.","I've been like this with a long time now ԝherein I sleeр only around 6 or 10pm, hoping to wake up early into the mornings at like 7-8pm, then all of all sսdԁen I wɑke up at 12 or 2am in the dark rather groggy as now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_sub_roberta+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
Im 𝚝oo tired,Im 𝚝oo tired,Im so tired,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Im so prouԁ,Im so prouԁ,Im so tired,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
I wɑnt the learn,I wɑnt the learn,I want to die,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I intend to lіve,I intend to lіve,I want to die,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I loѵed my husband.,I loѵed my husband.,I lost my libido.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I loved my husbaոd.,I loved my husbaոd.,I lost my libido.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I cried to no sleеp.,I cried to no sleеp.,I cried myself to sleep.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1692_755_113
I cried to no sⅼeep.,I cried to no sⅼeep.,I cried myself to sleep.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1692_755_113
I can have fоcus.,I can have fоcus.,I simply can't focus.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,COGNITIVE_ISSUES,1,s_1404_715_5
I cɑn have focus.,I cɑn have focus.,I simply can't focus.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,COGNITIVE_ISSUES,1,s_1404_715_5
i The plan 𝚝o die,i The plan 𝚝o die,i do want to die,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
i The pⅼan to die,i The pⅼan to die,i do want to die,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
I neeԁ erytime,I neeԁ erytime,I cry erytime,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
I < erytiｍe,I < erytiｍe,I cry erytime,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
i also hate tհat,i also hate tհat,i really hate myself,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_31_4
I ϲan hide me cry.,I ϲan hide me cry.,I couldnt help but cry.,nlp_cwe_sub_roberta+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1599_64_59
