post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I have to function to college unaccompanied without my family or any support Im gonna end up killing myself....Im barely arrest my self alivme now, I can't imaginZe being all by mysQelf and dealing with jmy thoughts and emotions!","I 100% know that if I have to function to college unaccompanied without my family or any support Im gonna end up killing myself....Im barely arrest my self alivme now, I can't imaginZe being all by mysQelf and dealing with jmy thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_ins+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_156_366_1
"It personify only later after my second boyfriend, I realized I cannot feel sexual attraction (if I hajve, it was verAy temporary), and that single am probably asexual due to the fact that I upright get disgusted with mysCelf when IT comes to tWhe sex part.","It personify only later after my second boyfriend, I realized I cannot feel sexual attraction (if I hajve, it was verAy temporary), and that single am probably asexual due to the fact that I upright get disgusted with mysCelf when IT comes to tWhe sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_ins+ta_wordswap_wordnet,ANHEDONIA,0,s_716_26_15
"It Washington oPnly later after mWy back boyfriend, I realized I canGnot feel sexual attracter (if I have, kit was very temporary), and that I am probably asexual due to the fact that I just nonplus disgusted with myself when it comes to the sex part.","It Washington oPnly later after mWy back boyfriend, I realized I canGnot feel sexual attracter (if I have, kit was very temporary), and that I am probably asexual due to the fact that I just nonplus disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_ins+ta_wordswap_wordnet,ANHEDONIA,0,s_716_26_15
"I've been like this for a long tEime now whereiZn I sleep at around 9 or 10pm, skip to wake up early in the morn at around 7-8pm, then all of a sudden single wake up at 1D2 or 2am in the morning feeling groggy aTnd now I lingo gewt spine bed.","I've been like this for a long tEime now whereiZn I sleep at around 9 or 10pm, skip to wake up early in the morn at around 7-8pm, then all of a sudden single wake up at 1D2 or 2am in the morning feeling groggy aTnd now I lingo gewt spine bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a longsighted tEime now whereiZn I sleep at some 9 or 10pm, hope to wake up early in the morning at around 7-8pm, then all of angstrom sudden I wake up at 1D2 or 2am in the morning feeling groggy aTnd now I cant gewt hinder bed.","I've been like this for a longsighted tEime now whereiZn I sleep at some 9 or 10pm, hope to wake up early in the morning at around 7-8pm, then all of angstrom sudden I wake up at 1D2 or 2am in the morning feeling groggy aTnd now I cant gewt hinder bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_852_229_1
"MasturbatinVg right before and also during sldeep I feel like its dissemble my sleep quality If I wake up tirePd in the morning when I should go back to quietus, instead I start masturbating which also regard how mubch rest I arrive.","MasturbatinVg right before and also during sldeep I feel like its dissemble my sleep quality If I wake up tirePd in the morning when I should go back to quietus, instead I start masturbating which also regard how mubch rest I arrive.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_1404_1455_0
"MasturbatinVg right before and also during sldeep I feel like its impact my sleep quality If I wake up tirePd inch the morning when I should go back to sleep, instead I start masturbating which also affects how mubch residuum I capture.","MasturbatinVg right before and also during sldeep I feel like its impact my sleep quality If I wake up tirePd inch the morning when I should go back to sleep, instead I start masturbating which also affects how mubch residuum I capture.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I don't nsleep well for tche most part (1 have insomnia and completely rely on kip aid, and they tend not to give you a good night's rest, which results oyin fatigue a few hours after wayking up), so at some manoeuver during the day, I normally get a little tired and have the urge to just crawl into bed and finish my iworsk later (which I could act, but staying awaAke and behave it mightily then would be better).","I work from home, and I don't nsleep well for tche most part (1 have insomnia and completely rely on kip aid, and they tend not to give you a good night's rest, which results oyin fatigue a few hours after wayking up), so at some manoeuver during the day, I normally get a little tired and have the urge to just crawl into bed and finish my iworsk later (which I could act, but staying awaAke and behave it mightily then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_2292_402_1
"I work from abode, and I don't nsleep well for tche most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a honorable night's rest, which upshot oyin fatigue a few hours after wayking up), so at some indicate during the day, I usually get a pee-pee tired and have the urge to only crawl into bed and finish my iworsk later (which I could do, but staying awaAke and doing it right then would be skilful).","I work from abode, and I don't nsleep well for tche most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a honorable night's rest, which upshot oyin fatigue a few hours after wayking up), so at some indicate during the day, I usually get a pee-pee tired and have the urge to only crawl into bed and finish my iworsk later (which I could do, but staying awaAke and doing it right then would be skilful).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_2292_402_1
"I really don't want to pass, but I cracve for the world to be a much better place, 1 crave for a sort of life where I feel tin control for bean, a life where I don't feel like I'm bTeing top like a horse.","I really don't want to pass, but I cracve for the world to be a much better place, 1 crave for a sort of life where I feel tin control for bean, a life where I don't feel like I'm bTeing top like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",ta_char_rand_ins+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_1738_193_5
"I really don't want to go, but I cracve for the world to be a much better place, I thirst for a sort of life where I feel tin ascendance for bonce, amp life where I don't feel like I'm bTeing led like a horse.","I really don't want to go, but I cracve for the world to be a much better place, I thirst for a sort of life where I feel tin ascendance for bonce, amp life where I don't feel like I'm bTeing led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",ta_char_rand_ins+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_1738_193_5
I don't Uhave a passion for anything I lost interest Fin most things approximately the age of ten (idk what happened Cto me maybe some event OR one of cmy childhood operations something ghone wrong) after losing it at 10; my clip became occupied with philosophy and just neutralize time mindlessly or on intellectual things like science and math.,I don't Uhave a passion for anything I lost interest Fin most things approximately the age of ten (idk what happened Cto me maybe some event OR one of cmy childhood operations something ghone wrong) after losing it at 10; my clip became occupied with philosophy and just neutralize time mindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_ins+ta_wordswap_wordnet,ANHEDONIA,1,s_212_394_1
I don't Uhave a passion for anything I bemused interest Fin most things virtually the age of 10 (idk what occur Cto me maybe some event or one of cmy childhood operations something ghone wrong) subsequently losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,I don't Uhave a passion for anything I bemused interest Fin most things virtually the age of 10 (idk what occur Cto me maybe some event or one of cmy childhood operations something ghone wrong) subsequently losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_ins+ta_wordswap_wordnet,ANHEDONIA,1,s_212_394_1
I don't Uhave a passion for anything I bemused interest Fin most things virtually the age of 10 (idk what occur Cto me maybe some event or one of cmy childhood operations something ghone wrong) subsequently losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,I don't Uhave a passion for anything I bemused interest Fin most things virtually the age of 10 (idk what occur Cto me maybe some event or one of cmy childhood operations something ghone wrong) subsequently losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_ins+ta_wordswap_wordnet,ANHEDONIA,1,s_212_394_1
I don't Uhave a passion for anything I lost interest Fin most things approximately the age of ten (idk what happened Cto me maybe some event OR one of cmy childhood operations something ghone wrong) after losing it at 10; my clip became occupied with philosophy and just neutralize time mindlessly or on intellectual things like science and math.,I don't Uhave a passion for anything I lost interest Fin most things approximately the age of ten (idk what happened Cto me maybe some event OR one of cmy childhood operations something ghone wrong) after losing it at 10; my clip became occupied with philosophy and just neutralize time mindlessly or on intellectual things like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_ins+ta_wordswap_wordnet,ANHEDONIA,1,s_212_394_1
"It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything ane kdo is damage, I'm a bad human being and I motivation to bpe dead right nzow.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything ane kdo is damage, I'm a bad human being and I motivation to bpe dead right nzow.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",ta_char_rand_ins+ta_wordswap_wordnet,WORTHLESSNESS,1,s_1483_222_18
"It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will bonk me, everything I execute is wWrong, I'm a bad human beinLg and I require to be dead right gnow.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will bonk me, everything I execute is wWrong, I'm a bad human beinLg and I require to be dead right gnow.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",ta_char_rand_ins+ta_wordswap_wordnet,WORTHLESSNESS,1,s_1483_222_18
"Occasionally I've taken 25/50mg to produce to sleep at night but I'kve definitely never experienced anything on it before other than begin drowsy...then, like twenty minutes later I'm gdetting in bed, and I turn on thius white noise decade hoAur youtube Qvideo I sometimes use to serve me sleep.","Occasionally I've taken 25/50mg to produce to sleep at night but I'kve definitely never experienced anything on it before other than begin drowsy...then, like twenty minutes later I'm gdetting in bed, and I turn on thius white noise decade hoAur youtube Qvideo I sometimes use to serve me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_1965_10_8
"Occasionally I've subscribe 25/v50mg to make to sleep at Nox but JI've definitely never experienced anything on Kit before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noisEe ten hour youtube video I sometimes usPe to help me sopor.","Occasionally I've subscribe 25/v50mg to make to sleep at Nox but JI've definitely never experienced anything on Kit before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noisEe ten hour youtube video I sometimes usPe to help me sopor.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_1965_10_8
"I tried to stay uYp longer past 3 pm yesterday but I bewilder way excessively tired aqnd fell asleep until 11 pm and now I cant get any ysleep since Im not tired and mDy tics want to come out, but I cant lmet them since my mamma will be angry.","I tried to stay uYp longer past 3 pm yesterday but I bewilder way excessively tired aqnd fell asleep until 11 pm and now I cant get any ysleep since Im not tired and mDy tics want to come out, but I cant lmet them since my mamma will be angry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_2434_538_2
"I tried to sstay up farseeing past 3 pm yesterday only I arrest way too tired and fell uasleep until 11 pcm and now I cant begin any sleep since Im not tired and tmy tics want to come out, but I tilt let them since my mom will bbe angry.","I tried to sstay up farseeing past 3 pm yesterday only I arrest way too tired and fell uasleep until 11 pcm and now I cant begin any sleep since Im not tired and tmy tics want to come out, but I tilt let them since my mom will bbe angry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_2434_538_2
"But now ace smell like Im hitting a wall, it becomes so frustwrating I feel like I get burnt out, and then end up feeling like I neded to force myself into do something however unity barely conclusion up thinking about it all day and maybe set it laslt minute if that, tand if I dont do it i really bzeat myself up over iUt the next day and Iit becomes harder.","But now ace smell like Im hitting a wall, it becomes so frustwrating I feel like I get burnt out, and then end up feeling like I neded to force myself into do something however unity barely conclusion up thinking about it all day and maybe set it laslt minute if that, tand if I dont do it i really bzeat myself up over iUt the next day and Iit becomes harder.","But now I feel like Im hitting a wall, it becomes so frustrating I feel like I get burnt out, and then end up feeling like I need to force myself into doing something however I just end up thinking about it all day and maybe do it last minute if that, and if I dont do it i really beat myself up over it the next day and it becomes harder.",ta_char_rand_ins+ta_wordswap_wordnet,ANHEDONIA,1,s_1551_7_5
"Somedays are good some are not...I experience like a complete failure to my family I can't even do educate rilght I can't even start my day aright I feeling like anything I do iHs wrong and I feel alone sure I hWave people i talk to at school that call me their friend buEt I still feel alOone I have no one tight no one to share this Iwith and it eats me up inside, XI'm 16 and mqy life palpate like a Phuge mistake like it was never meant to be I'm only 16 why ME why ?","Somedays are good some are not...I experience like a complete failure to my family I can't even do educate rilght I can't even start my day aright I feeling like anything I do iHs wrong and I feel alone sure I hWave people i talk to at school that call me their friend buEt I still feel alOone I have no one tight no one to share this Iwith and it eats me up inside, XI'm 16 and mqy life palpate like a Phuge mistake like it was never meant to be I'm only 16 why ME why ?","Somedays are good some are not...I feel like a complete failure to my family I can't even do school right I can't even start my day right I feel like anything I do is wrong and I feel alone sure I have people I talk to at school that call me their friend but I still feel alone I have no one close no one to share this with and it eats me up inside, I'm 16 and my life feels like a huge mistake like it was never meant to be I'm only 16 why me why ?",ta_char_rand_ins+ta_wordswap_wordnet,WORTHLESSNESS,1,s_931_428_1
"Somedays Kare good some are Dnot...I feel like a nail failure tfo my famiHly I can't even do school right I can't even start my day right I feel like anything I do iNs wrong and single feel alonTe sure I have people I talk to at educate that predict mNe their friend bPut I yet feel alone iodine have no one close no ane to share this with and it eats me upward inside, I'm 16 and my life palpate liHke a huge mistake like it was never meant to be I'm only 16 why me why ?","Somedays Kare good some are Dnot...I feel like a nail failure tfo my famiHly I can't even do school right I can't even start my day right I feel like anything I do iNs wrong and single feel alonTe sure I have people I talk to at educate that predict mNe their friend bPut I yet feel alone iodine have no one close no ane to share this with and it eats me upward inside, I'm 16 and my life palpate liHke a huge mistake like it was never meant to be I'm only 16 why me why ?","Somedays are good some are not...I feel like a complete failure to my family I can't even do school right I can't even start my day right I feel like anything I do is wrong and I feel alone sure I have people I talk to at school that call me their friend but I still feel alone I have no one close no one to share this with and it eats me up inside, I'm 16 and my life feels like a huge mistake like it was never meant to be I'm only 16 why me why ?",ta_char_rand_ins+ta_wordswap_wordnet,WORTHLESSNESS,1,s_931_428_1
"WhIen I met her I was in a dispirit nation, I was harming myself everyday anrd be almost loss to kill myself, then I met her, sOhe was so perfect she made me laugh for the first time in years, sihe talked daily with me till dawn, she kept me away IfXrom all the bad thonughts, while we dated things kept getting beneficial and better, I really thought I was going RJto be okay, but then sQhe bequeath me, now I haCte that I ever met her, I hate that the memories keep coming binding, I hate that she moved on hence fast, I hate that I'm harming myselof again, I hate that I'm back to smoking and drinking, one hate that I'm failSing college, iodin hate that everything I curry reminds ME of her, I hate that sIhe blocked me, iodine hate myself, I hate everything.","WhIen I met her I was in a dispirit nation, I was harming myself everyday anrd be almost loss to kill myself, then I met her, sOhe was so perfect she made me laugh for the first time in years, sihe talked daily with me till dawn, she kept me away IfXrom all the bad thonughts, while we dated things kept getting beneficial and better, I really thought I was going RJto be okay, but then sQhe bequeath me, now I haCte that I ever met her, I hate that the memories keep coming binding, I hate that she moved on hence fast, I hate that I'm harming myselof again, I hate that I'm back to smoking and drinking, one hate that I'm failSing college, iodin hate that everything I curry reminds ME of her, I hate that sIhe blocked me, iodine hate myself, I hate everything.","When I met her I was in a depressed state, I was harming myself everyday and was almost going to kill myself, then I met her, she was so perfect she made me laugh for the first time in years, she talked daily with me till dawn, she kept me away from all the bad thoughts, while we dated things kept getting better and better, I really thought I was going to be okay, but then she left me, now I hate that I ever met her, I hate that the memories keep coming back, I hate that she moved on so fast, I hate that I'm harming myself again, I hate that I'm back to smoking and drinking, I hate that I'm failing college, I hate that everything I do reminds me of her, I hate that she blocked me, I hate myself, I hate everything.",ta_char_rand_ins+ta_wordswap_wordnet,WORTHLESSNESS,1,s_293_38_1
"WhIen I met her I was in a dispirit nation, I was harming myself everyday anrd be almost loss to kill myself, then I met her, sOhe was so perfect she made me laugh for the first time in years, sihe talked daily with me till dawn, she kept me away IfXrom all the bad thonughts, while we dated things kept getting beneficial and better, I really thought I was going RJto be okay, but then sQhe bequeath me, now I haCte that I ever met her, I hate that the memories keep coming binding, I hate that she moved on hence fast, I hate that I'm harming myselof again, I hate that I'm back to smoking and drinking, one hate that I'm failSing college, iodin hate that everything I curry reminds ME of her, I hate that sIhe blocked me, iodine hate myself, I hate everything.","WhIen I met her I was in a dispirit nation, I was harming myself everyday anrd be almost loss to kill myself, then I met her, sOhe was so perfect she made me laugh for the first time in years, sihe talked daily with me till dawn, she kept me away IfXrom all the bad thonughts, while we dated things kept getting beneficial and better, I really thought I was going RJto be okay, but then sQhe bequeath me, now I haCte that I ever met her, I hate that the memories keep coming binding, I hate that she moved on hence fast, I hate that I'm harming myselof again, I hate that I'm back to smoking and drinking, one hate that I'm failSing college, iodin hate that everything I curry reminds ME of her, I hate that sIhe blocked me, iodine hate myself, I hate everything.","When I met her I was in a depressed state, I was harming myself everyday and was almost going to kill myself, then I met her, she was so perfect she made me laugh for the first time in years, she talked daily with me till dawn, she kept me away from all the bad thoughts, while we dated things kept getting better and better, I really thought I was going to be okay, but then she left me, now I hate that I ever met her, I hate that the memories keep coming back, I hate that she moved on so fast, I hate that I'm harming myself again, I hate that I'm back to smoking and drinking, I hate that I'm failing college, I hate that everything I do reminds me of her, I hate that she blocked me, I hate myself, I hate everything.",ta_char_rand_ins+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_293_38_1
"I stZill feel amp lot ovf guilt, but working with my dog and truly spending time with him doing things he require to do and being there as his cheerleader as hse learns new thRings have assist ease some of that guilt.","I stZill feel amp lot ovf guilt, but working with my dog and truly spending time with him doing things he require to do and being there as his cheerleader as hse learns new thRings have assist ease some of that guilt.","I still feel a lot of guilt, but working with my dog and truly spending time with him doing things he wants to do and being there as his cheerleader as he learns new things has helped ease some of that guilt.",ta_char_rand_ins+ta_wordswap_wordnet,WORTHLESSNESS,1,s_1834_697_3
"I have nXot to expert sleeping hours do to twhoughts, focus, in other words emotions and also night time is the solitary time of day were it's peace and quite so I tend to need a hour or so of tKhat in... I have a hard sentence falling asleep at times and I really have a hard time staying asleevp, I can't differentiate you hIow many times I coulhd wake up ifn barely one night!","I have nXot to expert sleeping hours do to twhoughts, focus, in other words emotions and also night time is the solitary time of day were it's peace and quite so I tend to need a hour or so of tKhat in... I have a hard sentence falling asleep at times and I really have a hard time staying asleevp, I can't differentiate you hIow many times I coulhd wake up ifn barely one night!","I have not to good sleeping hours do to thoughts, stress, in other words emotions and also night time is the only time of day were it's peace and quite so I tend to take a hour or so of that in... I have a hard time falling asleep at times and I really have a hard time staying asleep, I can't tell you how many times I could wake up in just one night!",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_586_904_1
"I have nXot to good sleeping hours come to twhoughts, stress, in other wrangle emotions and also night time is the only time of day were it's peace and quite so I tend to take a hour or so of tKhat in... one have a hard time falling asleep at times and I really have a hard time staying asleevp, I can't tell you hIow many doom I coulhd arouse up ifn but one night!","I have nXot to good sleeping hours come to twhoughts, stress, in other wrangle emotions and also night time is the only time of day were it's peace and quite so I tend to take a hour or so of tKhat in... one have a hard time falling asleep at times and I really have a hard time staying asleevp, I can't tell you hIow many doom I coulhd arouse up ifn but one night!","I have not to good sleeping hours do to thoughts, stress, in other words emotions and also night time is the only time of day were it's peace and quite so I tend to take a hour or so of that in... I have a hard time falling asleep at times and I really have a hard time staying asleep, I can't tell you how many times I could wake up in just one night!",ta_char_rand_ins+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_586_904_1
"Like I said, I cant say that my mood is loqw nor is there any sort of intrusive anQd painfull things going on in my head, precisely for somke reaspon iodine keep trying to convince myself that suicide is the only option provide?","Like I said, I cant say that my mood is loqw nor is there any sort of intrusive anQd painfull things going on in my head, precisely for somke reaspon iodine keep trying to convince myself that suicide is the only option provide?","Like I said, I cant say that my mood is low nor is there any sort of intrusive and painfull things going on in my head, but for some reason I keep trying to convince myself that suicide is the only option left?",ta_char_rand_ins+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_2886_1_8
"Like I said, I cant say that my humour is loqw nor is there any sort of intrusive anQd painfull things going on in my head, but for somke reaspon iodine sustain trying to convince myself that suicide is the only option allow?","Like I said, I cant say that my humour is loqw nor is there any sort of intrusive anQd painfull things going on in my head, but for somke reaspon iodine sustain trying to convince myself that suicide is the only option allow?","Like I said, I cant say that my mood is low nor is there any sort of intrusive and painfull things going on in my head, but for some reason I keep trying to convince myself that suicide is the only option left?",ta_char_rand_ins+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_2886_1_8
