post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feR so oppresed.,I feR so oppresed.,I feel so oppressed.,nlp_randchar_del+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I fee so oppbessd.,I fee so oppbessd.,I feel so oppressed.,nlp_randchar_del+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I cnt stop cning.,I cnt stop cning.,I cant stop crying.,nlp_randchar_del+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I cnt stF crying.,I cnt stF crying.,I cant stop crying.,nlp_randchar_del+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
"It was nly later fter my econd boyfriend, I realied I cannot feel seual attractin (if I have, it was ver temporary ), atd tha I am probably avexual due to the fact that I just get disgnste with mylelf when it comes to the sex par.","It was nly later fter my econd boyfriend, I realied I cannot feel seual attractin (if I have, it was ver temporary ), atd tha I am probably avexual due to the fact that I just get disgnste with mylelf when it comes to the sex par.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
"It was only later afer my wecond boyfriend, I reaized I cannot feel sexual attractin (if I have, it was ver tempoary ), and that I am probabl aseual due to the fact that I just get Wisgusted hit myself wen ic coms to the sex part.","It was only later afer my wecond boyfriend, I reaized I cannot feel sexual attractin (if I have, it was ver tempoary ), and that I am probabl aseual due to the fact that I just get Wisgusted hit myself wen ic coms to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
I dof ' t lie me.,I dof ' t lie me.,I don't like me.,nlp_randchar_del+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I don ' t lik ml.,I don ' t lik ml.,I don't like me.,nlp_randchar_del+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
IL generlly ired So,IL generlly ired So,Im generally tired So,nlp_randchar_del+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
Im enerally tred co,Im enerally tred co,Im generally tired So,nlp_randchar_del+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
I ' ve criX.,I ' ve criX.,I've cried.,nlp_randchar_del+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' ve Xrie.,I ' ve Xrie.,I've cried.,nlp_randchar_del+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I hardy sleT.,I hardy sleT.,I hardly sleep.,nlp_randchar_del+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I hWrdy slee.,I hWrdy slee.,I hardly sleep.,nlp_randchar_del+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
"I ' ve bZen like ths for a lon time now whJrein I leep yt arBund 9 or 10pm, hopig to wak uP arly in the orning at around 7 - 8pm, the all of a suden I wake up at 12 or 2am in the morning feelng groggy and now I cant get back bed.","I ' ve bZen like ths for a lon time now whJrein I leep yt arBund 9 or 10pm, hopig to wak uP arly in the orning at around 7 - 8pm, the all of a suden I wake up at 12 or 2am in the morning feelng groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_del+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like thj for a lon time now wherein I leep at around 9 or 10pm, hopig to wak up arly in the orning at around 7 - 8pm, the all of a suden I wake ut at 12 or 2am iZ the morning feelng groggy and noQ I Vant get back bed.","I ' ve been like thj for a lon time now wherein I leep at around 9 or 10pm, hopig to wak up arly in the orning at around 7 - 8pm, the all of a suden I wake ut at 12 or 2am iZ the morning feelng groggy and noQ I Vant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_del+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
Ths had ma rying,Ths had ma rying,This had me crying,nlp_randchar_del+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
xis had me cryng,xis had me cryng,This had me crying,nlp_randchar_del+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
I ost Oy libdo.,I ost Oy libdo.,I lost my libido.,nlp_randchar_del+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I osF my liido.,I osF my liido.,I lost my libido.,nlp_randchar_del+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I am Heng totured.,I am Heng totured.,I am being tortured.,nlp_randchar_del+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
I am bVin tortred.,I am bVin tortred.,I am being tortured.,nlp_randchar_del+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
"I was abl to experience noelty and joy even if I did Xtll feel lonely / depressed and would self Marm, I had the ability to enjoy and feel like the real me - now aNl tats gon and Ive Ist gotten buried Bno a depressive hoe wher everyday is lied robotically or ghostly.","I was abl to experience noelty and joy even if I did Xtll feel lonely / depressed and would self Marm, I had the ability to enjoy and feel like the real me - now aNl tats gon and Ive Ist gotten buried Bno a depressive hoe wher everyday is lied robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+ta_char_rand_swap,ANHEDONIA,1,s_258_546_2
"I was abl to experience noelty and joy even if I YXd stll feel lonely / depressed and would self harm, I had the ability to enjoy and feel like the real me - now all tats gon and Ive wst gotten buried ino a depressive hoe wher everyday is lied robztically or ghoFtly.","I was abl to experience noelty and joy even if I YXd stll feel lonely / depressed and would self harm, I had the ability to enjoy and feel like the real me - now all tats gon and Ive wst gotten buried ino a depressive hoe wher everyday is lied robztically or ghoFtly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+ta_char_rand_swap,ANHEDONIA,1,s_258_546_2
"Masturbating rghN before VnL also durin sleep I fel like its affecting my slep qualit If I wake up tird in the morning when I houcd go back to sleep, instead I sart masturbting which also afects how much rest I get.","Masturbating rghN before VnL also durin sleep I fel like its affecting my slep qualit If I wake up tird in the morning when I houcd go back to sleep, instead I sart masturbting which also afects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_del+ta_char_rand_swap,SLEEP_ISSUES,1,s_1404_1455_0
