post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"And in the caPse for major Fdepression, you ' re usually exp^eriencing a ԁCepletion or a disregulation of neuarotransmittekrs lik_e d@opamine and serotonin and you𝒌r brain tjust itsnt workіng properly.","And in the caPse for major Fdepression, you ' re usually exp^eriencing a ԁCepletion or a disregulation of neuarotransmittekrs lik_e d@opamine and serotonin and you𝒌r brain tjust itsnt workіng properly.","And in the case for major depression, you're usually experiencing a depletion or a disregulation of neurotransmitters like dopamine and serotonin and your brain just isnt working properly.",nlp_randchar_ins+ta_wordswap_homoglyph,FATIGUE,1,s_2886_101_1
"I 100% klnow that if I ha$ve to go to Ncollege Kaloոe withQout my fami)ly or any support Im gonna end up killing myself. .. . Im barely keep5ing my self alivpe now, I can ' t imagine being all Ьy myseⅼf and dealing with my thoiughts ɑnd emotionIs!","I 100% klnow that if I ha$ve to go to Ncollege Kaloոe withQout my fami)ly or any support Im gonna end up killing myself. .. . Im barely keep5ing my self alivpe now, I can ' t imagine being all Ьy myseⅼf and dealing with my thoiughts ɑnd emotionIs!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% klnow 𝚝hat if I hɑ$ve to go to Ncollege Kalone withQout my fami)ly or any support Im gonna end up killing myself. .. . Im barely keep5ing my self aⅼivpe now, I can ' t iｍagine being all by myself and dealing with my thoiughts and emotionIs!","I 100% klnow 𝚝hat if I hɑ$ve to go to Ncollege Kalone withQout my fami)ly or any support Im gonna end up killing myself. .. . Im barely keep5ing my self aⅼivpe now, I can ' t iｍagine being all by myself and dealing with my thoiughts and emotionIs!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I don ' t ⅼikse me.,I don ' t ⅼikse me.,I don't like me.,nlp_randchar_ins+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I don ' t likUe mе.,I don ' t likUe mе.,I don't like me.,nlp_randchar_ins+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I ' ve crіetd.,I ' ve crіetd.,I've cried.,nlp_randchar_ins+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I ' ve cⲅiped.,I ' ve cⲅiped.,I've cried.,nlp_randchar_ins+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I hIardly esleеp.,I hIardly esleеp.,I hardly sleep.,nlp_randchar_ins+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I հardaly s#leep.,I հardaly s#leep.,I hardly sleep.,nlp_randchar_ins+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
"I was jrust feeling like shi#t, so I di^dn ' t eat for a while, and the7n eonce a week pas0sed aոd I was feelіFng OK agɑin, I was waitinɡ for the "" I ' m hungry "" signal agWain to eat, but it nevher cQame.","I was jrust feeling like shi#t, so I di^dn ' t eat for a while, and the7n eonce a week pas0sed aոd I was feelіFng OK agɑin, I was waitinɡ for the "" I ' m hungry "" signal agWain to eat, but it nevher cQame.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_randchar_ins+ta_wordswap_homoglyph,APPETITE_CHANGE,1,s_1294_205_1
