post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fеel so popressed.,I fеel so popressed.,I feel so oppressed.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I feel sо opprsesed.,I feel sо opprsesed.,I feel so oppressed.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I ahve to go to college alone withotu my faimly or any support Im gonna end up kililոg myself. .. . Im barely keeping my sefl aliev now, I can ' t imagine ebing all by myself and еdalіng wtih my htougհts and emotions!","I 100% know that if I ahve to go to college alone withotu my faimly or any support Im gonna end up kililոg myself. .. . Im barely keeping my sefl aliev now, I can ' t imagine ebing all by myself and еdalіng wtih my htougհts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_swap+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I cոat stop rcying.,I cոat stop rcying.,I cant stop crying.,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
I cant stpo crynіg.,I cant stpo crynіg.,I cant stop crying.,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was olny latre after my second boyfrined, I reailzed I cannto feel sxeual attractoin (if I have, it was very tempоrary ), and that I am probably asexual due to the fact that I jsut get diѕgusted iwth myself whոe it comeѕ to the sex part.","It was olny latre after my second boyfrined, I reailzed I cannto feel sxeual attractoin (if I have, it was very tempоrary ), and that I am probably asexual due to the fact that I jsut get diѕgusted iwth myself whոe it comeѕ to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_swap+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I don ' t lkie mе.,I don ' t lkie mе.,I don't like me.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I don ' t ilke mе.,I don ' t ilke mе.,I don't like me.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I ' ve ϲride.,I ' ve ϲride.,I've cried.,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I ' ve cіred.,I ' ve cіred.,I've cried.,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I beagn 𝚝o cry.,I beagn 𝚝o cry.,I began to cry.,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I Ьeagn to cry.,I Ьeagn to cry.,I began to cry.,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I ahrԁly sleep.,I ahrԁly sleep.,I hardly sleep.,nlp_randchar_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I hadrly ѕlepe.,I hadrly ѕlepe.,I hardly sleep.,nlp_randchar_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I am vrey saԁ.,I am vrey saԁ.,I am very sad.,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I am veyr sɑd.,I am veyr sɑd.,I am very sad.,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
"I ' ve eben like thsi for a olnɡ time now wհerein I sleep at around 9 or 01pm, hoping to wake up early in the morning at around 7 - 8pm, then all of a sudedn I wkae up at 12 or 2am in the ｍroning feelign gоrggy and now I ϲant get bakc bed.","I ' ve eben like thsi for a olnɡ time now wհerein I sleep at around 9 or 01pm, hoping to wake up early in the morning at around 7 - 8pm, then all of a sudedn I wkae up at 12 or 2am in the ｍroning feelign gоrggy and now I ϲant get bakc bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I ' ve bene liek this fоr a long itme now whreein I sleep at aroudn 9 or 10pm, hopnig to wake up early in tհe moriոng ɑt raound 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling grogɡy and now I acnt get abck bed.","I ' ve bene liek this fоr a long itme now whreein I sleep at aroudn 9 or 10pm, hopnig to wake up early in tհe moriոng ɑt raound 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling grogɡy and now I acnt get abck bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
Im so tіerd,Im so tіerd,Im so tired,nlp_randchar_swap+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Im so 𝚝irde,Im so 𝚝irde,Im so tired,nlp_randchar_swap+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Thsi hɑd me crynig,Thsi hɑd me crynig,This had me crying,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
Thsi had me cⲅynig,Thsi had me cⲅynig,This had me crying,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
I wnat 𝚝o die,I wnat 𝚝o die,I want to die,nlp_randchar_swap+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I ԝatn to die,I ԝatn to die,I want to die,nlp_randchar_swap+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lots my liibԁo.,I lots my liibԁo.,I lost my libido.,nlp_randchar_swap+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I lots my libіod.,I lots my libіod.,I lost my libido.,nlp_randchar_swap+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I am beіgn otrtured.,I am beіgn otrtured.,I am being tortured.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
I am beiɡn torturde.,I am beiɡn torturde.,I am being tortured.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
"I ԝas abel to experience noevlty and joy eѵen if I diԁ still feel loneyl / deperssed and would self ahrm, I had the ability to enjоy and feel ilke the rael me - now all thats gone and Ive just gotten buride into a depressive hole whеre veeryday is lived robotically or ghostly.","I ԝas abel to experience noevlty and joy eѵen if I diԁ still feel loneyl / deperssed and would self ahrm, I had the ability to enjоy and feel ilke the rael me - now all thats gone and Ive just gotten buride into a depressive hole whеre veeryday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_swap+ta_wordswap_homoglyph,ANHEDONIA,1,s_258_546_2
"Masturbating irght befoer and alos during sleep I fele like its fafecting my selep quality If I waek up tired in the ｍorոinɡ whne I shoudl gо back to sleep, instead I start amsturbating which also affects how much rest I get.","Masturbating irght befoer and alos during sleep I fele like its fafecting my selep quality If I waek up tired in the ｍorոinɡ whne I shoudl gо back to sleep, instead I start amsturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
i do awnt 𝚝o die,i do awnt 𝚝o die,i do want to die,nlp_randchar_swap+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
i do aԝnt to die,i do aԝnt to die,i do want to die,nlp_randchar_swap+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
I cry reytіme,I cry reytіme,I cry erytime,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
I cry еryitme,I cry еryitme,I cry erytime,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
i really ahte msуelf,i really ahte msуelf,i really hate myself,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_31_4
i realⅼy ahte msyelf,i realⅼy ahte msyelf,i really hate myself,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_31_4
I ' m qutiе angyr,I ' m qutiе angyr,I'm quite angry,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m qiute nagⲅy,I ' m qiute nagⲅy,I'm quite angry,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I ' ｍ erally tried.,I ' ｍ erally tried.,I'm really tired.,nlp_randchar_swap+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
I ' m relaⅼy itred.,I ' m relaⅼy itred.,I'm really tired.,nlp_randchar_swap+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
"I work rfom ohme, and I dоn ' t sleep well for tհe most patr (I have insomnia and compleetly rely on sleep aisd, and they tned not to give уou a ɡood night ' s rest, which results in fatigue a few hours after awkiոg up ), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I coudl do, Ьut tsaying waake and doing it right then wоuld be bеtter ).","I work rfom ohme, and I dоn ' t sleep well for tհe most patr (I have insomnia and compleetly rely on sleep aisd, and they tned not to give уou a ɡood night ' s rest, which results in fatigue a few hours after awkiոg up ), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I coudl do, Ьut tsaying waake and doing it right then wоuld be bеtter ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_2292_402_1
"I wokr from home, aոd I don ' t sleep weⅼl for the most part (I ahve insomnia and comlpetely rely on sleep aids, anԁ theу tend not to give you a godo night ' s rest, which rseults in fatigue a feԝ hours afetr ԝaking up ), so at osme point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I ϲoudl do, Ьut styaing awake and doign it right then would be better ).","I wokr from home, aոd I don ' t sleep weⅼl for the most part (I ahve insomnia and comlpetely rely on sleep aids, anԁ theу tend not to give you a godo night ' s rest, which rseults in fatigue a feԝ hours afetr ԝaking up ), so at osme point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I ϲoudl do, Ьut styaing awake and doign it right then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_swap+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_2292_402_1
I was sueleѕs.,I was sueleѕs.,I was useless.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
I was useеlss.,I was useеlss.,I was useless.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
I am vrey tirԁe.,I am vrey tirԁe.,I am very tired.,nlp_randchar_swap+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
I am ѵrey tirde.,I am ѵrey tirde.,I am very tired.,nlp_randchar_swap+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
"So here is the case. . It ' s been naerly 4 yeasr, isnce i really don ' t fеle like myself. . I am still interestde in activitіes htat nitеrested me before, but my emotions are so weak and i am much less sensitiev 𝚝o particular htings / peopel.","So here is the case. . It ' s been naerly 4 yeasr, isnce i really don ' t fеle like myself. . I am still interestde in activitіes htat nitеrested me before, but my emotions are so weak and i am much less sensitiev 𝚝o particular htings / peopel.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randchar_swap+ta_wordswap_homoglyph,ANHEDONIA,1,s_1127_16_1
"So here is the case. . It ' s been naerly 4 yeasr, isnce i really don ' t fеle like myself. . I am still interestde in activitіes htat nitеrested me before, but my emotions are so weak and i am much less sensitiev 𝚝o particular htings / peopel.","So here is the case. . It ' s been naerly 4 yeasr, isnce i really don ' t fеle like myself. . I am still interestde in activitіes htat nitеrested me before, but my emotions are so weak and i am much less sensitiev 𝚝o particular htings / peopel.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randchar_swap+ta_wordswap_homoglyph,ANHEDONIA,1,s_1127_16_1
I ' m useelѕs.,I ' m useelѕs.,I'm useless.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_32
I ' m usеelss.,I ' m usеelss.,I'm useless.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_32
Ah𝚝ing my failuer.,Ah𝚝ing my failuer.,Hating my failure.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2815_1585_9
Haitng my fɑiulre.,Haitng my fɑiulre.,Hating my failure.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2815_1585_9
"I realyl don ' t want to die, but I crave for the world to be a mcuh betetr place, I cⲅave for a osrt o𝚏 life whree I efeⅼ in control for once, ɑ ilfe hwere I don ' t feel like I ' m bieng led liek a horse.","I realyl don ' t want to die, but I crave for the world to be a mcuh betetr place, I cⲅave for a osrt o𝚏 life whree I efeⅼ in control for once, ɑ ilfe hwere I don ' t feel like I ' m bieng led liek a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_randchar_swap+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It maeks me ѕad. ""","It maeks me ѕad. ""","It makes me sad.""",nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1115_951_1
"It makse me ѕad. ""","It makse me ѕad. ""","It makes me sad.""",nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1115_951_1
I ahte yｍself.,I ahte yｍself.,I hate myself.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1601_880_7
I htae уmself.,I htae уmself.,I hate myself.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1601_880_7
I am. . sadеnss,I am. . sadеnss,I am.. sadness,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_855_1863_0
I am. . sadenѕs,I am. . sadenѕs,I am.. sadness,nlp_randchar_swap+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_855_1863_0
I haеt myeslf.,I haеt myeslf.,I hate myself.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2006_107_7
I haet myеslf.,I haet myеslf.,I hate myself.,nlp_randchar_swap+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2006_107_7
I ' m so tⲅied.,I ' m so tⲅied.,I'm so tired.,nlp_randchar_swap+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_10
I ' m so triеd.,I ' m so triеd.,I'm so tired.,nlp_randchar_swap+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_10
I ' m sо tirde.,I ' m sо tirde.,I'm so tired.,nlp_randchar_swap+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_16
