post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fee/ so oppreseeR.,I fee/ so oppreseeR.,I feel so oppressed.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I fee/ so oppresdeR.,I fee/ so oppresdeR.,I feel so oppressed.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go to college aloGe wituout my Tamilu or any support Im gonna end up killing myself. .. . Im Harely keeling my self akive now, I can ' t ijagine eeing all vj <yself and dealing qith my thoughts and emotions!","I 100% know that if I have to go to college aloGe wituout my Tamilu or any support Im gonna end up killing myself. .. . Im Harely keeling my self akive now, I can ' t ijagine eeing all vj <yself and dealing qith my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_keyboard+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I cAnt aGop crying.,I cAnt aGop crying.,I cant stop crying.,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I cAjt sGop crying.,I cAjt sGop crying.,I cant stop crying.,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"It was only larer after my seXond boyfEiend, I eealized I cqnhot feel sexual attraction (if I havW, it was very temporary ), and that I am probably asexual due to the fact thaf I jkst get eisgusted with myself when ih coNes tl the sex pXrt.","It was only larer after my seXond boyfEiend, I eealized I cqnhot feel sexual attraction (if I havW, it was very temporary ), and that I am probably asexual due to the fact thaf I jkst get eisgusted with myself when ih coNes tl the sex pXrt.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_keyboard+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
"It was on/y la$er after my second boyfeiend, I realized I cannot feel sexual attraction (if I have, ir was very 6emporary ), and tmat I am probably asexua, due to the fQct that I juDt get disguQted with m^self when ih comes to rhe sex parg.","It was on/y la$er after my second boyfeiend, I realized I cannot feel sexual attraction (if I have, ir was very 6emporary ), and tmat I am probably asexua, due to the fQct that I juDt get disguQted with m^self when ih comes to rhe sex parg.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_keyboard+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
I din ' t lLke me.,I din ' t lLke me.,I don't like me.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I eon ' t lLke me.,I eon ' t lLke me.,I don't like me.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I ' ve vdied.,I ' ve vdied.,I've cried.,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I ' ve cdier.,I ' ve cdier.,I've cried.,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I Gegqn to cry.,I Gegqn to cry.,I began to cry.,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I Hegan to crt.,I Hegan to crt.,I began to cry.,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I gardly slwel.,I gardly slwel.,I hardly sleep.,nlp_keyboard+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I ha$dly xldep.,I ha$dly xldep.,I hardly sleep.,nlp_keyboard+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I am vfry sad.,I am vfry sad.,I am very sad.,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
I aj Gery sad.,I aj Gery sad.,I am very sad.,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
"I ' ve been .ike thUs for a llng time jow wterein I slfep at around 9 kr 10p,, hoping yo wake up early in the morning at ar9und 7 - 8pm, %hen all of a suXden I wake up at 12 or 2am in the mKrning feel&ng grogHy and now I cant get back bed.","I ' ve been .ike thUs for a llng time jow wterein I slfep at around 9 kr 10p,, hoping yo wake up early in the morning at ar9und 7 - 8pm, %hen all of a suXden I wake up at 12 or 2am in the mKrning feel&ng grogHy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_852_229_1
"I ' vd been like thjs for a long time now wherein I sleep at around 9 or @0pm, hopinB to wXke up earlu in the m(rning at aGound 7 - 8pm, ghen alk of a sudden I wake uo at 12 og 2am in the morning fseling groggy and now I cQnt get baFk bed.","I ' vd been like thjs for a long time now wherein I sleep at around 9 or @0pm, hopinB to wXke up earlu in the m(rning at aGound 7 - 8pm, ghen alk of a sudden I wake uo at 12 og 2am in the morning fseling groggy and now I cQnt get baFk bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_852_229_1
Im so tit@d,Im so tit@d,Im so tired,nlp_keyboard+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
Im so tir4r,Im so tir4r,Im so tired,nlp_keyboard+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
Th*s had me cdyinV,Th*s had me cdyinV,This had me crying,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
Th7s had je xrying,Th7s had je xrying,This had me crying,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
I wanf fo die,I wanf fo die,I want to die,nlp_keyboard+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
I wxnh to die,I wxnh to die,I want to die,nlp_keyboard+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
I loat jy libiFo.,I loat jy libiFo.,I lost my libido.,nlp_keyboard+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
I lpst mh libiEo.,I lpst mh libiEo.,I lost my libido.,nlp_keyboard+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
I am b$ing y8rtured.,I am b$ing y8rtured.,I am being tortured.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
I am bekng todyured.,I am bekng todyured.,I am being tortured.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
"I eas zble to experience novelty and joy wven if I sid still feeK lonely / depresAed and wou,d self harm, I had the ability to enjoy anr feel llke the real me - now all thats gone and Ive just gottem buriSd Knto a depressive hole where eGeryday is kived robotically or ghostly.","I eas zble to experience novelty and joy wven if I sid still feeK lonely / depresAed and wou,d self harm, I had the ability to enjoy anr feel llke the real me - now all thats gone and Ive just gottem buriSd Knto a depressive hole where eGeryday is kived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_keyboard+ta_wordswap_qwerty,ANHEDONIA,1,s_258_546_2
i do wah^ to die,i do wah^ to die,i do want to die,nlp_keyboard+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
i do wamt to doe,i do wamt to doe,i do want to die,nlp_keyboard+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
I cey er6time,I cey er6time,I cry erytime,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_523_60_1
I cry egytJme,I cry egytJme,I cry erytime,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_523_60_1
i reWlly Uate mjself,i reWlly Uate mjself,i really hate myself,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_31_4
i reWlly Uate kyself,i reWlly Uate kyself,i really hate myself,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_31_4
I ' m 2uite anggh,I ' m 2uite anggh,I'm quite angry,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m quoge aMgry,I ' m quoge aMgry,I'm quite angry,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m reZlly 4ifed.,I ' m reZlly 4ifed.,I'm really tired.,nlp_keyboard+ta_wordswap_qwerty,FATIGUE,1,s_547_567_2
I ' m reZlly 4irfd.,I ' m reZlly 4irfd.,I'm really tired.,nlp_keyboard+ta_wordswap_qwerty,FATIGUE,1,s_547_567_2
"I work from home, and I don ' t sleep well for the mist pary (I have insomnia and completslj rely on sleep aids, and they tend nog to give you a good night ' s rest, which results in fatigue a few hours afRer wak9ng up ), so at aime point durinR the day, I usually get a little tired and have the utge to just crawl ijto bed and fiHish my work later (which I could do, but staying wwwke and doing it right thfJ wokld be better ).","I work from home, and I don ' t sleep well for the mist pary (I have insomnia and completslj rely on sleep aids, and they tend nog to give you a good night ' s rest, which results in fatigue a few hours afRer wak9ng up ), so at aime point durinR the day, I usually get a little tired and have the utge to just crawl ijto bed and fiHish my work later (which I could do, but staying wwwke and doing it right thfJ wokld be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_keyboard+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_2292_402_1
I was jseleZs.,I was jseleZs.,I was useless.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1899_440_13
I was usrlfss.,I was usrlfss.,I was useless.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1899_440_13
I an vFry tUred.,I an vFry tUred.,I am very tired.,nlp_keyboard+ta_wordswap_qwerty,FATIGUE,1,s_1030_1290_8
I am gedy tiTed.,I am gedy tiTed.,I am very tired.,nlp_keyboard+ta_wordswap_qwerty,FATIGUE,1,s_1030_1290_8
I ' m use.esd.,I ' m use.esd.,I'm useless.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1933_175_32
I ' m use.esx.,I ' m use.esx.,I'm useless.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1933_175_32
HQting mt fai;ure.,HQting mt fai;ure.,Hating my failure.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2815_1585_9
HQting my fqi;ure.,HQting my fqi;ure.,Hating my failure.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2815_1585_9
"It <akes me sax. ""","It <akes me sax. ""","It makes me sad.""",nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_1115_951_1
"It jakes mf sad. ""","It jakes mf sad. ""","It makes me sad.""",nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_1115_951_1
I haff myse:f.,I haff myse:f.,I hate myself.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1601_880_7
I hat$ nyseof.,I hat$ nyseof.,I hate myself.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1601_880_7
I aj. . sadnesX,I aj. . sadnesX,I am.. sadness,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_855_1863_0
I am. . sacnesX,I am. . sacnesX,I am.. sadness,nlp_keyboard+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_855_1863_0
I hafe mgse:f.,I hafe mgse:f.,I hate myself.,nlp_keyboard+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2006_107_7
