post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
Feel eo oppressed.,Feel eo oppressed.,I feel so oppressed.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
Feel so oppresssd.,Feel so oppresssd.,I feel so oppressed.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I wae filled with.,I wae filled with.,I was filled with energy.,nlp_randword_delete+ta_wordswap_qwerty,FATIGUE,1,s_993_1060_1
I wax filled with.,I wax filled with.,I was filled with energy.,nlp_randword_delete+ta_wordswap_qwerty,FATIGUE,1,s_993_1060_1
"I 100% know that if I have to to collegf alone without my family or any support Im gonna end up myself. .. . barely keeping my self alive now, I ' t imagine aol by myself and desling witg my thoughts and emotions!","I 100% know that if I have to to collegf alone without my family or any support Im gonna end up myself. .. . barely keeping my self alive now, I ' t imagine aol by myself and desling witg my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_delete+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I ' m on fhe floor.,I ' m on fhe floor.,I'm crying on the floor.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2401_82_1
I ' m on the flpor.,I ' m on the flpor.,I'm crying on the floor.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2401_82_1
Mh life is going.,Mh life is going.,My life is going nowhere.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2455_114_1
My life is doing.,My life is doing.,My life is going nowhere.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2455_114_1
I cant crging.,I cant crging.,I cant stop crying.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I cqnt stop.,I cqnt stop.,I cant stop crying.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"It only later after ny second boyfriend, I realized cannot feel sexuzl attraction (if I have, it very ), and that I am probably asexual due to the fact that I get disgusted wkth nyself when it comes to the sex part.","It only later after ny second boyfriend, I realized cannot feel sexuzl attraction (if I have, it very ), and that I am probably asexual due to the fact that I get disgusted wkth nyself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_delete+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
I don ' t mr.,I don ' t mr.,I don't like me.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I dom ' t me.,I dom ' t me.,I don't like me.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
Im tirex So,Im tirex So,Im generally tired So,nlp_randword_delete+ta_wordswap_qwerty,FATIGUE,1,s_2007_1467_0
Im gendrally So,Im gendrally So,Im generally tired So,nlp_randword_delete+ta_wordswap_qwerty,FATIGUE,1,s_2007_1467_0
I ' ce.,I ' ce.,I've cried.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I tk cry.,I tk cry.,I began to cry.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I began ti.,I began ti.,I began to cry.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
Imma kill muself now,Imma kill muself now,Imma go kill myself now,nlp_randword_delete+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2638_683_0
Imma kill myself mow,Imma kill myself mow,Imma go kill myself now,nlp_randword_delete+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2638_683_0
I soeep.,I soeep.,I hardly sleep.,nlp_randword_delete+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I slewp.,I slewp.,I hardly sleep.,nlp_randword_delete+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I an very.,I an very.,I am very sad.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
I very wad.,I very wad.,I am very sad.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
I feel kinda reakly,I feel kinda reakly,I feel kinda really sad,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_962_142_0
I feel really wad,I feel really wad,I feel kinda really sad,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_962_142_0
I am vdry depressed.,I am vdry depressed.,I am very depressed also.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_131_822_0
I am very deprrssed.,I am very deprrssed.,I am very depressed also.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_131_822_0
"I ' m very, gery. ""","I ' m very, gery. ""","I'm very, very pessimistic.""",nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_1478_365_9
"I ' m bery, very. ""","I ' m bery, very. ""","I'm very, very pessimistic.""",nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_1478_365_9
"I ' ve been like tgis for a long time now sleep at around 9 or 10pm, noping to wake up early the morning at around 7 - 8pm, tjen all of a sudden I wake up at 12 or 2am the morning feeling and now I cant get back bdd.","I ' ve been like tgis for a long time now sleep at around 9 or 10pm, noping to wake up early the morning at around 7 - 8pm, tjen all of a sudden I wake up at 12 or 2am the morning feeling and now I cant get back bdd.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_delete+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like this for a time now wherein I sleep at around or 10pm, hoping to wake up early in morning at around 7 - 8pm, then all of a sudden I wake up at 12 or 2aj in thw morning feeling and now I xaht get bed.","I ' ve been like this for a time now wherein I sleep at around or 10pm, hoping to wake up early in morning at around 7 - 8pm, then all of a sudden I wake up at 12 or 2aj in thw morning feeling and now I xaht get bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_delete+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_852_229_1
Um tired,Um tired,Im so tired,nlp_randword_delete+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
Im tkred,Im tkred,Im so tired,nlp_randword_delete+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
This had ctying,This had ctying,This had me crying,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
Thid me crying,Thid me crying,This had me crying,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
Wanr to die,Wanr to die,I want to die,nlp_randword_delete+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
Want to eie,Want to eie,I want to die,nlp_randword_delete+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lost linido.,I lost linido.,I lost my libido.,nlp_randword_delete+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
I lost mg.,I lost mg.,I lost my libido.,nlp_randword_delete+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
I jhst cant enjoy.,I jhst cant enjoy.,I just cant enjoy anything.,nlp_randword_delete+ta_wordswap_qwerty,ANHEDONIA,1,s_1404_60_7
I jusy cant enjoy.,I jusy cant enjoy.,I just cant enjoy anything.,nlp_randword_delete+ta_wordswap_qwerty,ANHEDONIA,1,s_1404_60_7
"I feel worthoess,.","I feel worthoess,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_615_3
"I frel worthless,.","I frel worthless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_615_3
"I frel worthless,.","I frel worthless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_615_3
"I reel worthless,.","I reel worthless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_615_3
"I frel worthless,.","I frel worthless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_615_3
"I reel worthless,.","I reel worthless,.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_615_3
I beind tortured.,I beind tortured.,I am being tortured.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
I being torhured.,I being torhured.,I am being tortured.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
I cried to slefp.,I cried to slefp.,I cried myself to sleep.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_1692_755_113
I cried tl sleep.,I cried tl sleep.,I cried myself to sleep.,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_1692_755_113
Anx I hate for it.,Anx I hate for it.,And I hate myself for it.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_614_806_3
Ajd I hate for it.,Ajd I hate for it.,And I hate myself for it.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,1,s_614_806_3
"Was able tk experience novelty and joy even if die still feel loneky / depressed and would self harm, had the ability enjoy and feel like the real me - noa all thats gone and Ive just gotten buried into a depressive hole where everyday lived robotically or ghostly.","Was able tk experience novelty and joy even if die still feel loneky / depressed and would self harm, had the ability enjoy and feel like the real me - noa all thats gone and Ive just gotten buried into a depressive hole where everyday lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randword_delete+ta_wordswap_qwerty,ANHEDONIA,1,s_258_546_2
"I was able to experience novelty joy eveb if I did stiol feel lonely / and woild self, I had the to enjoy feel like the real me - now qll thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.","I was able to experience novelty joy eveb if I did stiol feel lonely / and woild self, I had the to enjoy feel like the real me - now qll thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randword_delete+ta_wordswap_qwerty,ANHEDONIA,1,s_258_546_2
I eimply can ' t.,I eimply can ' t.,I simply can't focus.,nlp_randword_delete+ta_wordswap_qwerty,COGNITIVE_ISSUES,1,s_1404_715_5
I qimply can ' t.,I qimply can ' t.,I simply can't focus.,nlp_randword_delete+ta_wordswap_qwerty,COGNITIVE_ISSUES,1,s_1404_715_5
This made me feek.,This made me feek.,This made me feel guilty.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,0,s_993_644_17
This nade me feel.,This nade me feel.,This made me feel guilty.,nlp_randword_delete+ta_wordswap_qwerty,WORTHLESSNESS,0,s_993_644_17
"Masturbating right before and also I like its affecting my sleeo quality If I wake up tired in the morning I should ho back to sleep, instead I start masturbating which also affects hoa much rest I get.","Masturbating right before and also I like its affecting my sleeo quality If I wake up tired in the morning I should ho back to sleep, instead I start masturbating which also affects hoa much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randword_delete+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake jp tired ij the morning when I should go back to sleep, insfead I start masturbating which also I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake jp tired ij the morning when I should go back to sleep, insfead I start masturbating which also I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randword_delete+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1404_1455_0
i do want ho,i do want ho,i do want to die,nlp_randword_delete+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
i do tl die,i do tl die,i do want to die,nlp_randword_delete+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
Crj erytime,Crj erytime,I cry erytime,nlp_randword_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_523_60_1
