post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I efwl so oppressed.,I efwl so oppressed.,I feel so oppressed.,ta_char_neighbor+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I efel so fppressed.,I efel so fppressed.,I feel so oppressed.,ta_char_neighbor+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I cant sotp cryDng.,I cant sotp cryDng.,I cant stop crying.,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I caet sotp crying.,I caet sotp crying.,I cant stop crying.,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later after my second boyfriend, I realized I cannot feel sexuaE attraction (fi I have, it was very temporary), and htat I am probably asetual due to the fcaJ that I ujst get disgusted with myself when it comes to thT sex part.","It was only later after my second boyfriend, I realized I cannot feel sexuaE attraction (fi I have, it was very temporary), and htat I am probably asetual due to the fcaJ that I ujst get disgusted with myself when it comes to thT sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_neighbor+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
I do'nt like fe.,I do'nt like fe.,I don't like me.,ta_char_neighbor+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I do'nt like mv.,I do'nt like mv.,I don't like me.,ta_char_neighbor+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I'ev cAied.,I'ev cAied.,I've cried.,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
IAve cride.,IAve cride.,I've cried.,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I begna co cry.,I begna co cry.,I began to cry.,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I began ko rcy.,I began ko rcy.,I began to cry.,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I aNrdly sleep.,I aNrdly sleep.,I hardly sleep.,ta_char_neighbor+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I ahrIly sleep.,I ahrIly sleep.,I hardly sleep.,ta_char_neighbor+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I aw evry sad.,I aw evry sad.,I am very sad.,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I am evry sQd.,I am evry sQd.,I am very sad.,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
"I've been like this for a long time now wherein I Zleep at around 9 or 10pm, hoping to wzke up earlu in hte morning aY raound 7-8pm, then all of a suddHn I wake up at 12 or a2m in the morning feeling groggy and now I cant get bcak ebd.","I've been like this for a long time now wherein I Zleep at around 9 or 10pm, hoping to wzke up earlu in hte morning aY raound 7-8pm, then all of a suddHn I wake up at 12 or a2m in the morning feeling groggy and now I cant get bcak ebd.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_neighbor+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a long time now wGerein I sleep at around 9 or 10pm, hoping to wake up early in hte myrning ab raound 7-8pm, then all od a sudden I wake up at 12 or a2m in the morning feelinZ groggy and now I cant get bcak ebd.","I've been like this for a long time now wGerein I sleep at around 9 or 10pm, hoping to wake up early in hte myrning ab raound 7-8pm, then all od a sudden I wake up at 12 or a2m in the morning feelinZ groggy and now I cant get bcak ebd.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_neighbor+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
Ij os tired,Ij os tired,Im so tired,ta_char_neighbor+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Im so itrUd,Im so itrUd,Im so tired,ta_char_neighbor+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
This had me crZign,This had me crZign,This had me crying,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
ThiP had me crynig,ThiP had me crynig,This had me crying,ta_char_neighbor+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
I want to iei,I want to iei,I want to die,ta_char_neighbor+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I wLnt ot die,I wLnt ot die,I want to die,ta_char_neighbor+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I Xost my liibdo.,I Xost my liibdo.,I lost my libido.,ta_char_neighbor+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I lsot mc libido.,I lsot mc libido.,I lost my libido.,ta_char_neighbor+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
