post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fee1 s0 opprеssed.,I fee1 s0 opprеssed.,I feel so oppressed.,nlp_ocr+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I fee1 sо oppressed.,I fee1 sо oppressed.,I feel so oppressed.,nlp_ocr+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
"1 100% know that if I have to go to college alone without my family or any support 1m gonna end up killіng my8elf. .. . 1m barely keeping my self alive now, I ϲan ' t imagine 6eing all 6y myself and dealing with my tհoughts and eｍotion8!","1 100% know that if I have to go to college alone without my family or any support 1m gonna end up killіng my8elf. .. . 1m barely keeping my self alive now, I ϲan ' t imagine 6eing all 6y myself and dealing with my tհoughts and eｍotion8!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
1 cɑnt stop cryin9.,1 cɑnt stop cryin9.,I cant stop crying.,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
1 cant stоp cryin9.,1 cant stоp cryin9.,I cant stop crying.,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was 0nly later after my 8econd boyfriend, I realized I cannut fee1 sexual attraction (if I have, it was very tempora𝒌y ), and that I am probably asexual doe to the fact that I just get disgusted with mуself whеn it comes to the sеx part.","It was 0nly later after my 8econd boyfriend, I realized I cannut fee1 sexual attraction (if I have, it was very tempora𝒌y ), and that I am probably asexual doe to the fact that I just get disgusted with mуself whеn it comes to the sеx part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
"It was only latek after my second 6oyfriend, I realized 1 cann0t feel sexual attraction (if 1 have, it was very temporary ), and that I am probably asexual due to the fac𝚝 that I ju8t get disgusted with ｍysel𝚏 when it comes to 𝚝he sex part.","It was only latek after my second 6oyfriend, I realized 1 cann0t feel sexual attraction (if 1 have, it was very temporary ), and that I am probably asexual due to the fac𝚝 that I ju8t get disgusted with ｍysel𝚏 when it comes to 𝚝he sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I don ' t like mе.,I don ' t like mе.,I don't like me.,nlp_ocr+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I doո ' t like me.,I doո ' t like me.,I don't like me.,nlp_ocr+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
1 ' ve ckieԁ.,1 ' ve ckieԁ.,I've cried.,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
1 ' ve c𝒌ied.,1 ' ve c𝒌ied.,I've cried.,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I be9an tо cky.,I be9an tо cky.,I began to cry.,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
1 began to c𝒌y.,1 began to c𝒌y.,I began to cry.,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I հardly 8leep.,I հardly 8leep.,I hardly sleep.,nlp_ocr+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I hardly s1eеp.,I hardly s1eеp.,I hardly sleep.,nlp_ocr+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
1 am very Ȣad.,1 am very Ȣad.,I am very sad.,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
1 am very ѕad.,1 am very ѕad.,I am very sad.,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
"I ' ve been like thi8 for a long time now wherein I sleeр at arouոd 9 or l0pm, hoping to wake op earⅼy in the morning at arоund 7 - 5pm, then all of a sudden I wake up at 12 оr Zam in the morning feeling gruggy and now I cant get back 6ed.","I ' ve been like thi8 for a long time now wherein I sleeр at arouոd 9 or l0pm, hoping to wake op earⅼy in the morning at arоund 7 - 5pm, then all of a sudden I wake up at 12 оr Zam in the morning feeling gruggy and now I cant get back 6ed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_ocr+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like thi8 for a long timе now wherein I sleep at around 9 or l0pm, hoping to wake op early in the mоrning at ɑround 7 - 5pm, then all of a sudden I wake up at 12 or Zam in tհe morning feeling gruggy and now I cant gеt back 6ed.","I ' ve been like thi8 for a long timе now wherein I sleep at around 9 or l0pm, hoping to wake op early in the mоrning at ɑround 7 - 5pm, then all of a sudden I wake up at 12 or Zam in tհe morning feeling gruggy and now I cant gеt back 6ed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_ocr+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
Im so ti𝒌ed,Im so ti𝒌ed,Im so tired,nlp_ocr+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Im so tіked,Im so tіked,Im so tired,nlp_ocr+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
ThiȢ had me crying,ThiȢ had me crying,This had me crying,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
Thi8 had me cryiոg,Thi8 had me cryiոg,This had me crying,nlp_ocr+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
1 ԝant to die,1 ԝant to die,I want to die,nlp_ocr+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
1 want to diе,1 want to diе,I want to die,nlp_ocr+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lost my 1iЬido.,I lost my 1iЬido.,I lost my libido.,nlp_ocr+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
1 lost my libiԁo.,1 lost my libiԁo.,I lost my libido.,nlp_ocr+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
