post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I habe t9at i'm cryinL rn.,I habe t9at i'm cryinL rn.,I hate that i am crying rn.,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
I eate thDt i'm cr$ing rn.,I eate thDt i'm cr$ing rn.,I hate that i am crying rn.,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,1,s_321_219_4
I'm 3ery sad.,I'm 3ery sad.,I am very sad.,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,0,s_411_1189_1
I'm hery sad.,I'm hery sad.,I am very sad.,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,0,s_411_1189_1
I've beHn feel9ng Fown on and off.,I've beHn feel9ng Fown on and off.,I have been feeling down on and off.,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,1,s_2035_91_6
I'm vBry depressCd also.,I'm vBry depressCd also.,I am very depressed also.,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,1,s_131_822_0
I'm vern depressed Zlso.,I'm vern depressed Zlso.,I am very depressed also.,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,1,s_131_822_0
I'm 2eing t2rtured.,I'm 2eing t2rtured.,I am being tortured.,nlp_randchar_sub+ta_contraction,WORTHLESSNESS,0,s_1351_120_5
I'm b$ing torGured.,I'm b$ing torGured.,I am being tortured.,nlp_randchar_sub+ta_contraction,WORTHLESSNESS,0,s_1351_120_5
I'm v6ry ti+ed.,I'm v6ry ti+ed.,I am very tired.,nlp_randchar_sub+ta_contraction,FATIGUE,1,s_1030_1290_8
I'm ve_y tfred.,I'm ve_y tfred.,I am very tired.,nlp_randchar_sub+ta_contraction,FATIGUE,1,s_1030_1290_8
I'm. . vadness,I'm. . vadness,I am.. sadness,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,1,s_855_1863_0
I'm. . sJdness,I'm. . sJdness,I am.. sadness,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,1,s_855_1863_0
I'm mor1 thPn annoyed.,I'm mor1 thPn annoyed.,I am more than annoyed.,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,1,s_1296_12_9
I'm more tqan Xnnoyed.,I'm more tqan Xnnoyed.,I am more than annoyed.,nlp_randchar_sub+ta_contraction,DEPRESSED_MOOD,1,s_1296_12_9
