post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know tIhat if I have go to college without my or any support Im gonna aend up kiluling mysenlf. .. . Im barely keeping my self alive now, I can ' t imagine being all by myself and with my thoughts emotions!","I 100% know tIhat if I have go to college without my or any support Im gonna aend up kiluling mysenlf. .. . Im barely keeping my self alive now, I can ' t imagine being all by myself and with my thoughts emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_delete+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only later after my second boyfriend, I realized I feel sexual (if have, it was very temporary ), and thCat I aJm probably asexual due the fact that I get disgHusted Iwith myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I feel sexual (if have, it was very temporary ), and thCat I aJm probably asexual due the fact that I get disgHusted Iwith myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_delete+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
I Kto cry.,I Kto cry.,I began to cry.,nlp_randword_delete+ta_char_rand_ins,DEPRESSED_MOOD,1,s_2815_1660_107
I to cZry.,I to cZry.,I began to cry.,nlp_randword_delete+ta_char_rand_ins,DEPRESSED_MOOD,1,s_2815_1660_107
I hardRly.,I hardRly.,I hardly sleep.,nlp_randword_delete+ta_char_rand_ins,SLEEP_ISSUES,1,s_697_81_3
I harmdly.,I harmdly.,I hardly sleep.,nlp_randword_delete+ta_char_rand_ins,SLEEP_ISSUES,1,s_697_81_3
I am smad.,I am smad.,I am very sad.,nlp_randword_delete+ta_char_rand_ins,DEPRESSED_MOOD,0,s_411_1189_1
I am sFad.,I am sFad.,I am very sad.,nlp_randword_delete+ta_char_rand_ins,DEPRESSED_MOOD,0,s_411_1189_1
"I ' ve been like this for a itime now wherein sleep around 9 or 10pm, hoeqping to wake up in thce morning at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant back bed.","I ' ve been like this for a itime now wherein sleep around 9 or 10pm, hoeqping to wake up in thce morning at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_delete+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like thifs for a long now wherein I sleep at around 9 10pm, hoping to wake up early in the at around 7 - 8pm, Ethen all of sudden I wake up at 12 or 2am inn the morning feeling anSd now I cant get back bed.","I ' ve been like thifs for a long now wherein I sleep at around 9 10pm, hoping to wake up early in the at around 7 - 8pm, Ethen all of sudden I wake up at 12 or 2am inn the morning feeling anSd now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_delete+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
Ihm tired,Ihm tired,Im so tired,nlp_randword_delete+ta_char_rand_ins,FATIGUE,1,s_2434_365_0
So tiWred,So tiWred,Im so tired,nlp_randword_delete+ta_char_rand_ins,FATIGUE,1,s_2434_365_0
I want tlo,I want tlo,I want to die,nlp_randword_delete+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_2118_413_1
I want oto,I want oto,I want to die,nlp_randword_delete+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_2118_413_1
I erBytime,I erBytime,I cry erytime,nlp_randword_delete+ta_char_rand_ins,DEPRESSED_MOOD,1,s_523_60_1
I erytUime,I erytUime,I cry erytime,nlp_randword_delete+ta_char_rand_ins,DEPRESSED_MOOD,1,s_523_60_1
I wQas.,I wQas.,I was useless.,nlp_randword_delete+ta_char_rand_ins,WORTHLESSNESS,1,s_1899_440_13
I waEs.,I waEs.,I was useless.,nlp_randword_delete+ta_char_rand_ins,WORTHLESSNESS,1,s_1899_440_13
I myNself.,I myNself.,I hate myself.,nlp_randword_delete+ta_char_rand_ins,WORTHLESSNESS,1,s_1601_880_7
I umyself.,I umyself.,I hate myself.,nlp_randword_delete+ta_char_rand_ins,WORTHLESSNESS,1,s_1601_880_7
I aYm..,I aYm..,I am.. sadness,nlp_randword_delete+ta_char_rand_ins,DEPRESSED_MOOD,1,s_855_1863_0
I Jam..,I Jam..,I am.. sadness,nlp_randword_delete+ta_char_rand_ins,DEPRESSED_MOOD,1,s_855_1863_0
I myNself.,I myNself.,I hate myself.,nlp_randword_delete+ta_char_rand_ins,WORTHLESSNESS,1,s_2006_107_7
I myEself.,I myEself.,I hate myself.,nlp_randword_delete+ta_char_rand_ins,WORTHLESSNESS,1,s_2006_107_7
I myEself.,I myEself.,I  hate myself.,nlp_randword_delete+ta_char_rand_ins,WORTHLESSNESS,1,s_2415_614_5
I myNself.,I myNself.,I  hate myself.,nlp_randword_delete+ta_char_rand_ins,WORTHLESSNESS,1,s_2415_614_5
