post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 10% know that if I hwve to go to col,ege aonR without my family o any suppor Im gonna end up killing myself. .. . Im barely k@eping my selB alive now, I can ' t imqgine beinH all by myself and dezling 1ith my tJoughts and emotions!","I 10% know that if I hwve to go to col,ege aonR without my family o any suppor Im gonna end up killing myself. .. . Im barely k@eping my selB alive now, I can ' t imqgine beinH all by myself and dezling 1ith my tJoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_keyboard+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only later After my seDond boyfriend, I reWlized I csnnot feel sexual attraction (i I hZve, it was ver% temporaGy ), and that I m probably aseual due to the fact thaH I just get disgusted wifh hyself when it comes to he sex part.","It was only later After my seDond boyfriend, I reWlized I csnnot feel sexual attraction (i I hZve, it was ver% temporaGy ), and that I m probably aseual due to the fact thaH I just get disgusted wifh hyself when it comes to he sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_keyboard+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"I ' ve been like thiW for a long tie now wherein I sOeep at Wround 9 or 10om, hoping to wake up early in the morning at zround 7 - 8pm, then all of a sudEen I waie up at 12 or 2am i te mornihg teelig grogy and now I can6 get back bed.","I ' ve been like thiW for a long tie now wherein I sOeep at Wround 9 or 10om, hoping to wake up early in the morning at zround 7 - 8pm, then all of a sudEen I waie up at 12 or 2am i te mornihg teelig grogy and now I can6 get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I ' ve bDen lUke this for a long time nw wherein I sleep a around 9 or 10pK, hopiny to wake up early in the ,orning at aro&nd 7 - 8pm, Fhen all of a suden I wake p at 12 or 2am in the mornung feelLng grobgy and ow I cant get back bed.","I ' ve bDen lUke this for a long time nw wherein I sleep a around 9 or 10pK, hopiny to wake up early in the ,orning at aro&nd 7 - 8pm, Fhen all of a suden I wake p at 12 or 2am in the mornung feelLng grobgy and ow I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"Masturbating right before and lso during leRp I feel like its acfecting my sleep quality If I Dake u tired in the mornin whej I shou:d go baxk to sleep, instead I stWrt masturbating whicm also affRcts how much rest I get.","Masturbating right before and lso during leRp I feel like its acfecting my sleep quality If I Dake u tired in the mornin whej I shou:d go baxk to sleep, instead I stWrt masturbating whicm also affRcts how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_keyboard+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"I work frK hoJe, and I don ' t sleep well for the ost (art (I have insomnia and completely rely on skeep aids, and they tend not to give you a good night ' s rest, which results in fatigue a few hors aftwr waking up ), so at some 0oint Suring the day, I usually get a little tired and have the urge t just crawl into ed and finish my wrJ /ater (which I coud do, but stZying awake and doing it right then would e better ).","I work frK hoJe, and I don ' t sleep well for the ost (art (I have insomnia and completely rely on skeep aids, and they tend not to give you a good night ' s rest, which results in fatigue a few hors aftwr waking up ), so at some 0oint Suring the day, I usually get a little tired and have the urge t just crawl into ed and finish my wrJ /ater (which I coud do, but stZying awake and doing it right then would e better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_keyboard+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"I real?y don ' t want to die, but I crace or the Eorld t be a much better place, I crave for a sort of life 3here I fe in controo for once, a >ife where I don ' t feel Iike I ' m beinY led like a hors@.","I real?y don ' t want to die, but I crace or the Eorld t be a much better place, I crave for a sort of life 3here I fe in controo for once, a >ife where I don ' t feel Iike I ' m beinY led like a hors@.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_keyboard+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_1738_193_5
"I really don ' t want to die, bt I craDe for th worlv to be a much bettee place, I cfave for a srt of lice where I fee; in control for once, a life wher4 I don ' t fWel lie I ' m being led lik@ a hodse.","I really don ' t want to die, bt I craDe for th worlv to be a much bettee place, I cfave for a srt of lice where I fee; in control for once, a life wher4 I don ' t fWel lie I ' m being led lik@ a hodse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_keyboard+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_1738_193_5
"I have atrocius Zelf - esteem (it ' s gettinV bette$, and I ' ll teil you why ), and frequently would go out with my frieMds and reudn home feelng like sjit beVause of all he stup*d things I ' ve said or dkne.","I have atrocius Zelf - esteem (it ' s gettinV bette$, and I ' ll teil you why ), and frequently would go out with my frieMds and reudn home feelng like sjit beVause of all he stup*d things I ' ve said or dkne.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_keyboard+ta_char_rand_del,WORTHLESSNESS,1,s_2986_448_1
"I have atrocius Zelf - esteem (it ' s gettinV bette$, and I ' ll teil you why ), and frequently would go out with my frieMds and reudn home feelng like sjit beVause of all he stup*d things I ' ve said or dkne.","I have atrocius Zelf - esteem (it ' s gettinV bette$, and I ' ll teil you why ), and frequently would go out with my frieMds and reudn home feelng like sjit beVause of all he stup*d things I ' ve said or dkne.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_keyboard+ta_char_rand_del,WORTHLESSNESS,1,s_2986_448_1
I don ' t ave a passion for anything I lost 9nterest in most things qbout the age of 10 (idk what happened to me ma%be soe event or one of my childhood operations somethinN gone wrkng) afteT losing it at 10; my tim# becaHe occupied wth pilosophy and just wasting tiKe mindlessy or on intelectual things like science and maRh.,I don ' t ave a passion for anything I lost 9nterest in most things qbout the age of 10 (idk what happened to me ma%be soe event or one of my childhood operations somethinN gone wrkng) afteT losing it at 10; my tim# becaHe occupied wth pilosophy and just wasting tiKe mindlessy or on intelectual things like science and maRh.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_keyboard+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
I don ' t jave a passion for anything I lost interest in mosR thins about the age of 10 (dk what happened to me maybe some event or one of my childhood opertions somethng gohe wrong) afte losig it at 10; my $ime besame occupied with philisophy and jus4 wasting timd mindlessly or on intellectial things lioe science and math.,I don ' t jave a passion for anything I lost interest in mosR thins about the age of 10 (dk what happened to me maybe some event or one of my childhood opertions somethng gohe wrong) afte losig it at 10; my $ime besame occupied with philisophy and jus4 wasting timd mindlessly or on intellectial things lioe science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_keyboard+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
