post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I so oppressed.,I so oppressed.,I feel so oppressed.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,0,s_1955_1069_2
I feel so.,I feel so.,I feel so oppressed.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,0,s_1955_1069_2
"100% know that if I Nave to go to college alonS without family or any support Im gonna end up killing myself....Im barely keeping mf self alive now, I can't imagine being all by and dealing with thoughts and emotions!","100% know that if I Nave to go to college alonS without family or any support Im gonna end up killing myself....Im barely keeping mf self alive now, I can't imagine being all by and dealing with thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap+ta_word_delete,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I Nave go to college alonS without jy family or any support Im gonna end up killing myself.... barely keeping mf self now, I can't imagine being all by myself and with my thoughts and emotions!","I 100% know that if I Nave go to college alonS without jy family or any support Im gonna end up killing myself.... barely keeping mf self now, I can't imagine being all by myself and with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap+ta_word_delete,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant crying.,I cant crying.,I cant stop crying.,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_2334_738_1
I cant stop.,I cant stop.,I cant stop crying.,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_2334_738_1
I like me.,I like me.,I don't like me.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_2415_816_5
I don't me.,I don't me.,I don't like me.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_2415_816_5
I began tX.,I began tX.,I began to cry.,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_2815_1660_107
I began cry.,I began cry.,I began to cry.,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_2815_1660_107
I Xardly.,I Xardly.,I hardly sleep.,ta_char_rand_swap+ta_word_delete,SLEEP_ISSUES,1,s_697_81_3
I sleep.,I sleep.,I hardly sleep.,ta_char_rand_swap+ta_word_delete,SLEEP_ISSUES,1,s_697_81_3
I am verh.,I am verh.,I am very sad.,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,0,s_411_1189_1
I verP sad.,I verP sad.,I am very sad.,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,0,s_411_1189_1
"been like this for a long time now wherein I sleep ut arounB 9 or 10pm, hoping to wake up early in the az around 7-8pm, then all of a sudden I wake at g2 or 2am in the feeling and now I cant get pack bed.","been like this for a long time now wherein I sleep ut arounB 9 or 10pm, hoping to wake up early in the az around 7-8pm, then all of a sudden I wake at g2 or 2am in the feeling and now I cant get pack bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_swap+ta_word_delete,SLEEP_ISSUES,1,s_852_229_1
Im tirew,Im tirew,Im so tired,ta_char_rand_swap+ta_word_delete,FATIGUE,1,s_2434_365_0
so tired,so tired,Im so tired,ta_char_rand_swap+ta_word_delete,FATIGUE,1,s_2434_365_0
Ehis had me,Ehis had me,This had me crying,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,0,s_2464_412_0
Tois had crying,Tois had crying,This had me crying,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,0,s_2464_412_0
I wanX to,I wanX to,I want to die,ta_char_rand_swap+ta_word_delete,SUICIDAL_THOUGHTS,1,s_2118_413_1
I waHt die,I waHt die,I want to die,ta_char_rand_swap+ta_word_delete,SUICIDAL_THOUGHTS,1,s_2118_413_1
ldst my libido.,ldst my libido.,I lost my libido.,ta_char_rand_swap+ta_word_delete,ANHEDONIA,1,s_2904_522_5
I ldst libido.,I ldst libido.,I lost my libido.,ta_char_rand_swap+ta_word_delete,ANHEDONIA,1,s_2904_522_5
am Geing tortured.,am Geing tortured.,I am being tortured.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,0,s_1351_120_5
I hm being.,I hm being.,I am being tortured.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,0,s_1351_120_5
"I was able to experience novelty and joy even iR I did still/ deprewsed and would self harm , I haC the ability to enjoy feel like the me - now all Dhats gone and Ive just gotten buried into a hole where everyday is lived robotically or ghostly.","I was able to experience novelty and joy even iR I did still/ deprewsed and would self harm , I haC the ability to enjoy feel like the me - now all Dhats gone and Ive just gotten buried into a hole where everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_swap+ta_word_delete,ANHEDONIA,1,s_258_546_2
"Masturbating right before and during sleep I feel like its affectinh my sleep If I uO tired in the morning when I should co back to sleep, instead I start masturbating also affects how much rest I get.","Masturbating right before and during sleep I feel like its affectinh my sleep If I uO tired in the morning when I should co back to sleep, instead I start masturbating also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_swap+ta_word_delete,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and alVo during sleep I feel like its affectinh my sleep quality If I wake uO tired in the morning when I should co back to sleep, masturbating also affects how much rest I get.","Masturbating right before and alVo during sleep I feel like its affectinh my sleep quality If I wake uO tired in the morning when I should co back to sleep, masturbating also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_swap+ta_word_delete,SLEEP_ISSUES,1,s_1404_1455_0
So want to die,So want to die,i do want to die,ta_char_rand_swap+ta_word_delete,SUICIDAL_THOUGHTS,1,s_141_110_0
do want to dPe,do want to dPe,i do want to die,ta_char_rand_swap+ta_word_delete,SUICIDAL_THOUGHTS,1,s_141_110_0
I erytLme,I erytLme,I cry erytime,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_523_60_1
cCy erytime,cCy erytime,I cry erytime,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_523_60_1
i hatw myself,i hatw myself,i really hate myself,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_1194_31_4
i really hYte,i really hYte,i really hate myself,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_1194_31_4
I'm quite,I'm quite,I'm quite angry,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_2188_1006_0
quite angru,quite angru,I'm quite angry,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_2188_1006_0
rtally tired.,rtally tired.,I'm really tired.,ta_char_rand_swap+ta_word_delete,FATIGUE,1,s_547_567_2
I'm tired.,I'm tired.,I'm really tired.,ta_char_rand_swap+ta_word_delete,FATIGUE,1,s_547_567_2
"I work from home, I don't sleep well for the most part (I have inGomnia and completely rely on sleep aids, afd they tAnd not to gAve you a good night's rest, which results iV fatigue a few hours after waking), so at some point the day, I usually a little tired and thz urge to just into bed Ond oinish my work later (which I do, but staying awake doing it right then would be better).","I work from home, I don't sleep well for the most part (I have inGomnia and completely rely on sleep aids, afd they tAnd not to gAve you a good night's rest, which results iV fatigue a few hours after waking), so at some point the day, I usually a little tired and thz urge to just into bed Ond oinish my work later (which I do, but staying awake doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_swap+ta_word_delete,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don't well fow the most part (I have insomnia completely on sleep aids, and they tend nDt give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the dad, usHally get a little tired and Pave the urge to crawl into bed and finish my work later (which I could do, but staying and dSing it right would be metter).","I work from home, and I don't well fow the most part (I have insomnia completely on sleep aids, and they tend nDt give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the dad, usHally get a little tired and Pave the urge to crawl into bed and finish my work later (which I could do, but staying and dSing it right would be metter).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_swap+ta_word_delete,SLEEP_ISSUES,1,s_2292_402_1
I was.,I was.,I was useless.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_1899_440_13
wau useless.,wau useless.,I was useless.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_1899_440_13
vm very tired.,vm very tired.,I am very tired.,ta_char_rand_swap+ta_word_delete,FATIGUE,1,s_1030_1290_8
I ad tired.,I ad tired.,I am very tired.,ta_char_rand_swap+ta_word_delete,FATIGUE,1,s_1030_1290_8
useless.,useless.,I'm useless.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_1933_175_32
Hating Hy.,Hating Hy.,Hating my failure.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_2815_1585_9
Hating mz.,Hating mz.,Hating my failure.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_2815_1585_9
"makey me sad.""","makey me sad.""","It makes me sad.""",ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,0,s_1115_951_1
"IY me sad.""","IY me sad.""","It makes me sad.""",ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,0,s_1115_951_1
I hSte.,I hSte.,I hate myself.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_1601_880_7
hSte myself.,hSte myself.,I hate myself.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_1601_880_7
aK.. sadness,aK.. sadness,I am.. sadness,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_855_1863_0
aV.. sadness,aV.. sadness,I am.. sadness,ta_char_rand_swap+ta_word_delete,DEPRESSED_MOOD,1,s_855_1863_0
hSte myself.,hSte myself.,I hate myself.,ta_char_rand_swap+ta_word_delete,WORTHLESSNESS,1,s_2006_107_7
