post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know tXat if I have tao go to collge alon wihout my famil or any suppor Im gonna end up killing myself. .. . Im barely keeping my self alie now, I can ' t imagine beig all by myscelf and daling with Nmy thoughts and eotions!","I 100% know tXat if I have tao go to collge alon wihout my famil or any suppor Im gonna end up killing myself. .. . Im barely keeping my self alie now, I can ' t imagine beig all by myscelf and daling with Nmy thoughts and eotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_del+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was onXl later after my secuond boyfried, I realized I canot feel sexuaDl attraction (if I have, it was very teporary ), and tat I am probaybly aseual due to the fac that I just get disusted with myself hen it comes to the sex pat.","It was onXl later after my secuond boyfried, I realized I canot feel sexuaDl attraction (if I have, it was very teporary ), and tat I am probaybly aseual due to the fac that I just get disusted with myself hen it comes to the sex pat.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"It was only later aftr my second boyfriend, I realize I cannt feel sexual attraction (if I hav, it was very temcprary ), and that I am pobably asxual dGue to the facnt that I just get disgusted wth myself when it mcmes to the sex par.","It was only later aftr my second boyfriend, I realize I cannt feel sexual attraction (if I hav, it was very temcprary ), and that I am pobably asxual dGue to the facnt that I just get disgusted wth myself when it mcmes to the sex par.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"I was able to experience novelty Nand joy even Pif I did still fel lonely / depresed and would sel har, I had the aJMbility to enjoy and eel like the rea me - now all thats gone and Ive jus gtten buried ino a depresstive hole whee everyday is lived robotically or ghostly.","I was able to experience novelty Nand joy even Pif I did still fel lonely / depresed and would sel har, I had the aJMbility to enjoy and eel like the rea me - now all thats gone and Ive jus gtten buried ino a depresstive hole whee everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+ta_char_rand_ins,ANHEDONIA,1,s_258_546_2
"I was able to experince novelty and joy vRen if I dlid still fel lonely / depressed and would Uselxf harm, I had the ability to enjy and feel like the real me - now all thats goe and Ive just gotten buried nto a depresive hle whee everyay is lived roboticalGly or ghostly.","I was able to experince novelty and joy vRen if I dlid still fel lonely / depressed and would Uselxf harm, I had the ability to enjy and feel like the real me - now all thats goe and Ive just gotten buried nto a depresive hle whee everyay is lived roboticalGly or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+ta_char_rand_ins,ANHEDONIA,1,s_258_546_2
"Masturbating rcight before and alo uring sleep I fel ike its affectig my sleep quality If I wake up tired in the morning when I shuld go bak to sleep, instead I start masturbating Twhhch also afects how mzuh rest I get.","Masturbating rcight before and alo uring sleep I fel ike its affectig my sleep quality If I wake up tired in the morning when I shuld go bak to sleep, instead I start masturbating Twhhch also afects how mzuh rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randchar_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I don ' t sleep well for the most prt (I have insomnia and completely rely own sleep aids, and they ten not to give you a good ight ' s ret, which results in fatigu a few hours afer wakiOng up ), so at somMe point during the day, I usually gett a little tred and have the urge tZo jfust crawl into bed and finish my work later (wbhich I coul do, but staying awak and doing it rigBht then wold be better ).","I work from home, and I don ' t sleep well for the most prt (I have insomnia and completely rely own sleep aids, and they ten not to give you a good ight ' s ret, which results in fatigu a few hours afer wakiOng up ), so at somMe point during the day, I usually gett a little tred and have the urge tZo jfust crawl into bed and finish my work later (wbhich I coul do, but staying awak and doing it rigBht then wold be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don ' t sleep well for the most prt (I have insomnia and completely rely don sleep aids, and tVhey ten not tTo give you a good ight ' s ret, which results in fatigu a few hours afer waking up ), so at some point during the day, I usually get a little tred and have the urge to just Ocrawtl into bed and afinish my work later (whicxh I coul do, but staying awak anBd doing it right then wold be better ).","I work from home, and I don ' t sleep well for the most prt (I have insomnia and completely rely don sleep aids, and tVhey ten not tTo give you a good ight ' s ret, which results in fatigu a few hours afer waking up ), so at some point during the day, I usually get a little tred and have the urge to just Ocrawtl into bed and afinish my work later (whicxh I coul do, but staying awak anBd doing it right then wold be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_del+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"It has been a rough school year for me itZh a laot of chnges that brouht me tXo the pint of uncontrolable crying for two days in a row, migraines, mucle tension, and an inabilit to really get asny wrk done wih my studens.","It has been a rough school year for me itZh a laot of chnges that brouht me tXo the pint of uncontrolable crying for two days in a row, migraines, mucle tension, and an inabilit to really get asny wrk done wih my studens.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_randchar_del+ta_char_rand_ins,SPECIAL_CASE,1,s_1190_67_2
I don ' t have a passion for anything I lofst interest in moost tthins about the age of 10 (idk wat happened to me maybe some evet or Sone of my chidhood operations something goe wrng) after osing it aFt 10; my time became occupid wth philosophy and just wasting ime mindlessly or on intellectual things like scGience and math.,I don ' t have a passion for anything I lofst interest in moost tthins about the age of 10 (idk wat happened to me maybe some evet or Sone of my chidhood operations something goe wrng) after osing it aFt 10; my time became occupid wth philosophy and just wasting ime mindlessly or on intellectual things like scGience and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_randchar_del+ta_char_rand_ins,ANHEDONIA,1,s_212_394_1
