post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% kjow that if I havO to go to cXllege alhone withKut my family or any support Im (onnDa end up killing myself. .. . EIm barely keCeping my self alive now, I can ' t Tmagine beinG all by my1elf and dealing wita my thougtts and emotions!","I 100% kjow that if I havO to go to cXllege alhone withKut my family or any support Im (onnDa end up killing myself. .. . EIm barely keCeping my self alive now, I can ' t Tmagine beinG all by my1elf and dealing wita my thougtts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_sub+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only latUr afqer my seJond Qoyfriend, I refalized I cannoL feel sexual attraction (if I have, it was verw temporary ), and that I am proba7ly asexual due to the fact tgat I jmust get disgustDed wioh mysell when it comes to tRhe sex part.","It was only latUr afqer my seJond Qoyfriend, I refalized I cannoL feel sexual attraction (if I have, it was verw temporary ), and that I am proba7ly asexual due to the fact tgat I jmust get disgustDed wioh mysell when it comes to tRhe sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_sub+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"It was only lNter after mHy second boIfriiend, I realized I cannot feel sexual attraction (if I have, it was very teUporary ), and thbt I am proCably asexbal due to the facG that I just gest diSgusted with m^self @hen it comes to thye sex part.","It was only lNter after mHy second boIfriiend, I realized I cannot feel sexual attraction (if I have, it was very teUporary ), and thbt I am proCably asexbal due to the facG that I just gest diSgusted with m^self @hen it comes to thye sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_sub+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"I ' ve bee! like thVs for a long time now wherein I slgep at around 9 or 10_m, ho0ing to Uake up Xarly in lthe morIing at around 7 - Z8pm, then all of a sudden I wake up at 12 or 2am in Xthe morningg feeling groggy and now I icanG get wack bed.","I ' ve bee! like thVs for a long time now wherein I slgep at around 9 or 10_m, ho0ing to Uake up Xarly in lthe morIing at around 7 - Z8pm, then all of a sudden I wake up at 12 or 2am in Xthe morningg feeling groggy and now I icanG get wack bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_sub+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"I ' ve bGee! like thVs for a long time now wherein I slgep at around 9 or 10_m, ho0ing to Uake up Xarly in the morIing at around 7 - 8pm, then all of a suddEen I wake up at U1i2 or 2am in the morning feteling groggy and now I canG get wack bed.","I ' ve bGee! like thVs for a long time now wherein I slgep at around 9 or 10_m, ho0ing to Uake up Xarly in the morIing at around 7 - 8pm, then all of a suddEen I wake up at U1i2 or 2am in the morning feteling groggy and now I canG get wack bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_sub+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"I work from home, and I don ' t sleep well for thbe 6ost part (I have insomnia and completely reluy on qleep aids, anzd they tend not to giv@ you a good night ' s rest, which results in fatigue a few hours aftgr waking up ), so at somO point duxring the day, I usually Nget a Nittle tXred xand havO the urge to just crawl into bed mand finish my work later (9hich I couljd do, but staying awake and Boing it right then would be better ).","I work from home, and I don ' t sleep well for thbe 6ost part (I have insomnia and completely reluy on qleep aids, anzd they tend not to giv@ you a good night ' s rest, which results in fatigue a few hours aftgr waking up ), so at somO point duxring the day, I usually Nget a Nittle tXred xand havO the urge to just crawl into bed mand finish my work later (9hich I couljd do, but staying awake and Boing it right then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_randchar_sub+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"So here is the case. . It ' s bepn neaxly 4 years, since i really don ' t feml xike mysedf. . I am still interested in activities that iFnterested jme befor*, but my emztions are so weak anbd i yam mRch l&ss seusitive to particular things / people.","So here is the case. . It ' s bepn neaxly 4 years, since i really don ' t feml xike mysedf. . I am still interested in activities that iFnterested jme befor*, but my emztions are so weak anbd i yam mRch l&ss seusitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randchar_sub+ta_char_rand_ins,ANHEDONIA,1,s_1127_16_1
"So here is the case. . It ' s bepn neaxly 4 years, since i really don ' t feml xike mysedf. . I am still interested in activities that iFnterested jme befor*, but my emztions are so weak anbd i yam mRch l&ss seusitive to particular things / people.","So here is the case. . It ' s bepn neaxly 4 years, since i really don ' t feml xike mysedf. . I am still interested in activities that iFnterested jme befor*, but my emztions are so weak anbd i yam mRch l&ss seusitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randchar_sub+ta_char_rand_ins,ANHEDONIA,1,s_1127_16_1
"I rezlly don ' t want to die, but I cAave for the world to be a much better place, I hrave for a sAort of liLe where I feel ifn contril fRor onoe, a lIfe wheMre I don ' t feep dike I ' m beivg led like a horse.","I rezlly don ' t want to die, but I cAave for the world to be a much better place, I hrave for a sAort of liLe where I feel ifn contril fRor onoe, a lIfe wheMre I don ' t feep dike I ' m beivg led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_randchar_sub+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_1738_193_5
"I have atIocious sel+ - esteem (it ' s ge!ting Kbetter, and I ' ll teIl you why ), and frequenKly would go out with my friends and return home fwelFing like Ghit beca6sQe of all Jthe stupid things I ' ve sagd or *one.","I have atIocious sel+ - esteem (it ' s ge!ting Kbetter, and I ' ll teIl you why ), and frequenKly would go out with my friends and return home fwelFing like Ghit beca6sQe of all Jthe stupid things I ' ve sagd or *one.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_randchar_sub+ta_char_rand_ins,WORTHLESSNESS,1,s_2986_448_1
