post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I hate that crying rn.,I hate that crying rn.,I hate that i am crying rn.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_321_219_4
I hate i'm crying rn.,I hate i'm crying rn.,I hate that i am crying rn.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_321_219_4
very sad.,very sad.,I am very sad.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,0,s_411_1189_1
I'm very.,I'm very.,I am very sad.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,0,s_411_1189_1
I've been feeling down on off.,I've been feeling down on off.,I have been feeling down on and off.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_2035_91_6
I've feeling down on and off.,I've feeling down on and off.,I have been feeling down on and off.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_2035_91_6
I'm very depressed.,I'm very depressed.,I am very depressed also.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_131_822_0
I'm depressed also.,I'm depressed also.,I am very depressed also.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_131_822_0
I'm being.,I'm being.,I am being tortured.,ta_contraction+ta_word_delete,WORTHLESSNESS,0,s_1351_120_5
being tortured.,being tortured.,I am being tortured.,ta_contraction+ta_word_delete,WORTHLESSNESS,0,s_1351_120_5
That's all I've for after work.,That's all I've for after work.,That's all I have energy for after work.,ta_contraction+ta_word_delete,FATIGUE,1,s_1483_10_2
all I've energy for after work.,all I've energy for after work.,That's all I have energy for after work.,ta_contraction+ta_word_delete,FATIGUE,1,s_1483_10_2
I've no at all.,I've no at all.,I have no energy at all.,ta_contraction+ta_word_delete,FATIGUE,1,s_1455_72_50
I've no energy at.,I've no energy at.,I have no energy at all.,ta_contraction+ta_word_delete,FATIGUE,1,s_1455_72_50
I'm very.,I'm very.,I am very tired.,ta_contraction+ta_word_delete,FATIGUE,1,s_1030_1290_8
I'm tired.,I'm tired.,I am very tired.,ta_contraction+ta_word_delete,FATIGUE,1,s_1030_1290_8
.. sadness,.. sadness,I am.. sadness,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_855_1863_0
I'm more annoyed.,I'm more annoyed.,I am more than annoyed.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_1296_12_9
I'm than annoyed.,I'm than annoyed.,I am more than annoyed.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_1296_12_9
worthless.,worthless.,I am worthless.,ta_contraction+ta_word_delete,WORTHLESSNESS,1,s_2415_2_3
hopeless.,hopeless.,I am hopeless.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_2415_2_4
Then I'd get angry at times.,Then I'd get angry at times.,Then I would get really angry at times.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_84_60_2
I'd get really angry at times.,I'd get really angry at times.,Then I would get really angry at times.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_84_60_2
I'm extremely atm.,I'm extremely atm.,I am extremely suicidal atm.,ta_contraction+ta_word_delete,SUICIDAL_THOUGHTS,1,s_2800_49_0
I'm suicidal atm.,I'm suicidal atm.,I am extremely suicidal atm.,ta_contraction+ta_word_delete,SUICIDAL_THOUGHTS,1,s_2800_49_0
I've already planned my suicide.,I've already planned my suicide.,I have already planned my own suicide.,ta_contraction+ta_word_delete,SUICIDAL_THOUGHTS,1,s_1989_742_0
I've planned my own suicide.,I've planned my own suicide.,I have already planned my own suicide.,ta_contraction+ta_word_delete,SUICIDAL_THOUGHTS,1,s_1989_742_0
And I'd cry hard.,And I'd cry hard.,And I would cry so hard.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_2190_134_3
And I'd so hard.,And I'd so hard.,And I would cry so hard.,ta_contraction+ta_word_delete,DEPRESSED_MOOD,1,s_2190_134_3
