post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"Ir was only laer aftwr my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I jut get disgusted wih myself whe kt comes to the sed part.","Ir was only laer aftwr my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I jut get disgusted wih myself whe kt comes to the sed part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_del+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
"Lt was only lzer after my second boyfriend, I realized I cannot fewl sexual attraction (if I have, it was very temporary), ans that I am probably asexual due to the fact that I jut get disgusted wih myself whe it comes to the sex part.","Lt was only lzer after my second boyfriend, I realized I cannot fewl sexual attraction (if I have, it was very temporary), ans that I am probably asexual due to the fact that I jut get disgusted wih myself whe it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_del+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
"I was able to experience novelty and joy even if I did still feel lonely/ depressed qn would zelf harm , I had the ability to enjoy and feel like the real me - nw all thats gone and Ive just gotten buried ino a depressive holw here everydzy is lived rootically or ghostpy.","I was able to experience novelty and joy even if I did still feel lonely/ depressed qn would zelf harm , I had the ability to enjoy and feel like the real me - nw all thats gone and Ive just gotten buried ino a depressive holw here everydzy is lived rootically or ghostpy.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_del+ta_wordswap_qwerty,ANHEDONIA,1,s_258_546_2
"Masturbating right before and also dring sleep I feel like itx affecting my sleep quality Ie I wake up tire in the morning aen I should go back t sleep, instead I ztart masturbating which also affects how much rest I get.","Masturbating right before and also dring sleep I feel like itx affecting my sleep quality Ie I wake up tire in the morning aen I should go back t sleep, instead I ztart masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbaing right before an also during sleep I feel like its affecting m sleep quality If I wake uo tired jn the morning when I should go baco tl sleep, instead I start masturbating which aso affects how much rest I get.","Masturbaing right before an also during sleep I feel like its affecting m sleep quality If I wake uo tired jn the morning when I should go baco tl sleep, instead I start masturbating which aso affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I don't sleep well for the most part (I have insomnia and completely rel o sleep aids, nd they ted not to give you a good night's rest, which eesults in fatigue a few hours after waking up), qo at skme point durng the tay, I usualky get a little tired and have the urge o just crawl into bed and finish my work later (which I could do, bjt stating awake and dong it right hen would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rel o sleep aids, nd they ted not to give you a good night's rest, which eesults in fatigue a few hours after waking up), qo at skme point durng the tay, I usualky get a little tired and have the urge o just crawl into bed and finish my work later (which I could do, bjt stating awake and dong it right hen would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don't sleep welo foe the most lart (I have insomnia and completely rely on sleep aids, and they tnc jo to give you a good night's rest, which result in fatigue a few hours after waking p), o at ome point during the day, I usually get a little tred and have the urge to just crawl into bed and finish my work later (which I could do, bkt taying awske and doing it right rhen would be better).","I work from home, and I don't sleep welo foe the most lart (I have insomnia and completely rely on sleep aids, and they tnc jo to give you a good night's rest, which result in fatigue a few hours after waking p), o at ome point during the day, I usually get a little tred and have the urge to just crawl into bed and finish my work later (which I could do, bkt taying awske and doing it right rhen would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_del+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_2292_402_1
"It has been a rough schkl year for me with a lot f changes that brought me to thf point of uncontrollable crying for two days in a row, migrainrs, muscle tension, and a inability to really get any wok done with mt students.","It has been a rough schkl year for me with a lot f changes that brought me to thf point of uncontrollable crying for two days in a row, migrainrs, muscle tension, and a inability to really get any wok done with mt students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del+ta_wordswap_qwerty,SPECIAL_CASE,1,s_1190_67_2
"Kt has been a rough schol year for me with a lit f changes tjay brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and a inability to really get any wok done with my students.","Kt has been a rough schol year for me with a lit f changes tjay brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and a inability to really get any wok done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del+ta_wordswap_qwerty,SPECIAL_CASE,1,s_1190_67_2
I' trqsh.,I' trqsh.,I'm trash.,ta_char_rand_del+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2130_82_12
'm teash.,'m teash.,I'm trash.,ta_char_rand_del+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2130_82_12
"I hqve NAS(NarcissisticAbuseSyndrome), severe depression with FONSTANT suicidal ideation...I've attempted suicide 4 times, actually being successful on the second bit lived ultimatel, and that's where I had a near/ost death experience that will shape the resg o my life, for however long tha may be.","I hqve NAS(NarcissisticAbuseSyndrome), severe depression with FONSTANT suicidal ideation...I've attempted suicide 4 times, actually being successful on the second bit lived ultimatel, and that's where I had a near/ost death experience that will shape the resg o my life, for however long tha may be.","I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted suicide 4 times, actually being successful on the second but lived ultimately, and that's where I had a near/post death experience that will shape the rest of my life, for however long that may be.",ta_char_rand_del+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_552_263_41
"I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've artempted suicide 4 times, actually being successful on the second but lived ultimatel, and that's where I hwd a near/ost death experience thah will shape fhe rest o my life, for however long tha may be.","I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've artempted suicide 4 times, actually being successful on the second but lived ultimatel, and that's where I hwd a near/ost death experience thah will shape fhe rest o my life, for however long tha may be.","I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted suicide 4 times, actually being successful on the second but lived ultimately, and that's where I had a near/post death experience that will shape the rest of my life, for however long that may be.",ta_char_rand_del+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_552_263_41
