post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"Masturbating right before and also during sleep I feel like it affecting my sleep quality If I wake p tired in the ornig when I should go ace unity back to sleep, instead I start masturbating which also affects how much rest I alternatively get.","Masturbating right before and also during sleep I feel like it affecting my sleep quality If I wake p tired in the ornig when I should go ace unity back to sleep, instead I start masturbating which also affects how much rest I alternatively get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_word_insert_syn,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during sleep I feel like it affecting my sleep quality If I wake p ane tired in the ornig vex when I should go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like it affecting my sleep quality If I wake p ane tired in the ornig vex when I should go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_del+ta_word_insert_syn,SLEEP_ISSUES,1,s_1404_1455_0
"It has been a rough school year A for me with a lot of changes Maine that brought me to the point of uncontrolable crying for two days in a row, migrains, muscle tension, and an inability o really gt any work done with my students.","It has been a rough school year A for me with a lot of changes Maine that brought me to the point of uncontrolable crying for two days in a row, migrains, muscle tension, and an inability o really gt any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del+ta_word_insert_syn,SPECIAL_CASE,1,s_1190_67_2
"It has been a rough school year for me with a lot of changes that brought me to the point cultivate of ncontrollable crying represent for two days in a row, migraines, muscle tension, nd a inability to really gt any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point cultivate of ncontrollable crying represent for two days in a row, migraines, muscle tension, nd a inability to really gt any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_del+ta_word_insert_syn,SPECIAL_CASE,1,s_1190_67_2
applesauce Im trash.,applesauce Im trash.,I'm trash.,ta_char_rand_del+ta_word_insert_syn,WORTHLESSNESS,1,s_2130_82_12
I' folderol trash.,I' folderol trash.,I'm trash.,ta_char_rand_del+ta_word_insert_syn,WORTHLESSNESS,1,s_2130_82_12
"Occasionally I've taken 25/50mg to get to sleep at night bu 've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later Im getting in be, and oscitant I ilk turn draw on this whte noise ten hour youtube video I sometimes use to help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night bu 've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later Im getting in be, and oscitant I ilk turn draw on this whte noise ten hour youtube video I sometimes use to help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_del+ta_word_insert_syn,SLEEP_ISSUES,1,s_1965_10_8
"Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never eperienced anything on it before other than geting drowsy...so, like twenty mnutes later I'm Maine getting in rest bed, and I turn on his thence white noise ten hour youtube video I sometimes use o help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never eperienced anything on it before other than geting drowsy...so, like twenty mnutes later I'm Maine getting in rest bed, and I turn on his thence white noise ten hour youtube video I sometimes use o help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_del+ta_word_insert_syn,SLEEP_ISSUES,1,s_1965_10_8
"Some suicide atemts left mw crying qfter all the pain and once, the thought of my mother just at te other side f the door and she waking me up cheerfully the next morning, but again, living for others can ony go so fqr, non and this is the breaking fanny follow point where the poin of leave not caring anymore f I can get rid of this pain is becoming stronger and coming closer again.","Some suicide atemts left mw crying qfter all the pain and once, the thought of my mother just at te other side f the door and she waking me up cheerfully the next morning, but again, living for others can ony go so fqr, non and this is the breaking fanny follow point where the poin of leave not caring anymore f I can get rid of this pain is becoming stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_rand_del+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_782_6_12
"Some suicide atemts left mw crying qfter all the pain and once, the thought of my mother just at te other side f the door and she waking persuasion me up cheerfully the next morning, but again, impregnable living for mother others can ony go so fqr, and this is the breaking tellurium point where the poin of not caring anymore f I can get rid of this pain is becoming stronger and coming closer again.","Some suicide atemts left mw crying qfter all the pain and once, the thought of my mother just at te other side f the door and she waking persuasion me up cheerfully the next morning, but again, impregnable living for mother others can ony go so fqr, and this is the breaking tellurium point where the poin of not caring anymore f I can get rid of this pain is becoming stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_rand_del+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_782_6_12
"I tred to stay up longer past 3 pm yesterday but I got way departed too tired and fell asleep until 11 furious pm and now I cant i get any sleep since Im not tired an my tics want to come out, but I cnt let them sice my mom wil be angry.","I tred to stay up longer past 3 pm yesterday but I got way departed too tired and fell asleep until 11 furious pm and now I cant i get any sleep since Im not tired an my tics want to come out, but I cnt let them sice my mom wil be angry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_rand_del+ta_word_insert_syn,SLEEP_ISSUES,1,s_2434_538_2
