post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fewl thus oppressed.,I fewl thus oppressed.,I feel so oppressed.,ta_char_rand_swap+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1955_1069_2
iodin fnel so oppressed.,iodin fnel so oppressed.,I feel so oppressed.,ta_char_rand_swap+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1955_1069_2
"I 100% knfw that if I have to XTC tf College alone without my family or any sumport Im gonna cease up killing myself....Im barely hold my self alive now, I can't imagine being all by myself and address with my thoughts and emotions!","I 100% knfw that if I have to XTC tf College alone without my family or any sumport Im gonna cease up killing myself....Im barely hold my self alive now, I can't imagine being all by myself and address with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap+ta_wordswap_wordnet,SUICIDAL_THOUGHTS,1,s_156_366_1
I canU blockade crying.,I canU blockade crying.,I cant stop crying.,ta_char_rand_swap+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2334_738_1
ane cant stoV crying.,ane cant stoV crying.,I cant stop crying.,ta_char_rand_swap+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later FftMr my sfcond boyfriend, I realized I cannot feel sexual attraction (if I have, it live very temporary), and that I am probably asexual due to the fact that I simply make disgmsted with myself when it cum to the sex part.","It was only later FftMr my sfcond boyfriend, I realized I cannot feel sexual attraction (if I have, it live very temporary), and that I am probably asexual due to the fact that I simply make disgmsted with myself when it cum to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_swap+ta_wordswap_wordnet,ANHEDONIA,0,s_716_26_15
"It was only recent FftMr my sfcond boyfriend, I agnize I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgmsted with myself when it comes to the sex constitutional.","It was only recent FftMr my sfcond boyfriend, I agnize I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgmsted with myself when it comes to the sex constitutional.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_swap+ta_wordswap_wordnet,ANHEDONIA,0,s_716_26_15
one don't rike me.,one don't rike me.,I don't like me.,ta_char_rand_swap+ta_wordswap_wordnet,WORTHLESSNESS,1,s_2415_816_5
I dSn't care me.,I dSn't care me.,I don't like me.,ta_char_rand_swap+ta_wordswap_wordnet,WORTHLESSNESS,1,s_2415_816_5
I'Qe call.,I'Qe call.,I've cried.,ta_char_rand_swap+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_145_86_2
I're call.,I're call.,I've cried.,ta_char_rand_swap+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_145_86_2
I began to kid.,I began to kid.,I began to cry.,ta_char_rand_swap+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2815_1660_107
I began to tike.,I began to tike.,I began to cry.,ta_char_rand_swap+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2815_1660_107
I haUdly slumber.,I haUdly slumber.,I hardly sleep.,ta_char_rand_swap+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_697_81_3
I scarce sleeS.,I scarce sleeS.,I hardly sleep.,ta_char_rand_swap+ta_wordswap_wordnet,SLEEP_ISSUES,1,s_697_81_3
I em real sad.,I em real sad.,I am very sad.,ta_char_rand_swap+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_411_1189_1
I am real saR.,I am real saR.,I am very sad.,ta_char_rand_swap+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_411_1189_1
