post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel os bled.,I feel os bled.,I feel so oppressed.,ta_char_neighbor+ta_wordswap_embedding,WORTHLESSNESS,0,s_1955_1069_2
I feel os repressed.,I feel os repressed.,I feel so oppressed.,ta_char_neighbor+ta_wordswap_embedding,WORTHLESSNESS,0,s_1955_1069_2
yo cant sotp crying.,yo cant sotp crying.,I cant stop crying.,ta_char_neighbor+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_2334_738_1
I catn stop tears.,I catn stop tears.,I cant stop crying.,ta_char_neighbor+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later after my second boyfriend, I realized I cannot feel sexual attraction (fi I have, it was very ephemeral), and htat I am probably asexual due to the fcat that I ujst get disgusted with myself when he comes to to sex fraction.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (fi I have, it was very ephemeral), and htat I am probably asexual due to the fcat that I ujst get disgusted with myself when he comes to to sex fraction.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_neighbor+ta_wordswap_embedding,ANHEDONIA,0,s_716_26_15
"It was only later after my second boyfriend, I realized I cannot feel sexual attraction (fi I have, it was very temporarily), and htat I am probably hermaphrodite due to the fcat who yo ujst get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (fi I have, it was very temporarily), and htat I am probably hermaphrodite due to the fcat who yo ujst get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_neighbor+ta_wordswap_embedding,ANHEDONIA,0,s_716_26_15
es don't like em.,es don't like em.,I don't like me.,ta_char_neighbor+ta_wordswap_embedding,WORTHLESSNESS,1,s_2415_816_5
I do'nt like moi.,I do'nt like moi.,I don't like me.,ta_char_neighbor+ta_wordswap_embedding,WORTHLESSNESS,1,s_2415_816_5
I'ev screamed.,I'ev screamed.,I've cried.,ta_char_neighbor+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_145_86_2
I'ev cry.,I'ev cry.,I've cried.,ta_char_neighbor+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_145_86_2
I began de rcy.,I began de rcy.,I began to cry.,ta_char_neighbor+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_2815_1660_107
I started ot cry.,I started ot cry.,I began to cry.,ta_char_neighbor+ta_wordswap_embedding,DEPRESSED_MOOD,1,s_2815_1660_107
I scarcely lseep.,I scarcely lseep.,I hardly sleep.,ta_char_neighbor+ta_wordswap_embedding,SLEEP_ISSUES,1,s_697_81_3
j ahrdly sleep.,j ahrdly sleep.,I hardly sleep.,ta_char_neighbor+ta_wordswap_embedding,SLEEP_ISSUES,1,s_697_81_3
I suis evry sad.,I suis evry sad.,I am very sad.,ta_char_neighbor+ta_wordswap_embedding,DEPRESSED_MOOD,0,s_411_1189_1
I feel vrey sad.,I feel vrey sad.,I am very sad.,ta_char_neighbor+ta_wordswap_embedding,DEPRESSED_MOOD,0,s_411_1189_1
