post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"And in the case typical for any major depression, you're just usually experiencing a depletion or a chemical disregulation ― of neurotransmitters -- liek dopamine and also serootnin , and your human brian just isnt working out properly.","And in the case typical for any major depression, you're just usually experiencing a depletion or a chemical disregulation ― of neurotransmitters -- liek dopamine and also serootnin , and your human brian just isnt working out properly.","And in the case for major depression, you're usually experiencing a depletion or a disregulation of neurotransmitters like dopamine and serotonin and your brain just isnt working properly.",nlp_cwe_insert_roberta+ta_char_neighbor,FATIGUE,1,s_2886_101_1
"I 100% well know that if I have to go to college alone / without either my family home or having any personal support Im gonna end up killing off myself....Im barely keeping half my happy self laive now, I can't imagine being all by mysefl myself and dealing with my htoughts and emotions!","I 100% well know that if I have to go to college alone / without either my family home or having any personal support Im gonna end up killing off myself....Im barely keeping half my happy self laive now, I can't imagine being all by mysefl myself and dealing with my htoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_cwe_insert_roberta+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know this htat if i I have to go to colleeg alone wihtout telling my family members or have ayn support friends Im gonna end up killing mysefl....Im barely keeping my emotional self alive now, I almost can't imagine being all this by myself and also dealing with my thoughts and emotions!","I 100% know this htat if i I have to go to colleeg alone wihtout telling my family members or have ayn support friends Im gonna end up killing mysefl....Im barely keeping my emotional self alive now, I almost can't imagine being all this by myself and also dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_cwe_insert_roberta+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
"Then the emotionla fatigue , always and always tired, and body feels heavy - Occasionally I have a few energy epaks but generally exhaustion by 5pm, whenever I just want go to sleep - ro feel lkie Im waiting hours to fully sleep.","Then the emotionla fatigue , always and always tired, and body feels heavy - Occasionally I have a few energy epaks but generally exhaustion by 5pm, whenever I just want go to sleep - ro feel lkie Im waiting hours to fully sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_neighbor,FATIGUE,1,s_258_598_3
"Then even the early fatigue begins , always alwasy tired, and body feels heavy - I have a great few energy peaks today but generally by 5pm, I just want somethnig to sleep more ro feel liek Im still waiting outside to sleep.","Then even the early fatigue begins , always alwasy tired, and body feels heavy - I have a great few energy peaks today but generally by 5pm, I just want somethnig to sleep more ro feel liek Im still waiting outside to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_neighbor,FATIGUE,1,s_258_598_3
"Then even the early fatigue begins , always alwasy tired, and body feels heavy - I have a great few energy peaks today but generally by 5pm, I just want somethnig to sleep more ro feel liek Im still waiting outside to sleep.","Then even the early fatigue begins , always alwasy tired, and body feels heavy - I have a great few energy peaks today but generally by 5pm, I just want somethnig to sleep more ro feel liek Im still waiting outside to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_neighbor,SLEEP_ISSUES,1,s_258_598_3
"Then the emotionla fatigue , always and always tired, and body feels heavy - Occasionally I have a few energy epaks but generally exhaustion by 5pm, whenever I just want go to sleep - ro feel lkie Im waiting hours to fully sleep.","Then the emotionla fatigue , always and always tired, and body feels heavy - Occasionally I have a few energy epaks but generally exhaustion by 5pm, whenever I just want go to sleep - ro feel lkie Im waiting hours to fully sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_neighbor,SLEEP_ISSUES,1,s_258_598_3
"Then the emotionla fatigue , always and always tired, and body feels heavy - Occasionally I have a few energy epaks but generally exhaustion by 5pm, whenever I just want go to sleep - ro feel lkie Im waiting hours to fully sleep.","Then the emotionla fatigue , always and always tired, and body feels heavy - Occasionally I have a few energy epaks but generally exhaustion by 5pm, whenever I just want go to sleep - ro feel lkie Im waiting hours to fully sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_neighbor,FATIGUE,1,s_258_598_3
"Then even the early fatigue begins , always alwasy tired, and body feels heavy - I have a great few energy peaks today but generally by 5pm, I just want somethnig to sleep more ro feel liek Im still waiting outside to sleep.","Then even the early fatigue begins , always alwasy tired, and body feels heavy - I have a great few energy peaks today but generally by 5pm, I just want somethnig to sleep more ro feel liek Im still waiting outside to sleep.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",nlp_cwe_insert_roberta+ta_char_neighbor,FATIGUE,1,s_258_598_3
"It was really only later after marrying my last escond boyfriend, I completely realized what I cannot feel sxeual emotional attraction (if I have, it was very temporary), and learned that I am mostly probably asexual deu ot the fact taht I generally just get disgusted with myself when really it comes to the sex part.","It was really only later after marrying my last escond boyfriend, I completely realized what I cannot feel sxeual emotional attraction (if I have, it was very temporary), and learned that I am mostly probably asexual deu ot the fact taht I generally just get disgusted with myself when really it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_cwe_insert_roberta+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
"It was only later after my second boyfriend, I actually realized I definitely cannot feel any sexual attraction (fi I have, it was vrey tepmorary), and that reason I am probably basically aseuxal due to teh fact is that I just get so disgusted disgusted with myself when I it comes out to the sex part.","It was only later after my second boyfriend, I actually realized I definitely cannot feel any sexual attraction (fi I have, it was vrey tepmorary), and that reason I am probably basically aseuxal due to teh fact is that I just get so disgusted disgusted with myself when I it comes out to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_cwe_insert_roberta+ta_char_neighbor,ANHEDONIA,0,s_716_26_15
I've almost creid.,I've almost creid.,I've cried.,nlp_cwe_insert_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I've eevn cried.,I've eevn cried.,I've cried.,nlp_cwe_insert_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
"Am I really asexual based on my current feelings adn thoughts, because or what do do I also nto particularly like the entire idea of sex only sexually because maybe I haven't fully experineced sexually eyt how good it feels?","Am I really asexual based on my current feelings adn thoughts, because or what do do I also nto particularly like the entire idea of sex only sexually because maybe I haven't fully experineced sexually eyt how good it feels?","Am I really asexual based on my current feelings and thoughts, or do I not like the idea of sex only because I haven't experienced yet how good it feels?",nlp_cwe_insert_roberta+ta_char_neighbor,ANHEDONIA,0,s_1404_1071_7
"I was always just … feeling exactly like shit, so I didn't seriously eat for a while, ever and then once a week actually passde and I wsa feeling OK again, though I aws waiting for the ""I'm OS hungry"" signal - again waiting to eat, but it never came.","I was always just … feeling exactly like shit, so I didn't seriously eat for a while, ever and then once a week actually passde and I wsa feeling OK again, though I aws waiting for the ""I'm OS hungry"" signal - again waiting to eat, but it never came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_cwe_insert_roberta+ta_char_neighbor,APPETITE_CHANGE,1,s_1294_205_1
"I was alawys just … feeling exactly like shit, so I didn't seriously eat for a while, veer and then onec a week actually passed and I was feeling OK again, though I was waiting for the ""I'm SO hungry"" signal - again waiting ot eat, but it never came.","I was alawys just … feeling exactly like shit, so I didn't seriously eat for a while, veer and then onec a week actually passed and I was feeling OK again, though I was waiting for the ""I'm SO hungry"" signal - again waiting ot eat, but it never came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_cwe_insert_roberta+ta_char_neighbor,APPETITE_CHANGE,1,s_1294_205_1
I'm not scared of losing the future so okay i still feel like i da kid now and i loev that baout being myself i feel hopelessly alone now like i nobody taht seems to understadn this might sound cliche but fuck with it.,I'm not scared of losing the future so okay i still feel like i da kid now and i loev that baout being myself i feel hopelessly alone now like i nobody taht seems to understadn this might sound cliche but fuck with it.,I'm scared of the future okay i still feel like i kid and i love that about myself i feel hopelessly alone like nobody seems to understand this might sound cliche but fuck it.,nlp_cwe_insert_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_2024_442_7
I'm not scared of losing the future so okay i still feel like i da kid now and i loev that baout being myself i feel hopelessly alone now like i nobody taht seems to understadn this might sound cliche but fuck with it.,I'm not scared of losing the future so okay i still feel like i da kid now and i loev that baout being myself i feel hopelessly alone now like i nobody taht seems to understadn this might sound cliche but fuck with it.,I'm scared of the future okay i still feel like i kid and i love that about myself i feel hopelessly alone like nobody seems to understand this might sound cliche but fuck it.,nlp_cwe_insert_roberta+ta_char_neighbor,DEPRESSED_MOOD,1,s_2024_442_7
"I've been like this for a long time onw hwerein I usually sleep at around 9 tonight or at 10pm, still hoping to wake up early in hte morning at aorund 7-8pm, then all of b a super sudden I wake up at 12 or 2am in the damn morning just feeling groggy and now I cant get irght back inside ebd.","I've been like this for a long time onw hwerein I usually sleep at around 9 tonight or at 10pm, still hoping to wake up early in hte morning at aorund 7-8pm, then all of b a super sudden I wake up at 12 or 2am in the damn morning just feeling groggy and now I cant get irght back inside ebd.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_insert_roberta+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a long time now wherein I usually sleep at around 9 tonight or at 10pm, still hoping to wake up early in the morning at around 7-8pm, then lal fo b a super sudden I wake up at 21 or 2am ni hte danm morning just feeling groggy and now I cant get right back inside bed.","I've been like this for a long time now wherein I usually sleep at around 9 tonight or at 10pm, still hoping to wake up early in the morning at around 7-8pm, then lal fo b a super sudden I wake up at 21 or 2am ni hte danm morning just feeling groggy and now I cant get right back inside bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_insert_roberta+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
Im os very tired,Im os very tired,Im so tired,nlp_cwe_insert_roberta+ta_char_neighbor,FATIGUE,1,s_2434_365_0
Im so so tried,Im so so tried,Im so tired,nlp_cwe_insert_roberta+ta_char_neighbor,FATIGUE,1,s_2434_365_0
"My doctor diagnosed wiht me clinically with smoewhat severe depression and anxiety over two years ago, and she disagreed and frankly I hvae basically made close access to no progress since being then looking at fighting it.","My doctor diagnosed wiht me clinically with smoewhat severe depression and anxiety over two years ago, and she disagreed and frankly I hvae basically made close access to no progress since being then looking at fighting it.","My doctor diagnosed me with severe depression and anxiety over two years ago, and she and I have made close to no progress since then at fighting it.",nlp_cwe_insert_roberta+ta_char_neighbor,SPECIAL_CASE,1,s_2292_195_4
"My longtime doctor diagnosed me with severe bipolar depression pain and anxiety medication over two years ago, and she and I have made close to exactly no meaningful progerss together sicne then -- at even fighting ti.","My longtime doctor diagnosed me with severe bipolar depression pain and anxiety medication over two years ago, and she and I have made close to exactly no meaningful progerss together sicne then -- at even fighting ti.","My doctor diagnosed me with severe depression and anxiety over two years ago, and she and I have made close to no progress since then at fighting it.",nlp_cwe_insert_roberta+ta_char_neighbor,SPECIAL_CASE,1,s_2292_195_4
"I sleep at night like most white people often do, and I usually sleep peridoically or during orughly the entire day because often it's the only awy my I know to escape the inevitable heavy depression and constant anxiety I go through ta all times.","I sleep at night like most white people often do, and I usually sleep peridoically or during orughly the entire day because often it's the only awy my I know to escape the inevitable heavy depression and constant anxiety I go through ta all times.","I sleep at night like most people do, and I sleep periodically during the day because it's the only way I know to escape the inevitable depression and anxiety I go through at all times.",nlp_cwe_insert_roberta+ta_char_neighbor,SLEEP_ISSUES,1,s_2292_195_42
"I sleep at night kinda like maybe most people do, though and actually I selep peirodically during all the day because it's the only way I would know to physically escape the nievitable depression feelings and anxiety I go through periodically at lal day times.","I sleep at night kinda like maybe most people do, though and actually I selep peirodically during all the day because it's the only way I would know to physically escape the nievitable depression feelings and anxiety I go through periodically at lal day times.","I sleep at night like most people do, and I sleep periodically during the day because it's the only way I know to escape the inevitable depression and anxiety I go through at all times.",nlp_cwe_insert_roberta+ta_char_neighbor,SLEEP_ISSUES,1,s_2292_195_42
"I dont really know how ridiculous it feels to suddenly be really happy with or even honestly enjoy … something, because the last single time I enjoyed anything was actaully so long ago that sometimes I odnt reemmber it.","I dont really know how ridiculous it feels to suddenly be really happy with or even honestly enjoy … something, because the last single time I enjoyed anything was actaully so long ago that sometimes I odnt reemmber it.","I dont know how it feels to be happy or even enjoy something, because the last time I enjoyed anything was so long ago that I dont remember it.",nlp_cwe_insert_roberta+ta_char_neighbor,ANHEDONIA,1,s_1404_60_1
"I cannot enjoy my favorite Indian food, so I cannot enjoy playing videogames, btu I cannot enjoy gonig outsied outside, I utterly hate life and feel there really is no place more fun being in earthly life for me.","I cannot enjoy my favorite Indian food, so I cannot enjoy playing videogames, btu I cannot enjoy gonig outsied outside, I utterly hate life and feel there really is no place more fun being in earthly life for me.","I cannot enjoy my favorite food, I cannot enjoy playing videogames, I cannot enjoy going outside, I hate life and there is no more fun in life for me.",nlp_cwe_insert_roberta+ta_char_neighbor,ANHEDONIA,1,s_1404_60_8
"I cannot enjoy my favorite Indian food, so I cannot enjoy playing videogames, btu I cannot enjoy gonig outsied outside, I utterly hate life and feel there really is no place more fun being in earthly life for me.","I cannot enjoy my favorite Indian food, so I cannot enjoy playing videogames, btu I cannot enjoy gonig outsied outside, I utterly hate life and feel there really is no place more fun being in earthly life for me.","I cannot enjoy my favorite food, I cannot enjoy playing videogames, I cannot enjoy going outside, I hate life and there is no more fun in life for me.",nlp_cwe_insert_roberta+ta_char_neighbor,ANHEDONIA,1,s_1404_60_8
"My dog si actually trained to help comfort me when we I have some anxiety, be a temporary physical barrier between me myself and people when I get paincky, and provide an excuse ot politely elave a bad situation i.e. he really needs to go eat potty/aet/drink.","My dog si actually trained to help comfort me when we I have some anxiety, be a temporary physical barrier between me myself and people when I get paincky, and provide an excuse ot politely elave a bad situation i.e. he really needs to go eat potty/aet/drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_cwe_insert_roberta+ta_char_neighbor,PSYCHOMOTOR,1,s_708_315_0
"My dog is purpose trained to comfort me sometimes when I really have social anxiety, be a temporary physical barrier between me -- and people when I get extremely panicky, and provide an alternative excsue neevr to elave a situation i.e. he needs to to og potty/eat/drink.","My dog is purpose trained to comfort me sometimes when I really have social anxiety, be a temporary physical barrier between me -- and people when I get extremely panicky, and provide an alternative excsue neevr to elave a situation i.e. he needs to to og potty/eat/drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_cwe_insert_roberta+ta_char_neighbor,PSYCHOMOTOR,1,s_708_315_0
In the end honestly its all my selfish fault i should have tried harder for her not want to just give her away ifrst by ilke locking myself in a room wtih my pet cat but somehow my idiotic disgusting selfish dubm insensitive self didnt os again i blame myself,In the end honestly its all my selfish fault i should have tried harder for her not want to just give her away ifrst by ilke locking myself in a room wtih my pet cat but somehow my idiotic disgusting selfish dubm insensitive self didnt os again i blame myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,nlp_cwe_insert_roberta+ta_char_neighbor,WORTHLESSNESS,1,s_1194_94_1
In the end honestly its all my selfish fualt i should have tried harder for her not want to just give her away first by like locking myself in a room with my pet cat but somehow ym idiotic disgusting selfish dumb insensitive self dindt so again i lbame mysefl,In the end honestly its all my selfish fualt i should have tried harder for her not want to just give her away first by like locking myself in a room with my pet cat but somehow ym idiotic disgusting selfish dumb insensitive self dindt so again i lbame mysefl,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,nlp_cwe_insert_roberta+ta_char_neighbor,WORTHLESSNESS,1,s_1194_94_1
