post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I havve to go to college only without my family or yany support Im gonna end up killing myself. .. . Im barely keeping my self alert now, I can ' t imagine being all by myself and deYaling with my nthoughts and emotions!","I 100% know that if I havve to go to college only without my family or yany support Im gonna end up killing myself. .. . Im barely keeping my self alert now, I can ' t imagine being all by myself and deYaling with my nthoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_wordnet_syn+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I have to go tqo college only without my family or any support Im gonna end up killing myself. .. . Im barely keeping my self alert now, I can ' t imagine being Dall by myself and dealing with mjy thoughts and emtotions!","I 100% know that if I have to go tqo college only without my family or any support Im gonna end up killing myself. .. . Im barely keeping my self alert now, I can ' t imagine being Dall by myself and dealing with mjy thoughts and emtotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_wordnet_syn+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"My dog ims trained to sqoothe me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i. e. he needs to rgo potty / eat / Adrink.","My dog ims trained to sqoothe me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i. e. he needs to rgo potty / eat / Adrink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_wordnet_syn+ta_char_rand_ins,PSYCHOMOTOR,1,s_708_315_0
"So here is the case. . It ' s embody nearly 4 years, sindce i really tdon ' t feel like myself. . I am still interested in activities that interrested me before, but my emotions are so weak and i Uam a good deal less sensitive to particular things / people.","So here is the case. . It ' s embody nearly 4 years, sindce i really tdon ' t feel like myself. . I am still interested in activities that interrested me before, but my emotions are so weak and i Uam a good deal less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_wordnet_syn+ta_char_rand_ins,ANHEDONIA,1,s_1127_16_1
"So here is the case. . It ' s embody nearly 4 years, sindce i really tdon ' t feel like myself. . I am still interested in activities that interrested me before, but my emotions are so weak and i Uam a good deal less sensitive to particular things / people.","So here is the case. . It ' s embody nearly 4 years, sindce i really tdon ' t feel like myself. . I am still interested in activities that interrested me before, but my emotions are so weak and i Uam a good deal less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_wordnet_syn+ta_char_rand_ins,ANHEDONIA,1,s_1127_16_1
"I have NAS (NarcissisticAbuseSyndrome ), severe depression with CONSTANT suicidal ideation. .. I ' ve attempted suicide 4 times, actuially being successful on the second but lived ultimately, and that ' s wLhere I had a neaBr / post decease experience that will shapwe the rest of my life, foHr however long that may be.","I have NAS (NarcissisticAbuseSyndrome ), severe depression with CONSTANT suicidal ideation. .. I ' ve attempted suicide 4 times, actuially being successful on the second but lived ultimately, and that ' s wLhere I had a neaBr / post decease experience that will shapwe the rest of my life, foHr however long that may be.","I have NAS(NarcissisticAbuseSyndrome), severe depression with CONSTANT suicidal ideation...I've attempted suicide 4 times, actually being successful on the second but lived ultimately, and that's where I had a near/post death experience that will shape the rest of my life, for however long that may be.",nlp_wordnet_syn+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_552_263_41
"It ' s basically a constant knowledge, that 1 ' m worthless, I ' m stupid, I ' yard unlovable, nobody ever has or ever will love me, evRerything I dNo is wrong, I ' m a bqad human being and I need to be dead rright now.","It ' s basically a constant knowledge, that 1 ' m worthless, I ' m stupid, I ' yard unlovable, nobody ever has or ever will love me, evRerything I dNo is wrong, I ' m a bqad human being and I need to be dead rright now.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",nlp_wordnet_syn+ta_char_rand_ins,WORTHLESSNESS,1,s_1483_222_18
"It ' s basically a constaLnt knowledge, that I ' m worthless, I ' m stupid, I ' m unslovable, nobody e'er has or ever will lBove me, evefrything I do is wrong, I ' m a tough human being and I need to be dead right now.","It ' s basically a constaLnt knowledge, that I ' m worthless, I ' m stupid, I ' m unslovable, nobody e'er has or ever will lBove me, evefrything I do is wrong, I ' m a tough human being and I need to be dead right now.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",nlp_wordnet_syn+ta_char_rand_ins,WORTHLESSNESS,1,s_1483_222_18
"I tried to stay up longer pvast 3 pm yesterday but I got way too tired abnd fell asleep until 11 autopsy and now I cant get any sleep since Im not tired and my tics want to come out, but Atomic number 53 cant lfet them since mmy mom will bJe angry.","I tried to stay up longer pvast 3 pm yesterday but I got way too tired abnd fell asleep until 11 autopsy and now I cant get any sleep since Im not tired and my tics want to come out, but Atomic number 53 cant lfet them since mmy mom will bJe angry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",nlp_wordnet_syn+ta_char_rand_ins,SLEEP_ISSUES,1,s_2434_538_2
"I tried to stay qHup longer past 3 pm yesterday but I got way too tired and fell asleep until 11 autopDsy and now I cant get apny sleep since Im not tired and my tics want to come out, but Atomic number 53 cant let thOem since my mom will be angry.","I tried to stay qHup longer past 3 pm yesterday but I got way too tired and fell asleep until 11 autopDsy and now I cant get apny sleep since Im not tired and my tics want to come out, but Atomic number 53 cant let thOem since my mom will be angry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",nlp_wordnet_syn+ta_char_rand_ins,SLEEP_ISSUES,1,s_2434_538_2
