post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% kno hat if I have t g to ollege aloe without my family or any support Im gonna end up killig yself. .. . Im barely keepig my slf alie now, I cn ' t imagine being all by myself and dealing with my thughts and emotins!","I 100% kno hat if I have t g to ollege aloe without my family or any support Im gonna end up killig yself. .. . Im barely keepig my slf alie now, I cn ' t imagine being all by myself and dealing with my thughts and emotins!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_del+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was oly later ater my second boyriend, I realizd I cannot feel seual attracton (if I hae, it was ver temorary ), and that I am probably asexual due to the fat that I just get disuste wit myself when it comes o the sex part.","It was oly later ater my second boyriend, I realizd I cannot feel seual attracton (if I hae, it was ver temorary ), and that I am probably asexual due to the fat that I just get disuste wit myself when it comes o the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"I was oly later ater my secnd boyriend, I realized I cannot feel seual attracton (f I hae, i was very temorary ), and that I am probably asexual due to the fat that I just get disguste wit myself when it comes to the sex part.","I was oly later ater my secnd boyriend, I realized I cannot feel seual attracton (f I hae, i was very temorary ), and that I am probably asexual due to the fat that I just get disguste wit myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_del+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"I ' ve ben lke his fr a ong tim now wherein I sleep at around 9 or 10pm, hoping to wake up eay in the morning t around 7 - 8pm, then all of a sudden I wke up t 12 or 2am in the moring feling grogy and now I can get back bed.","I ' ve ben lke his fr a ong tim now wherein I sleep at around 9 or 10pm, hoping to wake up eay in the morning t around 7 - 8pm, then all of a sudden I wke up t 12 or 2am in the moring feling grogy and now I can get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_del+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I wa abl to experience ovelty and jy even if I did still fel nely / depressed and would self harm, I had the ability to ejoy and feel lik the real me - now all thats gone and Ive ust otten buried nto a depressve hole wher everyday is lived robotically or ghotly.","I wa abl to experience ovelty and jy even if I did still fel nely / depressed and would self harm, I had the ability to ejoy and feel lik the real me - now all thats gone and Ive ust otten buried nto a depressve hole wher everyday is lived robotically or ghotly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randchar_del+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
"So hre is the as. . It ' s been neary 4 years, sinc i really don ' t feel ike myelf. . I am stil interested in activities tht iterested me bfore, but m emotions ar so weak and i am much less sensitive to articular things / people.","So hre is the as. . It ' s been neary 4 years, sinc i really don ' t feel ike myelf. . I am stil interested in activities tht iterested me bfore, but m emotions ar so weak and i am much less sensitive to articular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randchar_del+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case. . It ' s ben nery 4 year, sinc i really don ' t fee like myself. . I am still interested in acivities that interested me before, but m eotions are s wek and i am muh less senitive to particular thigs / people.","So here is the case. . It ' s ben nery 4 year, sinc i really don ' t fee like myself. . I am still interested in acivities that interested me before, but m eotions are s wek and i am muh less senitive to particular thigs / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randchar_del+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case. . It ' s ben nery 4 year, sinc i really don ' t fee like myself. . I am still interested in acivities that interested me before, but m eotions are s wek and i am muh less senitive to particular thigs / people.","So here is the case. . It ' s ben nery 4 year, sinc i really don ' t fee like myself. . I am still interested in acivities that interested me before, but m eotions are s wek and i am muh less senitive to particular thigs / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randchar_del+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So hre is the as. . It ' s been neary 4 years, sinc i really don ' t feel ike myelf. . I am stil interested in activities tht iterested me bfore, but m emotions ar so weak and i am much less sensitive to articular things / people.","So hre is the as. . It ' s been neary 4 years, sinc i really don ' t feel ike myelf. . I am stil interested in activities tht iterested me bfore, but m emotions ar so weak and i am much less sensitive to articular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randchar_del+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
I don ' t have a passion for anythin I los interest in mst thigs aout the age of 10 (idk at happend to me mabe some event or one of my chilhood operations something gone wrog) afer losing it at 10; m time became occupied with philosophy and just wasting time midlesly or on intellectual tings like science and math.,I don ' t have a passion for anythin I los interest in mst thigs aout the age of 10 (idk at happend to me mabe some event or one of my chilhood operations something gone wrog) afer losing it at 10; m time became occupied with philosophy and just wasting time midlesly or on intellectual tings like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_randchar_del+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
I don ' t have a passion for anything I lot interest in mst thngs about the age of 10 (idk what happend to me aybe some event or oe of my chdhood operations something gone wrong) after losing it at 10; my tie became occupied wit philosophy and jst wasting ime mindlessl or n intellectual hings lik science and math.,I don ' t have a passion for anything I lot interest in mst thngs about the age of 10 (idk what happend to me aybe some event or oe of my chdhood operations something gone wrong) after losing it at 10; my tie became occupied wit philosophy and jst wasting ime mindlessl or n intellectual hings lik science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_randchar_del+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
I don ' t have a passion for anything I los interet in mos thing about the age of 10 (idk what happened to me maybe some event or one of my childhood opertions somthing one wrong) after losing it at 0; my ime became ocupied wit philoophy and jst wasti time mindlessly or on intellectual thngs like science and math.,I don ' t have a passion for anything I los interet in mos thing about the age of 10 (idk what happened to me maybe some event or one of my childhood opertions somthing one wrong) after losing it at 0; my ime became ocupied wit philoophy and jst wasti time mindlessly or on intellectual thngs like science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_randchar_del+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
I don ' t have a passion for anything I lot interest in mst thngs about the age of 10 (idk what happend to me aybe some event or oe of my chdhood operations something gone wrong) after losing it at 10; my tie became occupied wit philosophy and jst wasting ime mindlessl or n intellectual hings lik science and math.,I don ' t have a passion for anything I lot interest in mst thngs about the age of 10 (idk what happend to me aybe some event or oe of my chdhood operations something gone wrong) after losing it at 10; my tie became occupied wit philosophy and jst wasting ime mindlessl or n intellectual hings lik science and math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_randchar_del+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
"I have struggled with inge eting for a cade, but I think I ' m finally ecovering fo that beause I ' ve gone rom binging 2500 + calores every othr day, to just finding a snack whn I fel like I want to inge.","I have struggled with inge eting for a cade, but I think I ' m finally ecovering fo that beause I ' ve gone rom binging 2500 + calores every othr day, to just finding a snack whn I fel like I want to inge.","I have struggled with binge eating for a decade, but I think I'm finally recovering from that because I've gone from binging 2500+ calories every other day, to just finding a snack when I feel like I want to binge.",nlp_randchar_del+ta_char_rand_del,APPETITE_CHANGE,0,s_1499_1118_9
"Occasionally I ' ve taken 25 / 50mg to get to seep at night but I ' ve defiitely never experienced anything n it befre other han gtting drowsy. .. so, like twent minutes ater I ' m gettng in bed, and I turn on this hite noise ten hour youtub vieo I somtimes use to el me sleep.","Occasionally I ' ve taken 25 / 50mg to get to seep at night but I ' ve defiitely never experienced anything n it befre other han gtting drowsy. .. so, like twent minutes ater I ' m gettng in bed, and I turn on this hite noise ten hour youtub vieo I somtimes use to el me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",nlp_randchar_del+ta_char_rand_del,SLEEP_ISSUES,1,s_1965_10_8
"Sm suicide attempts left mw crying qfter all the pain and once, the tought o my mother just at the other side of the door and she waking m up cheerfuly the et morning, but again, living for others can only go so fqr, and his is the breaking poin were the pont of not caring anymore if I can get ri of this pa is becoming stonger and coming cloer again.","Sm suicide attempts left mw crying qfter all the pain and once, the tought o my mother just at the other side of the door and she waking m up cheerfuly the et morning, but again, living for others can only go so fqr, and his is the breaking poin were the pont of not caring anymore if I can get ri of this pa is becoming stonger and coming cloer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",nlp_randchar_del+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_782_6_12
"Sme suicide attempts left mw crying qfter all the pain an once, the tought of my mother jus at the other side of the dor and she waking me up cheerfuly t ext morning, but again, living for others can only go so fqr, and ti is the breaking poin were the pont of not caring anymore if I can get rid of this pai is becoming stonger and coming cloer again.","Sme suicide attempts left mw crying qfter all the pain an once, the tought of my mother jus at the other side of the dor and she waking me up cheerfuly t ext morning, but again, living for others can only go so fqr, and ti is the breaking poin were the pont of not caring anymore if I can get rid of this pai is becoming stonger and coming cloer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",nlp_randchar_del+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_782_6_12
