post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fel thus oppressd.,I fel thus oppressd.,I feel so oppressed.,nlp_randchar_del+nlp_wordnet_insert,WORTHLESSNESS,0,s_1955_1069_2
I fee and so oppresed.,I fee and so oppresed.,I feel so oppressed.,nlp_randchar_del+nlp_wordnet_insert,WORTHLESSNESS,0,s_1955_1069_2
I hae hat i make up cryng rn.,I hae hat i make up cryng rn.,I hate that i am crying rn.,nlp_randchar_del+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_321_219_4
One hae hat i am cryng rn.,One hae hat i am cryng rn.,I hate that i am crying rn.,nlp_randchar_del+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_321_219_4
"I ' m thusly indecisiv, if I was in you oots I ' 500 neer be abe to dcide.","I ' m thusly indecisiv, if I was in you oots I ' 500 neer be abe to dcide.","I'm so indecisive, if I was in your boots I'd never be able to decide.",nlp_randchar_del+nlp_wordnet_insert,COGNITIVE_ISSUES,1,s_1997_963_1
"I ' m so indecisie, if I was in our thrill Unity ' d neer be abe to decie.","I ' m so indecisie, if I was in our thrill Unity ' d neer be abe to decie.","I'm so indecisive, if I was in your boots I'd never be able to decide.",nlp_randchar_del+nlp_wordnet_insert,COGNITIVE_ISSUES,1,s_1997_963_1
Single ' m not iterested in anyting.,Single ' m not iterested in anyting.,I'm not interested in anything.,nlp_randchar_del+nlp_wordnet_insert,ANHEDONIA,1,s_1404_102_34
Ace ' m not iterested in anyting.,Ace ' m not iterested in anyting.,I'm not interested in anything.,nlp_randchar_del+nlp_wordnet_insert,ANHEDONIA,1,s_1404_102_34
I ' m stil essay to be scial and make friens but my ocial kills mess it up very tim.,I ' m stil essay to be scial and make friens but my ocial kills mess it up very tim.,I'm still trying to be social and make friends but my social skills mess it up every time.,nlp_randchar_del+nlp_wordnet_insert,WORTHLESSNESS,0,s_1404_102_51
I ' m stil trying to be socil and mke frends but my scial skills mss information technology up every tme.,I ' m stil trying to be socil and mke frends but my scial skills mss information technology up every tme.,I'm still trying to be social and make friends but my social skills mess it up every time.,nlp_randchar_del+nlp_wordnet_insert,WORTHLESSNESS,0,s_1404_102_51
Whch I can ' t becaue my ocial sklls are terible and the can smell information technology.,Whch I can ' t becaue my ocial sklls are terible and the can smell information technology.,Which I can't because my social skills are terrible and they can smell it.,nlp_randchar_del+nlp_wordnet_insert,WORTHLESSNESS,1,s_1404_102_62
Whch Atomic number 53 can ' t becaue my ocial sklls are terible and the can smell it.,Whch Atomic number 53 can ' t becaue my ocial sklls are terible and the can smell it.,Which I can't because my social skills are terrible and they can smell it.,nlp_randchar_del+nlp_wordnet_insert,WORTHLESSNESS,1,s_1404_102_62
I ' ve ust never ben tha interestd in sex or relationshis and Atomic number 53 don ' t tink I ever wil be.,I ' ve ust never ben tha interestd in sex or relationshis and Atomic number 53 don ' t tink I ever wil be.,I've just never been that interested in sex or relationships and I don't think I ever will be.,nlp_randchar_del+nlp_wordnet_insert,ANHEDONIA,1,s_205_396_1
I ' ve just nver ben thematic apperception test interested in sex or reationships and I don ' t hink I evr wil be.,I ' ve just nver ben thematic apperception test interested in sex or reationships and I don ' t hink I evr wil be.,I've just never been that interested in sex or relationships and I don't think I ever will be.,nlp_randchar_del+nlp_wordnet_insert,ANHEDONIA,1,s_205_396_1
At once I can ' t sop rying.,At once I can ' t sop rying.,Now I can't stop crying.,nlp_randchar_del+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2338_920_11
Now Atomic number 53 can ' t stp cryng.,Now Atomic number 53 can ' t stp cryng.,Now I can't stop crying.,nlp_randchar_del+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2338_920_11
"I 100% know that if I hve to go to colleg aone without my house or any financial support Im gonn end up killing myslf. .. . Im barly keeing my self alive immediately, I can ' t imagine beng all by myself and dealing ith my thoghts and emotions!","I 100% know that if I hve to go to colleg aone without my house or any financial support Im gonn end up killing myslf. .. . Im barly keeing my self alive immediately, I can ' t imagine beng all by myself and dealing ith my thoghts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_del+nlp_wordnet_insert,SUICIDAL_THOUGHTS,1,s_156_366_1
My sex driv has personify in ovrdrive for year (One ' m 28) I ove anythig sexal.,My sex driv has personify in ovrdrive for year (One ' m 28) I ove anythig sexal.,My sex drive has been in overdrive for years (I'm 28) I love anything sexual.,nlp_randchar_del+nlp_wordnet_insert,ANHEDONIA,0,s_2748_341_0
My sex activity drve induce een in overdrive for yars (I ' m 28) I ove anythin sexua.,My sex activity drve induce een in overdrive for yars (I ' m 28) I ove anythin sexua.,My sex drive has been in overdrive for years (I'm 28) I love anything sexual.,nlp_randchar_del+nlp_wordnet_insert,ANHEDONIA,0,s_2748_341_0
I neve get decent sleep unles I do － t hav to wke ith an alarm clok.,I neve get decent sleep unles I do － t hav to wke ith an alarm clok.,I never get enough sleep unless I do－t have to wake with an alarm clock.,nlp_randchar_del+nlp_wordnet_insert,LEEP_ISSUES,1,s_1404_1048_1
I nver get nough slep uless I do － t hav to come alive with an alarm clok.,I nver get nough slep uless I do － t hav to come alive with an alarm clok.,I never get enough sleep unless I do－t have to wake with an alarm clock.,nlp_randchar_del+nlp_wordnet_insert,LEEP_ISSUES,1,s_1404_1048_1
Iodine don ' t eercise beause of my xtreme fatiue.,Iodine don ' t eercise beause of my xtreme fatiue.,I don't exercise because of my extreme fatigue.,nlp_randchar_del+nlp_wordnet_insert,FATIGUE,1,s_1404_1341_0
I get into ' t exercis becase of my extree fatiue.,I get into ' t exercis becase of my extree fatiue.,I don't exercise because of my extreme fatigue.,nlp_randchar_del+nlp_wordnet_insert,FATIGUE,1,s_1404_1341_0
Ane ' m cryig on the floo.,Ane ' m cryig on the floo.,I'm crying on the floor.,nlp_randchar_del+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2401_82_1
I ' thousand cryig on the flor.,I ' thousand cryig on the flor.,I'm crying on the floor.,nlp_randchar_del+nlp_wordnet_insert,DEPRESSED_MOOD,1,s_2401_82_1
"Thre are plenty of tmes I don ' t eat pilar cyst I ' molarity hngry, but the contant fixatin on food is wht is realy gettng to me.","Thre are plenty of tmes I don ' t eat pilar cyst I ' molarity hngry, but the contant fixatin on food is wht is realy gettng to me.","There are plenty of times I don't eat when I'm hungry, but the constant fixation on food is what is really getting to me.",nlp_randchar_del+nlp_wordnet_insert,APPETITE_CHANGE,0,s_2338_314_0
"Ther are plety of times I wear ' t eat whe I ' m hngry, but the constnt ixation on fod personify wat is realy getting to me.","Ther are plety of times I wear ' t eat whe I ' m hngry, but the constnt ixation on fod personify wat is realy getting to me.","There are plenty of times I don't eat when I'm hungry, but the constant fixation on food is what is really getting to me.",nlp_randchar_del+nlp_wordnet_insert,APPETITE_CHANGE,0,s_2338_314_0
"I culd unish mysef but thre is ony a shor tme to do so, and I don ' t go out the poin.","I culd unish mysef but thre is ony a shor tme to do so, and I don ' t go out the poin.","I could punish myself but there is only a short time to do so, and I don't see the point.",nlp_randchar_del+nlp_wordnet_insert,WORTHLESSNESS,0,s_835_46_219
"I ould puish myslf but ther follow oly a hort ime to do so, and I don ' t picture the poit.","I ould puish myslf but ther follow oly a hort ime to do so, and I don ' t picture the poit.","I could punish myself but there is only a short time to do so, and I don't see the point.",nlp_randchar_del+nlp_wordnet_insert,WORTHLESSNESS,0,s_835_46_219
I ' m lad I ' m mor aare of my unfitness to njoy bein sciable.,I ' m lad I ' m mor aare of my unfitness to njoy bein sciable.,I'm glad I'm more aware of my inability to enjoy being sociable.,nlp_randchar_del+nlp_wordnet_insert,ANHEDONIA,0,s_1601_124_7
