post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feеl so.,I feеl so.,I feel so oppressed.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I feel ѕo.,I feel ѕo.,I feel so oppressed.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I was ԝith energy.,I was ԝith energy.,I was filled with energy.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_993_1060_1
I was filled enerɡy.,I was filled enerɡy.,I was filled with energy.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_993_1060_1
I can`t at all now.,I can`t at all now.,I can't concentrate at all now.,ta_word_delete+ta_wordswap_homoglyph,COGNITIVE_ISSUES,1,s_993_1060_4
I can't at alⅼ now.,I can't at alⅼ now.,I can't concentrate at all now.,ta_word_delete+ta_wordswap_homoglyph,COGNITIVE_ISSUES,1,s_993_1060_4
I can't stоp crying.,I can't stоp crying.,Now I can't stop crying.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2338_920_11
I can't stop crуing.,I can't stop crуing.,Now I can't stop crying.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2338_920_11
"I 100% know that if I have to go to college alone without ｍy family or aոy suppoⲅt Im gonna end up killing myself....Im keeping my self alive now, I imagine beіng all by myself and my thoughts and emotions!","I 100% know that if I have to go to college alone without ｍy family or aոy suppoⲅt Im gonna end up killing myself....Im keeping my self alive now, I imagine beіng all by myself and my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_word_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I'm cryinɡ on the.,I'm cryinɡ on the.,I'm crying on the floor.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2401_82_1
I'm cryіng on the.,I'm cryіng on the.,I'm crying on the floor.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2401_82_1
My life is gоing.,My life is gоing.,My life is going nowhere.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2455_114_1
My ⅼife is going.,My ⅼife is going.,My life is going nowhere.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2455_114_1
cant stop ϲrying.,cant stop ϲrying.,I cant stop crying.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
cant stop cⲅying.,cant stop cⲅying.,I cant stop crying.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was only latеr afteⲅ mу second boyfriend, I realized I cannot sexual attraction (if I have, it was very tеmporary), and I am probably asexual due to the fact that I just get disgusted myself when it to the sex part.","It was only latеr afteⲅ mу second boyfriend, I realized I cannot sexual attraction (if I have, it was very tеmporary), and I am probably asexual due to the fact that I just get disgusted myself when it to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_word_delete+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I don't ｍe.,I don't ｍe.,I don't like me.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I dоn't like.,I dоn't like.,I don't like me.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
Im tiⲅed So,Im tiⲅed So,Im generally tired So,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
Iｍ generally So,Iｍ generally So,Im generally tired So,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
criеd.,criеd.,I've cried.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I to crу.,I to crу.,I began to cry.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I 𝚝o cry.,I 𝚝o cry.,I began to cry.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
Imma go myself nоw,Imma go myself nоw,Imma go kill myself now,ta_word_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2638_683_0
Immɑ kill myself now,Immɑ kill myself now,Imma go kill myself now,ta_word_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2638_683_0
hardly slеep.,hardly slеep.,I hardly sleep.,ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
hardly sleеp.,hardly sleеp.,I hardly sleep.,ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I very saԁ.,I very saԁ.,I am very sad.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I very ѕad.,I very ѕad.,I am very sad.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I feeⅼ kinda really,I feeⅼ kinda really,I feel kinda really sad,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_962_142_0
I kinda realⅼy sad,I kinda realⅼy sad,I feel kinda really sad,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_962_142_0
I am depressed ɑlso.,I am depressed ɑlso.,I am very depressed also.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_131_822_0
I am depressed aⅼso.,I am depressed aⅼso.,I am very depressed also.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_131_822_0
I'm also clinicɑlly.,I'm also clinicɑlly.,I'm also clinically depressed.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1581_626_0
I'm also clinicaⅼly.,I'm also clinicaⅼly.,I'm also clinically depressed.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1581_626_0
"I'm verу, very.""","I'm verу, very.""","I'm very, very pessimistic.""",ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1478_365_9
"I'm very, vеry.""","I'm very, vеry.""","I'm very, very pessimistic.""",ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1478_365_9
"I've been like thіs for long time now I sleep at around 9 or 10pm, hoping to wake up earlу in the morning at around 𝟕-8pm, then all of a sudden I up ɑt 12 or 2am in the morning feeling groggy and I cant get bed.","I've been like thіs for long time now I sleep at around 9 or 10pm, hoping to wake up earlу in the morning at around 𝟕-8pm, then all of a sudden I up ɑt 12 or 2am in the morning feeling groggy and I cant get bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a ⅼong time wherein I sleep around or 10pm, hoping to wake up earlу in the morոing at around 7-8pm, then all of a sudden wake up at 12 or 2am iո the morning feeling groggy now I cant get back bed.","I've been like this for a ⅼong time wherein I sleep around or 10pm, hoping to wake up earlу in the morոing at around 7-8pm, then all of a sudden wake up at 12 or 2am iո the morning feeling groggy now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
Im tireԁ,Im tireԁ,Im so tired,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
This had cryiոg,This had cryiոg,This had me crying,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
This hɑd me,This hɑd me,This had me crying,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
I to dіe,I to dіe,I want to die,ta_word_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
want tо die,want tо die,I want to die,ta_word_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I my libіdo.,I my libіdo.,I lost my libido.,ta_word_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I lost lіbido.,I lost lіbido.,I lost my libido.,ta_word_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
I just cant enjoу.,I just cant enjoу.,I just cant enjoy anything.,ta_word_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_1404_60_7
I just cant enjоy.,I just cant enjоy.,I just cant enjoy anything.,ta_word_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_1404_60_7
"I feel  wоrthless,.","I feel  wоrthless,.","I feel  worthless, hopeless.",ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel  wor𝚝hless,.","I feel  wor𝚝hless,.","I feel  worthless, hopeless.",ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel  worthlesѕ,.","I feel  worthlesѕ,.","I feel  worthless, hopeless.",ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel  wor𝚝hless,.","I feel  wor𝚝hless,.","I feel  worthless, hopeless.",ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel  wor𝚝hless,.","I feel  wor𝚝hless,.","I feel  worthless, hopeless.",ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel  wоrthless,.","I feel  wоrthless,.","I feel  worthless, hopeless.",ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
I am 𝚝ortured.,I am 𝚝ortured.,I am being tortured.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
am being 𝚝ortured.,am being 𝚝ortured.,I am being tortured.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
I myѕelf to sleep.,I myѕelf to sleep.,I cried myself to sleep.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1692_755_113
I cried ｍyself to.,I cried ｍyself to.,I cried myself to sleep.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1692_755_113
Anԁ I hate for it.,Anԁ I hate for it.,And I hate myself for it.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_614_806_3
And I hatе for it.,And I hatе for it.,And I hate myself for it.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_614_806_3
simply caո't focus.,simply caո't focus.,I simply can't focus.,ta_word_delete+ta_wordswap_homoglyph,COGNITIVE_ISSUES,1,s_1404_715_5
I simply can`t.,I simply can`t.,I simply can't focus.,ta_word_delete+ta_wordswap_homoglyph,COGNITIVE_ISSUES,1,s_1404_715_5
made me feel gսilty.,made me feel gսilty.,This made me feel guilty.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_993_644_17
This madе me guilty.,This madе me guilty.,This made me feel guilty.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_993_644_17
"Masturbating right before and also during sleep I feel like affecting my sleep quality If wake tired in the morning when I go back to sleep, instеad I start masturbatiոg which also affectѕ how much rest I get.","Masturbating right before and also during sleep I feel like affecting my sleep quality If wake tired in the morning when I go back to sleep, instеad I start masturbatiոg which also affectѕ how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during sleep I feel like affecting my sleep quality If wake tired in the morning wheո I go back to sleep, instead I start mastսrbating which also affects how ｍuch rest I get.","Masturbating right before and also during sleep I feel like affecting my sleep quality If wake tired in the morning wheո I go back to sleep, instead I start mastսrbating which also affects how ｍuch rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
do want to ԁie,do want to ԁie,i do want to die,ta_word_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
do want 𝚝o die,do want 𝚝o die,i do want to die,ta_word_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
I erytimе,I erytimе,I cry erytime,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
i really mуself,i really mуself,i really hate myself,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_31_4
really hate mysel𝚏,really hate mysel𝚏,i really hate myself,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_31_4
I հelp but cry.,I հelp but cry.,I couldnt help but cry.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1599_64_59
I help but crу.,I help but crу.,I couldnt help but cry.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1599_64_59
I`m quite,I`m quite,I'm quite angry,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I`m angry,I`m angry,I'm quite angry,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
really 𝚝ired.,really 𝚝ired.,I'm really tired.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
I'm tіred.,I'm tіred.,I'm really tired.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
"I work from home, and I don't sleep for the most (I have insomniɑ completely rеly slеep aids, and they not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during thе day, I usually get little tired and have the urge to just crawl into bed and fiոish work later (which I could do, but staying awake doing it righ𝚝 then ԝould be better).","I work from home, and I don't sleep for the most (I have insomniɑ completely rеly slеep aids, and they not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during thе day, I usually get little tired and have the urge to just crawl into bed and fiոish work later (which I could do, but staying awake doing it righ𝚝 then ԝould be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don't sⅼeep for the most (I have insomnia cоmpletely rely ѕleep aids, and they not to give you a good night's rest, whіch results in fatigue a few hours after waking up), so at some point during the day, I uѕually get lіttle tired and have the urge to just crawl into bed and finisհ work later (which I could do, but staying awake doing it right then would be better).","I work from home, and I don't sⅼeep for the most (I have insomnia cоmpletely rely ѕleep aids, and they not to give you a good night's rest, whіch results in fatigue a few hours after waking up), so at some point during the day, I uѕually get lіttle tired and have the urge to just crawl into bed and finisհ work later (which I could do, but staying awake doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_2292_402_1
I'm so all the timе.,I'm so all the timе.,I'm so irritable all the time.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1749_847_22
I'm so all the 𝚝ime.,I'm so all the 𝚝ime.,I'm so irritable all the time.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1749_847_22
I have nо at all.,I have nо at all.,I have no energy at all.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_1455_72_50
I no energy at alⅼ.,I no energy at alⅼ.,I have no energy at all.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_1455_72_50
proud of myѕelf,proud of myѕelf,Really proud of myself,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1605_228_1
Really оf myself,Really оf myself,Really proud of myself,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1605_228_1
prоud of myself,prоud of myself,Really proud of myself,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1605_228_1
proud of myѕelf,proud of myѕelf,Really proud of myself,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1605_228_1
was uselesѕ.,was uselesѕ.,I was useless.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
I uselеss.,I uselеss.,I was useless.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
"I tо cry, a lot.","I tо cry, a lot.","I started to cry, a lot.",ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1175_1278_23
"I to ϲry, a lot.","I to ϲry, a lot.","I started to cry, a lot.",ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1175_1278_23
I am verу.,I am verу.,I am very tired.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
I ɑm very.,I ɑm very.,I am very tired.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
"So here the.. It's been nearly 4 years, since really don't feel like myself..I am stiⅼl interested in activities that interested me before,but my emotions are so weak ɑnd i am lesѕ sensitive to particular things/people.","So here the.. It's been nearly 4 years, since really don't feel like myself..I am stiⅼl interested in activities that interested me before,but my emotions are so weak ɑnd i am lesѕ sensitive to particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_word_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_1127_16_1
"So here the.. It's been nearly 4 years, since really don't feel like myself..I am stiⅼl interested in activities that interested me before,but my emotions are so weak ɑnd i am lesѕ sensitive to particular things/people.","So here the.. It's been nearly 4 years, since really don't feel like myself..I am stiⅼl interested in activities that interested me before,but my emotions are so weak ɑnd i am lesѕ sensitive to particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_word_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_1127_16_1
I'm goіng die alone.,I'm goіng die alone.,I'm going to die alone.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_4
I'ｍ to die alone.,I'ｍ to die alone.,I'm going to die alone.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_4
I feel in gеneral.,I feel in gеneral.,I feel worthless in general.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_27
I 𝚏eel in general.,I 𝚏eel in general.,I feel worthless in general.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_27
I feel іn general.,I feel іn general.,I feel worthless in general.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_27
I 𝚏eel in general.,I 𝚏eel in general.,I feel worthless in general.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_27
I 𝚏eel in general.,I 𝚏eel in general.,I feel worthless in general.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_27
I feel іn general.,I feel іn general.,I feel worthless in general.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_27
սseless.,սseless.,I'm useless.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_32
uselеss.,uselеss.,I'm useless.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_32
Hating faіlure.,Hating faіlure.,Hating my failure.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2815_1585_9
mу failure.,mу failure.,Hating my failure.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2815_1585_9
I was lоw on.,I was lоw on.,I was low on self-esteem.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2046_16_25
I ԝas low on.,I ԝas low on.,I was low on self-esteem.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2046_16_25
"makes mе sad.""","makes mе sad.""","It makes me sad.""",ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1115_951_1
"makes me sɑd.""","makes me sɑd.""","It makes me sad.""",ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1115_951_1
I myseⅼf.,I myseⅼf.,I hate myself.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1601_880_7
I myѕelf.,I myѕelf.,I hate myself.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1601_880_7
I'm a ratheⲅ person.,I'm a ratheⲅ person.,I'm a rather depressed person.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_3002_178_1
I`m a rather person.,I`m a rather person.,I'm a rather depressed person.,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_3002_178_1
I'm a ratheⲅ person.,I'm a ratheⲅ person.,I'm a rather depressed person.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_3002_178_1
I'm a rather perѕon.,I'm a rather perѕon.,I'm a rather depressed person.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_3002_178_1
I haven'𝚝 slept in.,I haven'𝚝 slept in.,I haven't slept in days.,ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1535_1109_0
I haven't ѕlept in.,I haven't ѕlept in.,I haven't slept in days.,ta_word_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1535_1109_0
Future ɡives me,Future ɡives me,Future gives me anxiety,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2013_92_0
giveѕ me anxiety,giveѕ me anxiety,Future gives me anxiety,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2013_92_0
am.. sadneѕs,am.. sadneѕs,I am.. sadness,ta_word_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_855_1863_0
Please please helр,Please please helр,Please please please help,ta_word_delete+ta_wordswap_homoglyph,SPECIAL_CASE,1,s_2006_107_0
Plеase please please,Plеase please please,Please please please help,ta_word_delete+ta_wordswap_homoglyph,SPECIAL_CASE,1,s_2006_107_0
I mysel𝚏.,I mysel𝚏.,I hate myself.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2006_107_7
I myѕelf.,I myѕelf.,I hate myself.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2006_107_7
so 𝚝ired.,so 𝚝ired.,I'm so tired.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_10
so tiⲅed.,so tiⲅed.,I'm so tired.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_10
so tiⲅed.,so tiⲅed.,I'm so tired.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_16
so 𝚝ired.,so 𝚝ired.,I'm so tired.,ta_word_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_16
hate myѕelf.,hate myѕelf.,I  hate myself.,ta_word_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_614_5
