post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fele so opxressed.,I fele so opxressed.,I feel so oppressed.,nlp_randchar_swap+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I feel so ovprsesed.,I feel so ovprsesed.,I feel so oppressed.,nlp_randchar_swap+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
"I 100% konw thta if I haev co go to college alone without my family or any support Im gonna end up killing mysefl. .. . qm barely keeping my seYf laive now, I can ' t imgaine beign all by myself and dealing iwth my thoughts and evtoions!","I 100% konw thta if I haev co go to college alone without my family or any support Im gonna end up killing mysefl. .. . qm barely keeping my seYf laive now, I can ' t imgaine beign all by myself and dealing iwth my thoughts and evtoions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_swap+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that zf I ahve to go to college alone withotu my faimly or any support Im gonna end up kililng myself. .. . Im barely keeping my sefl aliev now, I can ' t imagine ebing all by myself Rnd edaling wtih my htoughts ind emotions!","I 100% know that zf I ahve to go to college alone withotu my faimly or any support Im gonna end up kililng myself. .. . Im barely keeping my sefl aliev now, I can ' t imagine ebing all by myself Rnd edaling wtih my htoughts ind emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_swap+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
I cOat stop rcying.,I cOat stop rcying.,I cant stop crying.,nlp_randchar_swap+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I cant qtpo crynig.,I cant qtpo crynig.,I cant stop crying.,nlp_randchar_swap+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
"It was only latre afetr my secomd boyfriend, I realized I canont feel sexual attraction (if I hvae, it was veyr temporary ), and that I jm probbaly asexual due to the fact thta I just Let disgusted witI myself wehn it comes to the sex aprt.","It was only latre afetr my secomd boyfriend, I realized I canont feel sexual attraction (if I hvae, it was veyr temporary ), and that I jm probbaly asexual due to the fact thta I just Let disgusted witI myself wehn it comes to the sex aprt.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_swap+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
"It was wnly latre after py second boyfriend, I realized I cannot feel sexual attractoin (if I hvae, it was evry temporray ), and that I am probably asexual dLe to the fcat htat I just get disgusted with mysefl hwen it comes to tue sex patr.","It was wnly latre after py second boyfriend, I realized I cannot feel sexual attractoin (if I hvae, it was evry temporray ), and that I am probably asexual dLe to the fcat htat I just get disgusted with mysefl hwen it comes to tue sex patr.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_swap+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
I don ' t lkie mZ.,I don ' t lkie mZ.,I don't like me.,nlp_randchar_swap+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I dIn ' t ilke me.,I dIn ' t ilke me.,I don't like me.,nlp_randchar_swap+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I ' Je cride.,I ' Je cride.,I've cried.,nlp_randchar_swap+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' ve cridP.,I ' ve cridP.,I've cried.,nlp_randchar_swap+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I begna uo cry.,I begna uo cry.,I began to cry.,nlp_randchar_swap+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I beagn jo cry.,I beagn jo cry.,I began to cry.,nlp_randchar_swap+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I ahrdly nleep.,I ahrdly nleep.,I hardly sleep.,nlp_randchar_swap+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
