post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I have to go to college entirely without my menage or any support Im gonna end up kill myself. .. . Im barely keeping my self Ralive now, I catn ' t imagine being all by myself and dolFe out with my thouJghts and emotions!","I 100% know that if I have to go to college entirely without my menage or any support Im gonna end up kill myself. .. . Im barely keeping my self Ralive now, I catn ' t imagine being all by myself and dolFe out with my thouJghts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_wordnet_insert+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"I ' ve been like this for a long time now wherein I sleep at around wnina frSowm carolina or 10pm, hoping to wake up ahead ocf time in the morniFng at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the daybreak feeling groggy and now I cant get back bed.","I ' ve been like this for a long time now wherein I sleep at around wnina frSowm carolina or 10pm, hoping to wake up ahead ocf time in the morniFng at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the daybreak feeling groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_wordnet_insert+ta_char_rand_ins,SLEEP_ISSUES,1,s_852_229_1
"My dog is trained pto comfort me when I have anxiousness, be a physical barrier between mGe and people whhen I get panicTky, and provide an excuse to leave a situation unity. e. he needs to go tipsy / eat / drink.","My dog is trained pto comfort me when I have anxiousness, be a physical barrier between mGe and people whhen I get panicTky, and provide an excuse to leave a situation unity. e. he needs to go tipsy / eat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_wordnet_insert+ta_char_rand_ins,PSYCHOMOTOR,1,s_708_315_0
"My dog is trained to comfort me when I have anxiousness, be a physical barrier between pme and peoplEe when I get panicky, and provide adn excuse to leaLve a situation unity. e. he needs to go tipsy / eat / drink.","My dog is trained to comfort me when I have anxiousness, be a physical barrier between pme and peoplEe when I get panicky, and provide adn excuse to leaLve a situation unity. e. he needs to go tipsy / eat / drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_wordnet_insert+ta_char_rand_ins,PSYCHOMOTOR,1,s_708_315_0
In the end its all my fault i should hcave tried harder for her not to give her away by corresponding locking myself iTn a room with my cat but mby idiotic disgusting dumb self didnt so i find fDault myself,In the end its all my fault i should hcave tried harder for her not to give her away by corresponding locking myself iTn a room with my cat but mby idiotic disgusting dumb self didnt so i find fDault myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,nlp_wordnet_insert+ta_char_rand_ins,WORTHLESSNESS,1,s_1194_94_1
In the end its alil my fault i sRhould Mhave tried harder for her not to give her away by corresponding locking myself in a room with my cat but Hmy idiotic disgusting dumb self didnt so i find fault myself,In the end its alil my fault i sRhould Mhave tried harder for her not to give her away by corresponding locking myself in a room with my cat but Hmy idiotic disgusting dumb self didnt so i find fault myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,nlp_wordnet_insert+ta_char_rand_ins,WORTHLESSNESS,1,s_1194_94_1
In the end its alil my fault i sRhould Mhave tried harder for her not to give her away by corresponding locking myself in a room with my cat but Hmy idiotic disgusting dumb self didnt so i find fault myself,In the end its alil my fault i sRhould Mhave tried harder for her not to give her away by corresponding locking myself in a room with my cat but Hmy idiotic disgusting dumb self didnt so i find fault myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,nlp_wordnet_insert+ta_char_rand_ins,WORTHLESSNESS,1,s_1194_94_1
In the end its all my fault i should hcave tried harder for her not to give her away by corresponding locking myself iTn a room with my cat but mby idiotic disgusting dumb self didnt so i find fDault myself,In the end its all my fault i should hcave tried harder for her not to give her away by corresponding locking myself iTn a room with my cat but mby idiotic disgusting dumb self didnt so i find fDault myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,nlp_wordnet_insert+ta_char_rand_ins,WORTHLESSNESS,1,s_1194_94_1
"I was able bodJied to experience novelty and joy even if I coiffe still pfeel lonely / depressed and would self harIm, I had the ability to bask and feel like the real me - now all thats expire and Ive just gotten buried into a depressive holWe where everyday is livped robotically or ghostly.","I was able bodJied to experience novelty and joy even if I coiffe still pfeel lonely / depressed and would self harIm, I had the ability to bask and feel like the real me - now all thats expire and Ive just gotten buried into a depressive holWe where everyday is livped robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_wordnet_insert+ta_char_rand_ins,ANHEDONIA,1,s_258_546_2
"I was able bodied to experience novelty and joy even if I coiffe still feel lonely / depressed and would self nharm, I had tCqhe ability tto Gbask and feel like the real me - now all thats expire and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.","I was able bodied to experience novelty and joy even if I coiffe still feel lonely / depressed and would self nharm, I had tCqhe ability tto Gbask and feel like the real me - now all thats expire and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_wordnet_insert+ta_char_rand_ins,ANHEDONIA,1,s_258_546_2
