post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
Cnt th th tiEe i did,Cnt th th tiEe i did,Cnt remember last time i cried,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_1077_440_0
jnt th th time i did,jnt th th time i did,Cnt remember last time i cried,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_1077_440_0
I cPnt not laughing.,I cPnt not laughing.,I cant stop crying.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I cant Bot laughing.,I cant Bot laughing.,I cant stop crying.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I don't havU them.,I don't havU them.,I don't like me.,nlp_cwe_sub_roberta+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I don't havd them.,I don't havd them.,I don't like me.,nlp_cwe_sub_roberta+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
Im super tirUd :),Im super tirUd :),Im generally tired So,nlp_cwe_sub_roberta+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
IC super tired :),IC super tired :),Im generally tired So,nlp_cwe_sub_roberta+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
Iive survived.,Iive survived.,I've cried.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
R've heard.,R've heard.,I've cried.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I have a Jry.,I have a Jry.,I began to cry.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I have a crC.,I have a crC.,I began to cry.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I felQ too sad.,I felQ too sad.,I am very sad.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I xelt too sad.,I xelt too sad.,I am very sad.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I look kinda … saJ,I look kinda … saJ,I feel kinda really sad,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_962_142_0
I loek kinda … sad,I loek kinda … sad,I feel kinda really sad,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_962_142_0
I get very sey also.,I get very sey also.,I am very depressed also.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_131_822_0
I gei very shy also.,I gei very shy also.,I am very depressed also.,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,1,s_131_822_0
"I've bPen like this for a long time now wherein To go at around 9 or 10pm, to not wake up early tzrough the evening at around 7-8pm, then all such a sudden I wake up after 12 or 2am in the moening feeling grEggy and want I go get back bfd.","I've bPen like this for a long time now wherein To go at around 9 or 10pm, to not wake up early tzrough the evening at around 7-8pm, then all such a sudden I wake up after 12 or 2am in the moening feeling grEggy and want I go get back bfd.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_sub_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
"I've deen likp having really a brief time now : I sleex at around 9 or 10pm, hoping to wake up sometime in the morning tilt atound 7-8pm, then all of a sudden I wake out at 12 or 2am in the morning feeling weird and now just cant get back in.","I've deen likp having really a brief time now : I sleex at around 9 or 10pm, hoping to wake up sometime in the morning tilt atound 7-8pm, then all of a sudden I wake out at 12 or 2am in the morning feeling weird and now just cant get back in.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_sub_roberta+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
Im super qired,Im super qired,Im so tired,nlp_cwe_sub_roberta+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Im super tJred,Im super tJred,Im so tired,nlp_cwe_sub_roberta+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
This had us excityd,This had us excityd,This had me crying,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
This iP Ben crying,This iP Ben crying,This had me crying,nlp_cwe_sub_roberta+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
I wSnt them …,I wSnt them …,I want to die,nlp_cwe_sub_roberta+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I want thym …,I want thym …,I want to die,nlp_cwe_sub_roberta+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
