post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I si oppressed.,I si oppressed.,I feel so oppressed.,ta_word_delete+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I feel sl.,I feel sl.,I feel so oppressed.,ta_word_delete+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I was witt energy.,I was witt energy.,I was filled with energy.,ta_word_delete+ta_wordswap_qwerty,FATIGUE,1,s_993_1060_1
I was with energh.,I was with energh.,I was filled with energy.,ta_word_delete+ta_wordswap_qwerty,FATIGUE,1,s_993_1060_1
I can't xt all now.,I can't xt all now.,I can't concentrate at all now.,ta_word_delete+ta_wordswap_qwerty,COGNITIVE_ISSUES,1,s_993_1060_4
I can't at all mow.,I can't at all mow.,I can't concentrate at all now.,ta_word_delete+ta_wordswap_qwerty,COGNITIVE_ISSUES,1,s_993_1060_4
I can't shop crying.,I can't shop crying.,Now I can't stop crying.,ta_word_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2338_920_11
I can't sfop crying.,I can't sfop crying.,Now I can't stop crying.,ta_word_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2338_920_11
"100% know that if I have to go to college alone without family or any support Im end up myself....Im barely ueeping my self alive npw, I can't imagine being all bj myself and dealing with my thoughgs and emotions!","100% know that if I have to go to college alone without family or any support Im end up myself....Im barely ueeping my self alive npw, I can't imagine being all bj myself and dealing with my thoughgs and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_word_delete+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I'm crjing on the.,I'm crjing on the.,I'm crying on the floor.,ta_word_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2401_82_1
I'm crying on fioor.,I'm crying on fioor.,I'm crying on the floor.,ta_word_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2401_82_1
My os going nowhere.,My os going nowhere.,My life is going nowhere.,ta_word_delete+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2455_114_1
