post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
_ feel po oppressed.,_ feel po oppressed.,I feel so oppressed.,nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I neel so _.,I neel so _.,I feel so oppressed.,nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I was _ with inergy.,I was _ with inergy.,I was filled with energy.,nlp_randword_sub+ta_char_rand_swap,FATIGUE,1,s_993_1060_1
I was filled wioh _.,I was filled wioh _.,I was filled with energy.,nlp_randword_sub+ta_char_rand_swap,FATIGUE,1,s_993_1060_1
"_ 100% know thaC if _ have to go to college alone without _ family or any support _ gonna end up killing Zyself. .. . Im barely keeping my _ alive now, I can ' t imagine being all by mysezf and dealing with my thoughts and emoqions!","_ 100% know thaC if _ have to go to college alone without _ family or any support _ gonna end up killing Zyself. .. . Im barely keeping my _ alive now, I can ' t imagine being all by mysezf and dealing with my thoughts and emoqions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know _ _ I have to _ to colEege alone without Py family Br any support Im gonna end up killing myself. .. . Im barely keeping oy self alive now, _ can ' t imagine being all _ myself and dealing with my thoughts and emotions!","I 100% know _ _ I have to _ to colEege alone without Py family Br any support Im gonna end up killing myself. .. . Im barely keeping oy self alive now, _ can ' t imagine being all _ myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
I canF stop _.,I canF stop _.,I cant stop crying.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I cart stop _.,I cart stop _.,I cant stop crying.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
"It was _ later after my second boyfriend, I _ I cannot feel _ attraction (if I have, it was very temporary ), and that I _ probably asexual due _ the facp that I Xust get disgusted with myself dhen it comes to tee sex part.","It was _ later after my second boyfriend, I _ I cannot feel _ attraction (if I have, it was very temporary ), and that I _ probably asexual due _ the facp that I Xust get disgusted with myself dhen it comes to tee sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_sub+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
_ dpn ' t like me.,_ dpn ' t like me.,I don't like me.,nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I _ ' t like ae.,I _ ' t like ae.,I don't like me.,nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
_ generally tirid So,_ generally tirid So,Im generally tired So,nlp_randword_sub+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
_ generally tired SF,_ generally tired SF,Im generally tired So,nlp_randword_sub+ta_char_rand_swap,FATIGUE,1,s_2007_1467_0
_ ' ve criet.,_ ' ve criet.,I've cried.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
_ ' ve creed.,_ ' ve creed.,I've cried.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
_ legan to cry.,_ legan to cry.,I began to cry.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I besan to _.,I besan to _.,I began to cry.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
_ go kill myself nkw,_ go kill myself nkw,Imma go kill myself now,nlp_randword_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2638_683_0
_ gi kill myself now,_ gi kill myself now,Imma go kill myself now,nlp_randword_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2638_683_0
I _ Vleep.,I _ Vleep.,I hardly sleep.,nlp_randword_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
_ hardly sJeep.,_ hardly sJeep.,I hardly sleep.,nlp_randword_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I am verl _.,I am verl _.,I am very sad.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I am _ szd.,I am _ szd.,I am very sad.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I Leel kinda _ sad,I Leel kinda _ sad,I feel kinda really sad,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_962_142_0
I foel kinda _ sad,I foel kinda _ sad,I feel kinda really sad,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_962_142_0
I am very _ auso.,I am very _ auso.,I am very depressed also.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_131_822_0
I am very _ aljo.,I am very _ aljo.,I am very depressed also.,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,1,s_131_822_0
"I ' ve Jeen like this for a _ time now wherein I sleip at around 9 or 10pm, hoping _ wake up early in the morning at around _ - 8pm, _ all of a suyden I wade up at 12 or 2am in the _ feeling groggy and now I cant get back bed.","I ' ve Jeen like this for a _ time now wherein I sleip at around 9 or 10pm, hoping _ wake up early in the morning at around _ - 8pm, _ all of a suyden I wade up at 12 or 2am in the _ feeling groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like this for _ long time now wherein I _ at around 9 or 10pm, hoping to wyke _ early in the morning at around 7 - 8pm, Ghen all of a sudden I wake pB at 12 or 2am in _ morning feeling groggy and now I cant get back _.","I ' ve been like this for _ long time now wherein I _ at around 9 or 10pm, hoping to wyke _ early in the morning at around 7 - 8pm, Ghen all of a sudden I wake pB at 12 or 2am in _ morning feeling groggy and now I cant get back _.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_sub+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
Gm _ tired,Gm _ tired,Im so tired,nlp_randword_sub+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Xm _ tired,Xm _ tired,Im so tired,nlp_randword_sub+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
TNis had me _,TNis had me _,This had me crying,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
This had Ne _,This had Ne _,This had me crying,nlp_randword_sub+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
I want _ dHe,I want _ dHe,I want to die,nlp_randword_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I want _ dce,I want _ dce,I want to die,nlp_randword_sub+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I _ mL libido.,I _ mL libido.,I lost my libido.,nlp_randword_sub+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I lost _ libsdo.,I lost _ libsdo.,I lost my libido.,nlp_randword_sub+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I just canm enjoy _.,I just canm enjoy _.,I just cant enjoy anything.,nlp_randword_sub+ta_char_rand_swap,ANHEDONIA,1,s_1404_60_7
I jujt cant enjoy _.,I jujt cant enjoy _.,I just cant enjoy anything.,nlp_randword_sub+ta_char_rand_swap,ANHEDONIA,1,s_1404_60_7
"I feel worthzess, _.","I feel worthzess, _.","I feel  worthless, hopeless.",nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I feel _, hYpeless.","I feel _, hYpeless.","I feel  worthless, hopeless.",nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I feel worthzess, _.","I feel worthzess, _.","I feel  worthless, hopeless.",nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I feel _, hopelesB.","I feel _, hopelesB.","I feel  worthless, hopeless.",nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I feel worthzess, _.","I feel worthzess, _.","I feel  worthless, hopeless.",nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
"I feer worthless, _.","I feer worthless, _.","I feel  worthless, hopeless.",nlp_randword_sub+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_615_3
