post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fdel so of(ressed.,I fdel so of(ressed.,I feel so oppressed.,nlp_keyboard+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I Hee? so opprDssed.,I Hee? so opprDssed.,I feel so oppressed.,nlp_keyboard+ta_char_rand_swap,WORTHLESSNESS,0,s_1955_1069_2
I can$ stop cryKPg.,I can$ stop cryKPg.,I cant stop crying.,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
I cant sYop xryinK.,I cant sYop xryinK.,I cant stop crying.,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2334_738_1
"It was onFy later aGter my Aecond boyfriend, I realized I canGot feel sexual attraction (if I have, it was cery tempPrary ), and that I am probabPy asexual due to the Gact thaF I just get tisgusted wi6h myself whfn it c(mes to the sex parr.","It was onFy later aGter my Aecond boyfriend, I realized I canGot feel sexual attraction (if I have, it was cery tempPrary ), and that I am probabPy asexual due to the Gact thaF I just get tisgusted wi6h myself whfn it c(mes to the sex parr.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_keyboard+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
"It was only later after my Oecond boyfriend, I wealized I cannot f#el sexual attracbion (if I hqve, iy was very temporary ), and ttat I am pEobably asexual due to the fxct that I just get disnusted witj myself when it Xomes to the sex part.","It was only later after my Oecond boyfriend, I wealized I cannot f#el sexual attracbion (if I hqve, iy was very temporary ), and ttat I am pEobably asexual due to the fxct that I just get disnusted witj myself when it Xomes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_keyboard+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
I don ' t >ikP me.,I don ' t >ikP me.,I don't like me.,nlp_keyboard+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I dJn ' t >ike me.,I dJn ' t >ike me.,I don't like me.,nlp_keyboard+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I ' ve Xcied.,I ' ve Xcied.,I've cried.,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' He cri4d.,I ' He cri4d.,I've cried.,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I bDgan go cry.,I bDgan go cry.,I began to cry.,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I begXn mo cry.,I begXn mo cry.,I began to cry.,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,1,s_2815_1660_107
I haddWy sl2ep.,I haddWy sl2ep.,I hardly sleep.,nlp_keyboard+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I hXddly sl2ep.,I hXddly sl2ep.,I hardly sleep.,nlp_keyboard+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I am dery Cad.,I am dery Cad.,I am very sad.,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
I am v@ry saW.,I am v@ry saW.,I am very sad.,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,0,s_411_1189_1
"I ' vO been oike this for a lonU time now wherein I sreep at around 9 or 10pm, hoping to Sake up esrly in the mornigg at aroumd 7 - 8pm, th$n all of a Eudden I wakD up at 12 or 2am in the morninH feeling gFoggy and How I cnnt get back bed.","I ' vO been oike this for a lonU time now wherein I sreep at around 9 or 10pm, hoping to Sake up esrly in the mornigg at aroumd 7 - 8pm, th$n all of a Eudden I wakD up at 12 or 2am in the morninH feeling gFoggy and How I cnnt get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like th9s for a loMg time now whSrein I dleep at wround 9 or 10pm, hoping to wak2 up early in the morhing at xround 7 - 8pm, thWn all of a s*dYen I wakr up at 1K or 2am in the morDing feeling groggy and now I cant Tet back bed.","I ' ve been like th9s for a loMg time now whSrein I dleep at wround 9 or 10pm, hoping to wak2 up early in the morhing at xround 7 - 8pm, thWn all of a s*dYen I wakr up at 1K or 2am in the morDing feeling groggy and now I cant Tet back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_keyboard+ta_char_rand_swap,SLEEP_ISSUES,1,s_852_229_1
Im so VireV,Im so VireV,Im so tired,nlp_keyboard+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Im Eo tirDd,Im Eo tirDd,Im so tired,nlp_keyboard+ta_char_rand_swap,FATIGUE,1,s_2434_365_0
Th7s hud me cryimg,Th7s hud me cryimg,This had me crying,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
6his had me cryinv,6his had me cryinv,This had me crying,nlp_keyboard+ta_char_rand_swap,DEPRESSED_MOOD,0,s_2464_412_0
I wqnt Ho die,I wqnt Ho die,I want to die,nlp_keyboard+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I !anh to die,I !anh to die,I want to die,nlp_keyboard+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_2118_413_1
I l*st my libiro.,I l*st my libiro.,I lost my libido.,nlp_keyboard+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
I los6 ma liHido.,I los6 ma liHido.,I lost my libido.,nlp_keyboard+ta_char_rand_swap,ANHEDONIA,1,s_2904_522_5
"My dog is train@d to comfoEt me when I mave anxiet%, be a physical baerier betwRen me aMd people whrB I get pWnicky, and provide an excuse to leave a siduation i. e. he neevs to go Ootty / eat / drjnk.","My dog is train@d to comfoEt me when I mave anxiet%, be a physical baerier betwRen me aMd people whrB I get pWnicky, and provide an excuse to leave a siduation i. e. he neevs to go Ootty / eat / drjnk.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",nlp_keyboard+ta_char_rand_swap,PSYCHOMOTOR,1,s_708_315_0
I aw bWing to%tured.,I aw bWing to%tured.,I am being tortured.,nlp_keyboard+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
I am geing t*rtureq.,I am geing t*rtureq.,I am being tortured.,nlp_keyboard+ta_char_rand_swap,WORTHLESSNESS,0,s_1351_120_5
"I was able to exp@rience novelty and joy rGen if I tid still feel lonely / depressed and wo tld self garm, I had the ability xo enjoy Cnd feeI like the $eal me - now all thats gone and Ive juZt gotten buried into a deprRssive hole wUere eFerydal is lived robotically or ghostly.","I was able to exp@rience novelty and joy rGen if I tid still feel lonely / depressed and wo tld self garm, I had the ability xo enjoy Cnd feeI like the $eal me - now all thats gone and Ive juZt gotten buried into a deprRssive hole wUere eFerydal is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_keyboard+ta_char_rand_swap,ANHEDONIA,1,s_258_546_2
