post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feTl so opprfssed.,I feTl so opprfssed.,I feel so oppressed.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I feei so opprensed.,I feei so opprensed.,I feel so oppressed.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"I 100% knoa that if I have to go to college alone without my family or any dupport Im gonna end up killing myself....Im barely keepNng my sehf alive now, I can't imagine beimg ali bX myself and dealing with Vy thoughts and emotions!","I 100% knoa that if I have to go to college alone without my family or any dupport Im gonna end up killing myself....Im barely keepNng my sehf alive now, I can't imagine beimg ali bX myself and dealing with Vy thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that nf I have to go to college alone without my family or any support Im gonna end up killing mysela....Im barely keeping iy self alive how, I can't imagine Keing all by myself anc dealing with mt thoughts and emotions!","I 100% know that nf I have to go to college alone without my family or any support Im gonna end up killing mysela....Im barely keeping iy self alive how, I can't imagine Keing all by myself anc dealing with mt thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I cznt jtop crying.,I cznt jtop crying.,I cant stop crying.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I canr jtop crying.,I canr jtop crying.,I cant stop crying.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I doh't like Ae.,I doh't like Ae.,I don't like me.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I don't likd mu.,I don't likd mu.,I don't like me.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
D've cried.,D've cried.,I've cried.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I'vX cried.,I'vX cried.,I've cried.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I began tk cCy.,I began tk cCy.,I began to cry.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I begam to crP.,I begam to crP.,I began to cry.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
I harMly sleeo.,I harMly sleeo.,I hardly sleep.,ta_char_rand_swap+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I harrly slVep.,I harrly slVep.,I hardly sleep.,ta_char_rand_swap+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I qc very sad.,I qc very sad.,I am very sad.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
I ac bery sad.,I ac bery sad.,I am very sad.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_411_1189_1
Jm bo tired,Jm bo tired,Im so tired,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
Im sk tired,Im sk tired,Im so tired,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_2434_365_0
This Uad ke crying,This Uad ke crying,This had me crying,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
This Uac me crying,This Uac me crying,This had me crying,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2464_412_0
I wajt to Iie,I wajt to Iie,I want to die,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
I waht to Iie,I waht to Iie,I want to die,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lost ny ljbido.,I lost ny ljbido.,I lost my libido.,ta_char_rand_swap+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
I lost by kibido.,I lost by kibido.,I lost my libido.,ta_char_rand_swap+ta_wordswap_qwerty,ANHEDONIA,1,s_2904_522_5
I wm being tormured.,I wm being tormured.,I am being tortured.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
I am being tornured.,I am being tornured.,I am being tortured.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1351_120_5
"Masturbating right before avd also during sleep I feel liks its affecring my sleep quality If I wake Dp tircd in the mornlng when I should gq back to sleep, instead I start masturbating which also affects how mich rest I get.","Masturbating right before avd also during sleep I feel liks its affecring my sleep quality If I wake Dp tircd in the mornlng when I should gq back to sleep, instead I start masturbating which also affects how mich rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_swap+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating roght beforr avd also during sleep I feel like its affecting my sleep quality If I wake Dp tircd in the morning when I should gq back to skeep, instdad I start masturbating which also affects how much rest I get.","Masturbating roght beforr avd also during sleep I feel like its affecting my sleep quality If I wake Dp tircd in the morning when I should gq back to skeep, instdad I start masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_swap+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1404_1455_0
i wo want to dpe,i wo want to dpe,i do want to die,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
i co want Ho die,i co want Ho die,i do want to die,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_141_110_0
I Hry erytjme,I Hry erytjme,I cry erytime,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_523_60_1
I Hdy erytime,I Hdy erytime,I cry erytime,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_523_60_1
i really hcte mysekf,i really hcte mysekf,i really hate myself,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_31_4
i really gate mgself,i really gate mgself,i really hate myself,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1194_31_4
I'k quite angIy,I'k quite angIy,I'm quite angry,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2188_1006_0
I'V quitd angry,I'V quitd angry,I'm quite angry,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2188_1006_0
I'y reallh tired.,I'y reallh tired.,I'm really tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_547_567_2
I'm reallt tijed.,I'm reallt tijed.,I'm really tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_547_567_2
"I work from home, ahd I don't sleep well for tIe most paft (I have insomnia and completely rely on sleep aids, and they teud bot to give you a Bood night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a Tittle tired and have fhe urge vo just crawl into Wed and finish my work layer (which I could do, but staying awake and coing ia right then wpmld be better).","I work from home, ahd I don't sleep well for tIe most paft (I have insomnia and completely rely on sleep aids, and they teud bot to give you a Bood night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a Tittle tired and have fhe urge vo just crawl into Wed and finish my work layer (which I could do, but staying awake and coing ia right then wpmld be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_swap+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_2292_402_1
I wqp useless.,I wqp useless.,I was useless.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1899_440_13
I dap useless.,I dap useless.,I was useless.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1899_440_13
I am very qiged.,I am very qiged.,I am very tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_1030_1290_8
I Gm very tirsd.,I Gm very tirsd.,I am very tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_1030_1290_8
Ipm useless.,Ipm useless.,I'm useless.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1933_175_32
Ibm iseless.,Ibm iseless.,I'm useless.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1933_175_32
Hating mt faslure.,Hating mt faslure.,Hating my failure.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2815_1585_9
Hatixg mg failure.,Hatixg mg failure.,Hating my failure.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2815_1585_9
"I really donst want to die, but I crave eoS the worlw tY bf a much better place, I crave for a sort of life where I feel in control ftr once, a lofe where I don't feel like I'm being led like a horse.","I really donst want to die, but I crave eoS the worlw tY bf a much better place, I crave for a sort of life where I feel in control ftr once, a lofe where I don't feel like I'm being led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It makes mv sad.""","It makes mv sad.""","It makes me sad.""",ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_1115_951_1
"It mRkes je sad.""","It mRkes je sad.""","It makes me sad.""",ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_1115_951_1
I hatf myseFf.,I hatf myseFf.,I hate myself.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1601_880_7
I hate museFf.,I hate museFf.,I hate myself.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1601_880_7
I ak.. sadaess,I ak.. sadaess,I am.. sadness,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_855_1863_0
I xm.. saEness,I xm.. saEness,I am.. sadness,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_855_1863_0
I hatf myseFf.,I hatf myseFf.,I hate myself.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2006_107_7
I oate muself.,I oate muself.,I hate myself.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2006_107_7
I'm sL tifed.,I'm sL tifed.,I'm so tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_2006_107_10
I'd ao tired.,I'd ao tired.,I'm so tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_2006_107_10
I'm sL tifed.,I'm sL tifed.,I'm so tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_2006_107_16
I'H so tirrd.,I'H so tirrd.,I'm so tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_2006_107_16
I  haVe myself.,I  haVe myself.,I  hate myself.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_614_5
I  haGe nyself.,I  haGe nyself.,I  hate myself.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_614_5
LifV is helk.,LifV is helk.,Life is hell.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2415_614_6
Life kO hell.,Life kO hell.,Life is hell.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2415_614_6
Ik Bo angry now.,Ik Bo angry now.,Im so angry now.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2953_1058_27
Lm Bo angry now.,Lm Bo angry now.,Im so angry now.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_2953_1058_27
"It has been a rpugh scbool ysar for me with a lot oS changes that brought me to the point of uncontrollable crying for two days iC a How, migraines, muscle kension, and an inability to really get any work done with my dtudents.","It has been a rpugh scbool ysar for me with a lot oS changes that brought me to the point of uncontrollable crying for two days iC a How, migraines, muscle kension, and an inability to really get any work done with my dtudents.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_swap+ta_wordswap_qwerty,SPECIAL_CASE,1,s_1190_67_2
"It has been a rough school year for me with a lot oS changes that brought me tp the point of uncontrollable xrying tor two days iC a How, migraines, muscle kension, and an inability to really get amy work done with my students.","It has been a rough school year for me with a lot oS changes that brought me tp the point of uncontrollable xrying tor two days iC a How, migraines, muscle kension, and an inability to really get amy work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_swap+ta_wordswap_qwerty,SPECIAL_CASE,1,s_1190_67_2
I'k Crash.,I'k Crash.,I'm trash.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2130_82_12
O'm tYash.,O'm tYash.,I'm trash.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2130_82_12
I am Eodthless.,I am Eodthless.,I am worthless.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_2_3
I am wvrthless.,I am wvrthless.,I am worthless.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_2_3
I Pm hkpeless.,I Pm hkpeless.,I am hopeless.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2415_2_4
I am hlpePess.,I am hlpePess.,I am hopeless.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2415_2_4
I oate muself.,I oate muself.,I hate myself.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_2_8
I hatf myseFf.,I hatf myseFf.,I hate myself.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_2_8
I attejpted Puicide.,I attejpted Puicide.,I attempted suicide.,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_982_722_0
I attempted Puifide.,I attempted Puifide.,I attempted suicide.,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_982_722_0
I've failed ag lifx.,I've failed ag lifx.,I've failed at life.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2130_1123_14
Irve failed at lufe.,Irve failed at lufe.,I've failed at life.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2130_1123_14
Im about to give yV,Im about to give yV,Im about to give up,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2800_49_3
km about to give jp,km about to give jp,Im about to give up,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2800_49_3
"I have struggled wigW binge eating fog a decade, but I think I'D finally recoverinZ from that because I've gone from bingina 2500+ calories every other day, to just fincing a snack when I feel like I want to binge.","I have struggled wigW binge eating fog a decade, but I think I'D finally recoverinZ from that because I've gone from bingina 2500+ calories every other day, to just fincing a snack when I feel like I want to binge.","I have struggled with binge eating for a decade, but I think I'm finally recovering from that because I've gone from binging 2500+ calories every other day, to just finding a snack when I feel like I want to binge.",ta_char_rand_swap+ta_wordswap_qwerty,APPETITE_CHANGE,0,s_1499_1118_9
I wannz kixl myself,I wannz kixl myself,I wanna kill myself,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_1586_1434_1
I Banna kill myselr,I Banna kill myselr,I wanna kill myself,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_1586_1434_1
I Bewl successful,I Bewl successful,I feel successful,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_276_620_0
I Xedl successful,I Xedl successful,I feel successful,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_276_620_0
"Occasionally I've taIrn 25/50mg to get to sleep at night but I've definitely never experienced wnything on it before other than getting Qrowsy...so, uike twenty minutes latez I'm getting in bed, and I turn on this white noise teb hkur youtube video I sometimeM usw to help me sleep.","Occasionally I've taIrn 25/50mg to get to sleep at night but I've definitely never experienced wnything on it before other than getting Qrowsy...so, uike twenty minutes latez I'm getting in bed, and I turn on this white noise teb hkur youtube video I sometimeM usw to help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_swap+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1965_10_8
"Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything oe it before other than geKting drowsy...so, like twenty minuyes later n'm getting ij bed, and I turn on this white noOse ten hour ykutube videi I sometimes use ti help me sleBp.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything oe it before other than geKting drowsy...so, like twenty minuyes later n'm getting ij bed, and I turn on this white noOse ten hour ykutube videi I sometimes use ti help me sleBp.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",ta_char_rand_swap+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_1965_10_8
"Some suicide attempts left mw crying qfter all the pFin abd ohce, the thought od my mother just at the other side of the dgor and she waking me up nheerfully hhe next morning, but again, living for others can only go so fqr, and this is the breaking point where the point lf not cxring aIymore if I cnn get rid of this pajn iG becoZing stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pFin abd ohce, the thought od my mother just at the other side of the dgor and she waking me up nheerfully hhe next morning, but again, living for others can only go so fqr, and this is the breaking point where the point lf not cxring aIymore if I cnn get rid of this pajn iG becoZing stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_782_6_12
"Some suicide attempts left mw crying qfter all the pFin and once, the thought of my mother just wt the other side of the dgor and she waking me up nheerfully the hext morning, but again, living for othefs can only go sl fqr, and this is the brezking point where the loint of not caring aIymore if I cnn get ric of this pain iG becoZing stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pFin and once, the thought of my mother just wt the other side of the dgor and she waking me up nheerfully the hext morning, but again, living for othefs can only go sl fqr, and this is the brezking point where the loint of not caring aIymore if I cnn get ric of this pain iG becoZing stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_782_6_12
I don't like Fdx,I don't like Fdx,I don't like Sex,ta_char_rand_swap+ta_wordswap_qwerty,ANHEDONIA,1,s_2456_821_1
I don't like bfx,I don't like bfx,I don't like Sex,ta_char_rand_swap+ta_wordswap_qwerty,ANHEDONIA,1,s_2456_821_1
Klll Byself,Klll Byself,Kill myself,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_1201_307_0
KUll mjself,KUll mjself,Kill myself,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_1201_307_0
I zm saw waiting.,I zm saw waiting.,I am sad waiting.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_577_923_1
I am qaw waiting.,I am qaw waiting.,I am sad waiting.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_577_923_1
ForeveE Alpne,ForeveE Alpne,Forever Alone,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2908_76_0
ForeveE Allne,ForeveE Allne,Forever Alone,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2908_76_0
I crieM today tok.,I crieM today tok.,I cried today too.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2035_67_1
I cried todBy tio.,I cried todBy tio.,I cried today too.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2035_67_1
i hatf myselN now.,i hatf myselN now.,i hate myself now.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2326_622_1
i Yahe myself now.,i Yahe myself now.,i hate myself now.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2326_622_1
"I tried to stay ul longer paht 3 pm yesterday but I got way hoW tired and fell asleep until 11 pm and now I cant get any sleep lince Ik noh tirsd wnd my tics want vo come out, but I cant let them since my mom will be angry.","I tried to stay ul longer paht 3 pm yesterday but I got way hoW tired and fell asleep until 11 pm and now I cant get any sleep lince Ik noh tirsd wnd my tics want vo come out, but I cant let them since my mom will be angry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_rand_swap+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_2434_538_2
"I'ge done some thinking as to why I kzy feel wepressed, and one thing that stepd out is thw fact that I'm always looking for new things ij my life Vo fill some kind of hole or need

this hKs become destructive though, as I will eat a lot juxt for thA sake of eating because it feels good and different from feeling g depressed, or I'll jIst by random crap just because it is new

and the this gs I used to likr tl do, like Jrogramming or reading, I jkst don't find as fun anymore

I'm noX sure if thix is juzt a part of depression og if its entirely somethJng different.","I'ge done some thinking as to why I kzy feel wepressed, and one thing that stepd out is thw fact that I'm always looking for new things ij my life Vo fill some kind of hole or need

this hKs become destructive though, as I will eat a lot juxt for thA sake of eating because it feels good and different from feeling g depressed, or I'll jIst by random crap just because it is new

and the this gs I used to likr tl do, like Jrogramming or reading, I jkst don't find as fun anymore

I'm noX sure if thix is juzt a part of depression og if its entirely somethJng different.","I've done some thinking as to why I may feel depressed, and one thing that stood out is the fact that I'm always looking for new things in my life to fill some kind of hole or need

this has become destructive though, as I will eat a lot just for the sake of eating because it feels good and different from feeling g depressed, or I'll just by random crap just because it is new

and the this gs I used to like to do, like programming or reading, I just don't find as fun anymore

I'm not sure if this is just a part of depression or if its entirely something different.",ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_1808_2_2
"I've donn some hhinking as to why I jay deel depressed, abd one thLGg tjat stood out iq the falt ygat I'm always looking for new things in my life to fill soUe kind od hole oa need

this has become dCstructive though, as I will eat a lot just for tEe sake of eating because it feels good anY different from feeling g depressed, or I'll just bO random crap just because it is new

and the this gs I used to like to do, like programming or reading, I just don't find as fun anymore

I'm not sure id this is kust a part of depression or if its entirely something dlfferent.","I've donn some hhinking as to why I jay deel depressed, abd one thLGg tjat stood out iq the falt ygat I'm always looking for new things in my life to fill soUe kind od hole oa need

this has become dCstructive though, as I will eat a lot just for tEe sake of eating because it feels good anY different from feeling g depressed, or I'll just bO random crap just because it is new

and the this gs I used to like to do, like programming or reading, I just don't find as fun anymore

I'm not sure id this is kust a part of depression or if its entirely something dlfferent.","I've done some thinking as to why I may feel depressed, and one thing that stood out is the fact that I'm always looking for new things in my life to fill some kind of hole or need

this has become destructive though, as I will eat a lot just for the sake of eating because it feels good and different from feeling g depressed, or I'll just by random crap just because it is new

and the this gs I used to like to do, like programming or reading, I just don't find as fun anymore

I'm not sure if this is just a part of depression or if its entirely something different.",ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_1808_2_2
And I was ao tireb.,And I was ao tireb.,And I was so tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_1514_213_111
And I was qo tored.,And I was qo tored.,And I was so tired.,ta_char_rand_swap+ta_wordswap_qwerty,FATIGUE,1,s_1514_213_111
I'm jusA not jappy.,I'm jusA not jappy.,I'm just not happy.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2143_312_17
I'm just noU haopy.,I'm just noU haopy.,I'm just not happy.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2143_312_17
i tZuly wang to die.,i tZuly wang to die.,i truly want to die.,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_8_309_1
i truly aant to dil.,i truly aant to dil.,i truly want to die.,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_8_309_1
Ij sl not sad.,Ij sl not sad.,Im so not sad.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_562_47
IU so jot sad.,IU so jot sad.,Im so not sad.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_562_47
Jow I'm depressQd.,Jow I'm depressQd.,Now I'm depressed.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_1276_718_3
Nos g'm depressed.,Nos g'm depressed.,Now I'm depressed.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_1276_718_3
Anr nGw I'm sad.,Anr nGw I'm sad.,And now I'm sad.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_18_228_26
Amd nGw I'm sad.,Amd nGw I'm sad.,And now I'm sad.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,0,s_18_228_26
I'k not gappy.,I'k not gappy.,I'm not happy.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_1900_293_0
I'm noG hxppy.,I'm noG hxppy.,I'm not happy.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_1900_293_0
I aS fucming CRYING.,I aS fucming CRYING.,I am fucking CRYING.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_74_207_1
I am fucking CREIHG.,I am fucking CREIHG.,I am fucking CRYING.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_74_207_1
I kdep cryiFg.,I kdep cryiFg.,I keep crying.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2100_307_1
I keeT crying.,I keeT crying.,I keep crying.,ta_char_rand_swap+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2100_307_1
i wanua xie,i wanua xie,i wanna die,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_41_1224_0
i wanca diw,i wanca diw,i wanna die,ta_char_rand_swap+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_41_1224_0
I oate mysele.,I oate mysele.,I hate myself.,ta_char_rand_swap+ta_wordswap_qwerty,WORTHLESSNESS,1,s_1899_295_2
