post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"It was only then after mia second boyfriend, I realized I cannot feel sexual attractiveness (if I have, Cit was very temporary), and that I am probablHy asexual due ito the fact thlat I just get disgusted with myself when it comes pour the sex part.","It was only then after mia second boyfriend, I realized I cannot feel sexual attractiveness (if I have, Cit was very temporary), and that I am probablHy asexual due ito the fact thlat I just get disgusted with myself when it comes pour the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_ins+ta_wordswap_embedding,ANHEDONIA,0,s_716_26_15
"It was only Zlater after my seconnd boyfriend, I realized I sizable feel sexual attraction (if jag have, it was very temporary), and that I am probably asexual due to per ofact that I just get disgusted with themselves when it ciomes to the sex part.","It was only Zlater after my seconnd boyfriend, I realized I sizable feel sexual attraction (if jag have, it was very temporary), and that I am probably asexual due to per ofact that I just get disgusted with themselves when it ciomes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_ins+ta_wordswap_embedding,ANHEDONIA,0,s_716_26_15
"I work from home, and I don't sleep well Cfor thme most part (I have insomnia and completely rely on ysleep aids, and they gravitate noat to give you a good night's rest, which results in fatigue a sfew nhours after waking up), so at some poignt durking the day, I usually get para petite overtired and have the urge to just creeping into bed and finish my work later (which I ca did, but staying awake and doing it law then would be better).","I work from home, and I don't sleep well Cfor thme most part (I have insomnia and completely rely on ysleep aids, and they gravitate noat to give you a good night's rest, which results in fatigue a sfew nhours after waking up), so at some poignt durking the day, I usually get para petite overtired and have the urge to just creeping into bed and finish my work later (which I ca did, but staying awake and doing it law then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_wordswap_embedding,SLEEP_ISSUES,1,s_2292_402_1
"I work from houses, and li don't sFleep well for tJhe most part (I haGve insomnia and completely reRly on sleep aids, and they tentd noEt to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually attains a littlke tired and have the urvge to just crawl into cot and finish my collaborate subsequent (which I could do, but staying awake and doing it right then would be better).","I work from houses, and li don't sFleep well for tJhe most part (I haGve insomnia and completely reRly on sleep aids, and they tentd noEt to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually attains a littlke tired and have the urvge to just crawl into cot and finish my collaborate subsequent (which I could do, but staying awake and doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_wordswap_embedding,SLEEP_ISSUES,1,s_2292_402_1
"Svo here is bthe case.. It's been nearly 4 years, since i really don't feel like myself..I am still interesCted in activities that interested me before,but my emotions sont so weak and i qam much less vulnerable to particular things/volk.","Svo here is bthe case.. It's been nearly 4 years, since i really don't feel like myself..I am still interesCted in activities that interested me before,but my emotions sont so weak and i qam much less vulnerable to particular things/volk.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_ins+ta_wordswap_embedding,ANHEDONIA,1,s_1127_16_1
"Svo here is bthe lawsuit.. It's been nearly 4 years, since i really don't feel like myself..li am still interesCted in endeavors that interested me before,but mes emotions are so weak and i qam much less sensitive to particular things/people.","Svo here is bthe lawsuit.. It's been nearly 4 years, since i really don't feel like myself..li am still interesCted in endeavors that interested me before,but mes emotions are so weak and i qam much less sensitive to particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_ins+ta_wordswap_embedding,ANHEDONIA,1,s_1127_16_1
"Svo here is bthe case.. It's been nearly 4 years, since i really don't feel like myself..I am still interesCted in activities that interested me before,but my emotions sont so weak and i qam much less vulnerable to particular things/volk.","Svo here is bthe case.. It's been nearly 4 years, since i really don't feel like myself..I am still interesCted in activities that interested me before,but my emotions sont so weak and i qam much less vulnerable to particular things/volk.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_ins+ta_wordswap_embedding,ANHEDONIA,1,s_1127_16_1
"Svo here is bthe lawsuit.. It's been nearly 4 years, since i really don't feel like myself..li am still interesCted in endeavors that interested me before,but mes emotions are so weak and i qam much less sensitive to particular things/people.","Svo here is bthe lawsuit.. It's been nearly 4 years, since i really don't feel like myself..li am still interesCted in endeavors that interested me before,but mes emotions are so weak and i qam much less sensitive to particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",ta_char_rand_ins+ta_wordswap_embedding,ANHEDONIA,1,s_1127_16_1
"I really don't gonna to die, but I crave for the world aux ibe a much better place, I crave for a sorts of life where I feesl in control foHr once, a lpife where I don't feel like I'm being led iike a horse.","I really don't gonna to die, but I crave for the world aux ibe a much better place, I crave for a sorts of life where I feesl in control foHr once, a lpife where I don't feel like I'm being led iike a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",ta_char_rand_ins+ta_wordswap_embedding,SUICIDAL_THOUGHTS,1,s_1738_193_5
"je genuinely don't want per die, but I crave for the world to ibe a much optimal place, I crave for a sort of life where I feesl in control foHr once, a lpife where I don't feel like I'm being led like a horse.","je genuinely don't want per die, but I crave for the world to ibe a much optimal place, I crave for a sort of life where I feesl in control foHr once, a lpife where I don't feel like I'm being led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",ta_char_rand_ins+ta_wordswap_embedding,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It has been a brute tuition year for me wwith a lot of changes that brougbht me to the point bof unchecked crying for two days in a row, migraines, muscle tension, and an inabilXity pour really get any work done with my students.","It has been a brute tuition year for me wwith a lot of changes that brougbht me to the point bof unchecked crying for two days in a row, migraines, muscle tension, and an inabilXity pour really get any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_wordswap_embedding,SPECIAL_CASE,1,s_1190_67_2
"It enjoys been a rough scholastic year for me wwith a lot of modification that brougbht me to the point bof uncontrollable crying for two days in a row, migraines, muscle tension, and bring inabilXity to really get any work done with my students.","It enjoys been a rough scholastic year for me wwith a lot of modification that brougbht me to the point bof uncontrollable crying for two days in a row, migraines, muscle tension, and bring inabilXity to really get any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_wordswap_embedding,SPECIAL_CASE,1,s_1190_67_2
j don't have a passion for aMnything I lost interest in most things about the age of 1B0 (idk what happened to me maybe some event or one of my cihildhood operations sSomething gone wrong) subsequently losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly nor on spiritual things like science und math.,j don't have a passion for aMnything I lost interest in most things about the age of 1B0 (idk what happened to me maybe some event or one of my cihildhood operations sSomething gone wrong) subsequently losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly nor on spiritual things like science und math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_ins+ta_wordswap_embedding,ANHEDONIA,1,s_212_394_1
j don't have a passion for aMnything I lost interest in most things about the age of 1B0 (idk what happened to me maybe some event or one of my cihildhood operations sSomething gone wrong) subsequently losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly nor on spiritual things like science und math.,j don't have a passion for aMnything I lost interest in most things about the age of 1B0 (idk what happened to me maybe some event or one of my cihildhood operations sSomething gone wrong) subsequently losing it at 10; my time became occupied witJh philosophy and just wasting time mindlessly nor on spiritual things like science und math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,ta_char_rand_ins+ta_wordswap_embedding,ANHEDONIA,1,s_212_394_1
"It's basically a hconstant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever hdas ou ever will love Ame, everything jag do is wrong, I'm a bad human being and I need to be dead raison now.","It's basically a hconstant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever hdas ou ever will love Ame, everything jag do is wrong, I'm a bad human being and I need to be dead raison now.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",ta_char_rand_ins+ta_wordswap_embedding,WORTHLESSNESS,1,s_1483_222_18
