post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I _ so oppⲅessed.,I _ so oppⲅessed.,I feel so oppressed.,nlp_randword_sub+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I feel _ opprеssed.,I feel _ opprеssed.,I feel so oppressed.,nlp_randword_sub+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I was _ with eոergy.,I was _ with eոergy.,I was filled with energy.,nlp_randword_sub+ta_wordswap_homoglyph,FATIGUE,1,s_993_1060_1
I ԝas filled with _.,I ԝas filled with _.,I was filled with energy.,nlp_randword_sub+ta_wordswap_homoglyph,FATIGUE,1,s_993_1060_1
My life is goinɡ _.,My life is goinɡ _.,My life is going nowhere.,nlp_randword_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2455_114_1
My life is goіng _.,My life is goіng _.,My life is going nowhere.,nlp_randword_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2455_114_1
I caոt stop _.,I caոt stop _.,I cant stop crying.,nlp_randword_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
_ cant stop cryinɡ.,_ cant stop cryinɡ.,I cant stop crying.,nlp_randword_sub+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later after my second boyfriend, I realized I cannot feel sexual attraction (_ I haѵe, it was very temрorary ), and _ I _ probably asexual due to the fact that _ just get _ wіth myself when it cоmes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (_ I haѵe, it was very temрorary ), and _ I _ probably asexual due to the fact that _ just get _ wіth myself when it cоmes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_sub+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
_ don ' t like mе.,_ don ' t like mе.,I don't like me.,nlp_randword_sub+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
