post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that _ I have to go to college alone _ my family or any support Im _ end up killing myself. .. . m barely keepin my self alie now, I can ' t _ being all by myself and dealng _ my thoughts and emotions!","I 100% know that _ I have to go to college alone _ my family or any support Im _ end up killing myself. .. . m barely keepin my self alie now, I can ' t _ being all by myself and dealng _ my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_sub+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"It as ony later fter my second boyfriend, _ realized I cannot _ sexual attraction (_ I _, it was very temporary ), and that I am probably asexual due to the fact that I _ get disgusted with myself when it comes to the sx part.","It as ony later fter my second boyfriend, _ realized I cannot _ sexual attraction (_ I _, it was very temporary ), and that I am probably asexual due to the fact that I _ get disgusted with myself when it comes to the sx part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_sub+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
I _ leep.,I _ leep.,I hardly sleep.,nlp_randword_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_697_81_3
I _ slep.,I _ slep.,I hardly sleep.,nlp_randword_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_697_81_3
"I ' ve been like this for a long time now wherein I sleep a aroun 9 or 10pm, hopng to wae up early in the morning at around 7 - 8pm, then _ of a sudden I _ up at 12 _ _ in the morning feeling groggy and now _ cant get back bed.","I ' ve been like this for a long time now wherein I sleep a aroun 9 or 10pm, hopng to wae up early in the morning at around 7 - 8pm, then _ of a sudden I _ up at 12 _ _ in the morning feeling groggy and now _ cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been like this or a long tim now wherein I sleep at around 9 or 10pm, hoping to wake up early _ the morning at around _ - 8pm, then _ of a sudden I wae up at 12 or 2am _ the morning feeling groggy an now I cant _ back bed.","I ' ve been like this or a long tim now wherein I sleep at around 9 or 10pm, hoping to wake up early _ the morning at around _ - 8pm, then _ of a sudden I wae up at 12 or 2am _ the morning feeling groggy an now I cant _ back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
I _ tired,I _ tired,Im so tired,nlp_randword_sub+ta_char_rand_del,FATIGUE,1,s_2434_365_0
Im _ ired,Im _ ired,Im so tired,nlp_randword_sub+ta_char_rand_del,FATIGUE,1,s_2434_365_0
"Masturbating _ before and also duing sleep I feel like _ _ my slee quality If I wake up tired _ th morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating _ before and also duing sleep I feel like _ _ my slee quality If I wake up tired _ th morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randword_sub+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
I ws _.,I ws _.,I was useless.,nlp_randword_sub+ta_char_rand_del,WORTHLESSNESS,1,s_1899_440_13
I as _.,I as _.,I was useless.,nlp_randword_sub+ta_char_rand_del,WORTHLESSNESS,1,s_1899_440_13
"So here is _ cse. . I ' s been nearly 4 years, _ i really don ' t feel like myself. . I am still interested in activties tha interested me before, but _ emotions are so weak _ i am much less _ to particular things / people.","So here is _ cse. . I ' s been nearly 4 years, _ i really don ' t feel like myself. . I am still interested in activties tha interested me before, but _ emotions are so weak _ i am much less _ to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randword_sub+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is _ cse. . I ' s been nearly 4 years, _ i really don ' t feel like myself. . I am still interested in activties tha interested me before, but _ emotions are so weak _ i am much less _ to particular things / people.","So here is _ cse. . I ' s been nearly 4 years, _ i really don ' t feel like myself. . I am still interested in activties tha interested me before, but _ emotions are so weak _ i am much less _ to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randword_sub+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
I ate _.,I ate _.,I hate myself.,nlp_randword_sub+ta_char_rand_del,WORTHLESSNESS,1,s_1601_880_7
I hat _.,I hat _.,I hate myself.,nlp_randword_sub+ta_char_rand_del,WORTHLESSNESS,1,s_1601_880_7
