post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I've sen.,I've sen.,I've cried.,nlp_cwe_sub_roberta+ta_char_rand_del,DEPRESSED_MOOD,1,s_145_86_2
've seen.,'ve seen.,I've cried.,nlp_cwe_sub_roberta+ta_char_rand_del,DEPRESSED_MOOD,1,s_145_86_2
"Ive known doing this for a long time now wherein I sleep in around 9 or early, hoping would wake again early in the morning at around 7-8pm, then all f a time I wake myself at 12 to 2am in te day feeling groggy ad no I cant get back bed.","Ive known doing this for a long time now wherein I sleep in around 9 or early, hoping would wake again early in the morning at around 7-8pm, then all f a time I wake myself at 12 to 2am in te day feeling groggy ad no I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_sub_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I've been like this fo a short tim years wherein I sleep at around 71 or 8, hopng to wake up early in the morning to around 7-8pm, then instead of a when I wake up at 12 or 2am to the morning feeling groggy like now I cant get i bed.","I've been like this fo a short tim years wherein I sleep at around 71 or 8, hopng to wake up early in the morning to around 7-8pm, then instead of a when I wake up at 12 or 2am to the morning feeling groggy like now I cant get i bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_cwe_sub_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I was able to experience ovelty and joy even after I did still feel lonely/ depressed and would seek har , or have the ability do enjoy and feel like the same things - now all thats one and Ive just gtten buried into a depressive stae where all is lived robotically or passively.","I was able to experience ovelty and joy even after I did still feel lonely/ depressed and would seek har , or have the ability do enjoy and feel like the same things - now all thats one and Ive just gtten buried into a depressive stae where all is lived robotically or passively.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_cwe_sub_roberta+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
"I work from Manhattan, and I dn't sleep well for te most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results n fatigue a few hours before waking up), so at ome point within the hours, I usually gt fair ittle tired and have te urge to just slip into bed and finis my damned email (which I still do, but remaining awake and doing it right then would be better).","I work from Manhattan, and I dn't sleep well for te most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results n fatigue a few hours before waking up), so at ome point within the hours, I usually gt fair ittle tired and have te urge to just slip into bed and finis my damned email (which I still do, but remaining awake and doing it right then would be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_cwe_sub_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don't remmber wl for the most nights (I ave insomnia and mostly rely on sleep aids, an they tend not to feed you a good night's rest, which results in fatigue a few hours after waking up), so at some poit during the day, I would get a little tired and have the urge to hastily crawl into bed to finish my work later ($ anyone could do, but staying awake an doing something right then woud be better).","I work from home, and I don't remmber wl for the most nights (I ave insomnia and mostly rely on sleep aids, an they tend not to feed you a good night's rest, which results in fatigue a few hours after waking up), so at some poit during the day, I would get a little tired and have the urge to hastily crawl into bed to finish my work later ($ anyone could do, but staying awake an doing something right then woud be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_cwe_sub_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"So here is the case.. It's een nearly 4 years, but he really did feel like myself..I am also interested in activities that interested myself prsonally,bu my emotions feel so suppresed and i can much less sensitive over particular things/people.","So here is the case.. It's een nearly 4 years, but he really did feel like myself..I am also interested in activities that interested myself prsonally,bu my emotions feel so suppresed and i can much less sensitive over particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_cwe_sub_roberta+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case.. It's een nearly 4 years, but he really did feel like myself..I am also interested in activities that interested myself prsonally,bu my emotions feel so suppresed and i can much less sensitive over particular things/people.","So here is the case.. It's een nearly 4 years, but he really did feel like myself..I am also interested in activities that interested myself prsonally,bu my emotions feel so suppresed and i can much less sensitive over particular things/people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_cwe_sub_roberta+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
I'm Bll.,I'm Bll.,I'm useless.,nlp_cwe_sub_roberta+ta_char_rand_del,WORTHLESSNESS,1,s_1933_175_32
I'm isa.,I'm isa.,I'm useless.,nlp_cwe_sub_roberta+ta_char_rand_del,WORTHLESSNESS,1,s_1933_175_32
"I really dont want to say, but I crave fr another afterlife t be a much better place, I think also a srt of life wher I feel in control much longer, in life where I don't feel like I'm being ridden like a horse.","I really dont want to say, but I crave fr another afterlife t be a much better place, I think also a srt of life wher I feel in control much longer, in life where I don't feel like I'm being ridden like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_cwe_sub_roberta+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It has been a challenging school year for staf with way lot more hanges that brought students to the point of uncontrollable crying for two days of any row, mgraines, muscle tension, and an inability to really recognize any work progrss in my students.","It has been a challenging school year for staf with way lot more hanges that brought students to the point of uncontrollable crying for two days of any row, mgraines, muscle tension, and an inability to really recognize any work progrss in my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_cwe_sub_roberta+ta_char_rand_del,SPECIAL_CASE,1,s_1190_67_2
I'm gad.,I'm gad.,I'm trash.,nlp_cwe_sub_roberta+ta_char_rand_del,WORTHLESSNESS,1,s_2130_82_12
'm glad.,'m glad.,I'm trash.,nlp_cwe_sub_roberta+ta_char_rand_del,WORTHLESSNESS,1,s_2130_82_12
I m orry.,I m orry.,I am worthless.,nlp_cwe_sub_roberta+ta_char_rand_del,WORTHLESSNESS,1,s_2415_2_3
I m sory.,I m sory.,I am worthless.,nlp_cwe_sub_roberta+ta_char_rand_del,WORTHLESSNESS,1,s_2415_2_3
I don't possess a passion for anything I lost interest in most things about the age I 10 (idk hat happened to m maybe some problem with one of my childhood operations somehow gone wrong) after losing sense t 10; my time became occupied with philosophy or just wsting up mindlessly r on intellectual things unlike science vs math.,I don't possess a passion for anything I lost interest in most things about the age I 10 (idk hat happened to m maybe some problem with one of my childhood operations somehow gone wrong) after losing sense t 10; my time became occupied with philosophy or just wsting up mindlessly r on intellectual things unlike science vs math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_cwe_sub_roberta+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
I don't possess a passion for anything I lost interest in most things about the age I 10 (idk hat happened to m maybe some problem with one of my childhood operations somehow gone wrong) after losing sense t 10; my time became occupied with philosophy or just wsting up mindlessly r on intellectual things unlike science vs math.,I don't possess a passion for anything I lost interest in most things about the age I 10 (idk hat happened to m maybe some problem with one of my childhood operations somehow gone wrong) after losing sense t 10; my time became occupied with philosophy or just wsting up mindlessly r on intellectual things unlike science vs math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_cwe_sub_roberta+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
"I have struggled with binge eating ately a bit, but I guess I'm finally recovering from hat because se went from binging 2500+ calories every other day, to only finding a pattern once I knw sure I want to binge.","I have struggled with binge eating ately a bit, but I guess I'm finally recovering from hat because se went from binging 2500+ calories every other day, to only finding a pattern once I knw sure I want to binge.","I have struggled with binge eating for a decade, but I think I'm finally recovering from that because I've gone from binging 2500+ calories every other day, to just finding a snack when I feel like I want to binge.",nlp_cwe_sub_roberta+ta_char_rand_del,APPETITE_CHANGE,0,s_1499_1118_9
"Occasioally it ingested 25/50mg t get around depession at night but I've definitely never experienced psychosis on meication before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten the youtube video my occasionally use ot elp me sleep.","Occasioally it ingested 25/50mg t get around depession at night but I've definitely never experienced psychosis on meication before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten the youtube video my occasionally use ot elp me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",nlp_cwe_sub_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_1965_10_8
Kill Edi,Kill Edi,Kill myself,nlp_cwe_sub_roberta+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_1201_307_0
"I tried to tay up longer past the pm , but I got way too tired than fell asleep until 11 pm and now im hardly get any done since Im to tired an thes tic want the come ou, but I cant let them since my mom will be here.","I tried to tay up longer past the pm , but I got way too tired than fell asleep until 11 pm and now im hardly get any done since Im to tired an thes tic want the come ou, but I cant let them since my mom will be here.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",nlp_cwe_sub_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_2434_538_2
"I tried o stay u longer past the pm , but I got way too tired than fell asleep until 11 pm and now im hardly get any dne since Im to tired and these tcs want the come out, but I ant let them since my mom will be here.","I tried o stay u longer past the pm , but I got way too tired than fell asleep until 11 pm and now im hardly get any dne since Im to tired and these tcs want the come out, but I ant let them since my mom will be here.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",nlp_cwe_sub_roberta+ta_char_rand_del,SLEEP_ISSUES,1,s_2434_538_2
"I've done some thinking as to why I may feel dpressed, and one thing that stood out is the fact that I'm always looking for new things in my life to fill some kind of hole or need

this has become destructive nw, as I will eating a lot just for the sak of eating because it feels good and different from bein g depressed, and I'll just by random snacks jus because it is ew

and the this gs I used to like to do, like programming or blogging, honestly just don't find as fun anymore

I'm not positive if tis s just a part f depression o if depression entirely something ral.","I've done some thinking as to why I may feel dpressed, and one thing that stood out is the fact that I'm always looking for new things in my life to fill some kind of hole or need

this has become destructive nw, as I will eating a lot just for the sak of eating because it feels good and different from bein g depressed, and I'll just by random snacks jus because it is ew

and the this gs I used to like to do, like programming or blogging, honestly just don't find as fun anymore

I'm not positive if tis s just a part f depression o if depression entirely something ral.","I've done some thinking as to why I may feel depressed, and one thing that stood out is the fact that I'm always looking for new things in my life to fill some kind of hole or need

this has become destructive though, as I will eat a lot just for the sake of eating because it feels good and different from feeling g depressed, or I'll just by random crap just because it is new

and the this gs I used to like to do, like programming or reading, I just don't find as fun anymore

I'm not sure if this is just a part of depression or if its entirely something different.",nlp_cwe_sub_roberta+ta_char_rand_del,DEPRESSED_MOOD,1,s_1808_2_2
"I've done some thinking as to why I may feel depressed, how one thing that stood out is the ways that I'm always looking for new things in my life to poke some kind of hole i need

this have become destructive though, as I will eat a lot just fo he sake of eating because nothng feels good and diffeent fr feeling g depressed, or stop just by random crap just because it is new

and the this gs I used d like to do, like programming or reading, I just don' find a fun anymoe

I'm not sure if this is just a part of depression or f its entrely something different.","I've done some thinking as to why I may feel depressed, how one thing that stood out is the ways that I'm always looking for new things in my life to poke some kind of hole i need

this have become destructive though, as I will eat a lot just fo he sake of eating because nothng feels good and diffeent fr feeling g depressed, or stop just by random crap just because it is new

and the this gs I used d like to do, like programming or reading, I just don' find a fun anymoe

I'm not sure if this is just a part of depression or f its entrely something different.","I've done some thinking as to why I may feel depressed, and one thing that stood out is the fact that I'm always looking for new things in my life to fill some kind of hole or need

this has become destructive though, as I will eat a lot just for the sake of eating because it feels good and different from feeling g depressed, or I'll just by random crap just because it is new

and the this gs I used to like to do, like programming or reading, I just don't find as fun anymore

I'm not sure if this is just a part of depression or if its entirely something different.",nlp_cwe_sub_roberta+ta_char_rand_del,DEPRESSED_MOOD,1,s_1808_2_2
i Will di,i Will di,i wanna die,nlp_cwe_sub_roberta+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_41_1224_0
i Wil die,i Wil die,i wanna die,nlp_cwe_sub_roberta+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_41_1224_0
