post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I have t0 go to college alone without my family or any support Im gonna end up killing myself. .. . Im barely keeping my se1f alive now, I can ' t imaine eing all by myself and delin9 with my thoughts ad em0tions!","I 100% know that if I have t0 go to college alone without my family or any support Im gonna end up killing myself. .. . Im barely keeping my se1f alive now, I can ' t imaine eing all by myself and delin9 with my thoughts ad em0tions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"It wa8 only later aftek my second boyfkiend, I realized I cannut fee1 sexual attrction (f I have, it was veky temporary ), and that I am pkobably asexoal due to the fact that I just get disgusted with myself when i comes to he sex part.","It wa8 only later aftek my second boyfkiend, I realized I cannut fee1 sexual attrction (f I have, it was veky temporary ), and that I am pkobably asexoal due to the fact that I just get disgusted with myself when i comes to he sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"I ' ve been lire this fur a long tim now wherein 1 sleep at around 9 or 10pm, hoping to wake up eakly i the morning at around 7 - 5pm, then ll of a sudden I wake up at 1z r 2am in the m0rning feeling groggy and now I ant get back bed.","I ' ve been lire this fur a long tim now wherein 1 sleep at around 9 or 10pm, hoping to wake up eakly i the morning at around 7 - 5pm, then ll of a sudden I wake up at 1z r 2am in the m0rning feeling groggy and now I ant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_ocr+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I ' ve been lire this fur a lng time now whrein 1 sleep at around 9 or 10pm, hoping to wake up eakly in the morning at around 7 - 5pm, then all of a suden I wake up at 1z or 2am in the m0rning feeling groggy ad no I cant get back bed.","I ' ve been lire this fur a lng time now whrein 1 sleep at around 9 or 10pm, hoping to wake up eakly in the morning at around 7 - 5pm, then all of a suden I wake up at 1z or 2am in the m0rning feeling groggy ad no I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_ocr+ta_char_rand_del,SLEEP_ISSUES,1,s_852_229_1
"I was able to experience novelty and juy even if I did sill fel lonel / depressed and would self hakm, I had h abi1ity to enjoy and feel like the real me - now a1l that8 gone and Ive just gotten buried int0 a depressive hole where everyday is lived robotically or ghostly.","I was able to experience novelty and juy even if I did sill fel lonel / depressed and would self hakm, I had h abi1ity to enjoy and feel like the real me - now a1l that8 gone and Ive just gotten buried int0 a depressive hole where everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_ocr+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
"Masturbating right before and also during s1eep I feel like it8 affecting my sleep qoality If I wake up tired in the moring when 1 should o bacr to s1eep, instead I start masturbating which also afects how moch rst I get.","Masturbating right before and also during s1eep I feel like it8 affecting my sleep qoality If I wake up tired in the moring when 1 should o bacr to s1eep, instead I start masturbating which also afects how moch rst I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_ocr+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during s1eep I feel like it8 affecting my sleep qoality If I wake up tired in the morning when 1 shold go bacr to 1ep, instead I start masturbating hich also affects how moch rest I get.","Masturbating right before and also during s1eep I feel like it8 affecting my sleep qoality If I wake up tired in the morning when 1 shold go bacr to 1ep, instead I start masturbating hich also affects how moch rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_ocr+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"I work from hume, and I don ' t sleep we1l for the must part (1 hav inomnia and completely rely on sleep aids, and they tend not to give you a good ight ' s kest, which results in fatigue a few hours aftek waking up ), so a some poit during the dy, I usually get a little tired and have the urge to jus crawl into bed and finish y work later (which I could do, but staying awake and doing it right then would 6e better ).","I work from hume, and I don ' t sleep we1l for the must part (1 hav inomnia and completely rely on sleep aids, and they tend not to give you a good ight ' s kest, which results in fatigue a few hours aftek waking up ), so a some poit during the dy, I usually get a little tired and have the urge to jus crawl into bed and finish y work later (which I could do, but staying awake and doing it right then would 6e better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_ocr+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"I work from h0me, and I don ' t sleep well for the ot part (I have insomnia and completely rely n sleep aids, and they tend not to give you a good night ' s rest, which results in fatigue a few hours aftek waking up ), so at sme puint uring the day, I usually get a little tired and have the urge to just craw1 ino bed and fini8h my work later (which I could do, but staying awae and doing i right then would be better ).","I work from h0me, and I don ' t sleep well for the ot part (I have insomnia and completely rely n sleep aids, and they tend not to give you a good night ' s rest, which results in fatigue a few hours aftek waking up ), so at sme puint uring the day, I usually get a little tired and have the urge to just craw1 ino bed and fini8h my work later (which I could do, but staying awae and doing i right then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_ocr+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"So here is the case. . 1t ' s been nearly 4 years, 8ince i really don ' t feel like my8elf. . I am still interested n activities that interested me before, 6ut my emotions ae so weak an i am mch less sensitive to particular things / people.","So here is the case. . 1t ' s been nearly 4 years, 8ince i really don ' t feel like my8elf. . I am still interested n activities that interested me before, 6ut my emotions ae so weak an i am mch less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_ocr+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here s the case. . 1t ' s been neary 4 years, 8ince i really don ' t feel like my8elf. . I am still interested in activities that interested me before, 6u my emotions ae so weak and i am much less sensitive to particular things / people.","So here s the case. . 1t ' s been neary 4 years, 8ince i really don ' t feel like my8elf. . I am still interested in activities that interested me before, 6u my emotions ae so weak and i am much less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_ocr+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here is the case. . 1t ' s been nearly 4 years, 8ince i really don ' t feel like my8elf. . I am still interested n activities that interested me before, 6ut my emotions ae so weak an i am mch less sensitive to particular things / people.","So here is the case. . 1t ' s been nearly 4 years, 8ince i really don ' t feel like my8elf. . I am still interested n activities that interested me before, 6ut my emotions ae so weak an i am mch less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_ocr+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"So here s the case. . 1t ' s been neary 4 years, 8ince i really don ' t feel like my8elf. . I am still interested in activities that interested me before, 6u my emotions ae so weak and i am much less sensitive to particular things / people.","So here s the case. . 1t ' s been neary 4 years, 8ince i really don ' t feel like my8elf. . I am still interested in activities that interested me before, 6u my emotions ae so weak and i am much less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_ocr+ta_char_rand_del,ANHEDONIA,1,s_1127_16_1
"I really don ' t want to die, but I crave for the world to be a much beter place, I crave for a sort uf life whre I feel in cntrol fok onc, a life where 1 don ' t feel like 1 ' m bein9 led like a horse.","I really don ' t want to die, but I crave for the world to be a much beter place, I crave for a sort uf life whre I feel in cntrol fok onc, a life where 1 don ' t feel like 1 ' m bein9 led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_ocr+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It has been a rough school year for m with a lot of changes that brought me to the point of uncontrolla6le crying for tw0 day8 in a row, migraies, moscle tension, and an inability t0 really get any work doe with my studet8.","It has been a rough school year for m with a lot of changes that brought me to the point of uncontrolla6le crying for tw0 day8 in a row, migraies, moscle tension, and an inability t0 really get any work doe with my studet8.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_ocr+ta_char_rand_del,SPECIAL_CASE,1,s_1190_67_2
"I has been a rough school yeak for me wit a lot of changes that brough me tu the point of uncontrollable crying f0r two days in a kow, migkaines, muscle tesion, and an inability to really 9et any work done with my students.","I has been a rough school yeak for me wit a lot of changes that brough me tu the point of uncontrollable crying f0r two days in a kow, migkaines, muscle tesion, and an inability to really 9et any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_ocr+ta_char_rand_del,SPECIAL_CASE,1,s_1190_67_2
"I have atrocious self - esteem (it ' s 9etting better, and 1 ' ll tl1 you hy ), and frequently would go out with y frieds and return home feeling like 8hit 6ecause of all the stupid things I ' ve said or done.","I have atrocious self - esteem (it ' s 9etting better, and 1 ' ll tl1 you hy ), and frequently would go out with y frieds and return home feeling like 8hit 6ecause of all the stupid things I ' ve said or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_ocr+ta_char_rand_del,WORTHLESSNESS,1,s_2986_448_1
"I have atrocious self - esteem (it ' s 9etting better, and 1 ' ll tl1 you hy ), and frequently would go out with y frieds and return home feeling like 8hit 6ecause of all the stupid things I ' ve said or done.","I have atrocious self - esteem (it ' s 9etting better, and 1 ' ll tl1 you hy ), and frequently would go out with y frieds and return home feeling like 8hit 6ecause of all the stupid things I ' ve said or done.","I have atrocious self-esteem (it's getting better, and I'll tell you why), and frequently would go out with my friends and return home feeling like shit because of all the stupid things I've said or done.",nlp_ocr+ta_char_rand_del,WORTHLESSNESS,1,s_2986_448_1
I don ' t have a passion for anything I lost interest in mot things about the a9e of 40 (idk hat happened to me maybe some event or oe of my childhood operations something gone wr0ng) afer lo8ing it at 10; my time became occupied with philoophy and just wasting time mindlessly ok un intellectua1 things like science nd math.,I don ' t have a passion for anything I lost interest in mot things about the a9e of 40 (idk hat happened to me maybe some event or oe of my childhood operations something gone wr0ng) afer lo8ing it at 10; my time became occupied with philoophy and just wasting time mindlessly ok un intellectua1 things like science nd math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_ocr+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
I don ' t have a passion for anything I lost interest in mot things about the a9e of 40 (idk hat happened to me maybe some event or oe of my childhood operations something gone wr0ng) afer lo8ing it at 10; my time became occupied with philoophy and just wasting time mindlessly ok un intellectua1 things like science nd math.,I don ' t have a passion for anything I lost interest in mot things about the a9e of 40 (idk hat happened to me maybe some event or oe of my childhood operations something gone wr0ng) afer lo8ing it at 10; my time became occupied with philoophy and just wasting time mindlessly ok un intellectua1 things like science nd math.,I don't have a passion for anything I lost interest in most things about the age of 10 (idk what happened to me maybe some event or one of my childhood operations something gone wrong) after losing it at 10; my time became occupied with philosophy and just wasting time mindlessly or on intellectual things like science and math.,nlp_ocr+ta_char_rand_del,ANHEDONIA,1,s_212_394_1
"It ' 8 basically a constant knowledge, that I ' m worthles, 1 ' m stupid, I ' m unlovable, nobody ever has or ever will love me, everything I do i8 wrong, I ' m a bad hoan bing and I need tu be dead right nu.","It ' 8 basically a constant knowledge, that I ' m worthles, 1 ' m stupid, I ' m unlovable, nobody ever has or ever will love me, everything I do i8 wrong, I ' m a bad hoan bing and I need tu be dead right nu.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",nlp_ocr+ta_char_rand_del,WORTHLESSNESS,1,s_1483_222_18
"Occasionally I ' ve taken 25 / 5mg to get t0 sleep at ni9ht but I ' ve definite1y never experienced anything on it before ther than getting drowsy. .. so, like twenty minutes later I ' m getting in be, and I turn un this white noi8e ten hour youtube video I sometimes use t help me slep.","Occasionally I ' ve taken 25 / 5mg to get t0 sleep at ni9ht but I ' ve definite1y never experienced anything on it before ther than getting drowsy. .. so, like twenty minutes later I ' m getting in be, and I turn un this white noi8e ten hour youtube video I sometimes use t help me slep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",nlp_ocr+ta_char_rand_del,SLEEP_ISSUES,1,s_1965_10_8
