post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel _ popressed.,I feel _ popressed.,I feel so oppressed.,nlp_randword_sub+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
I feel _ oppresesd.,I feel _ oppresesd.,I feel so oppressed.,nlp_randword_sub+ta_char_neighbor,WORTHLESSNESS,0,s_1955_1069_2
"_ 100% know that if I have ot go ot college alone _ my family or any _ Im gonna end _ killing myself. .. . Im barely keepign my self alive now, I _ ' t imagine being all by myself and delaing with my thoughts and emotions!","_ 100% know that if I have ot go ot college alone _ my family or any _ Im gonna end _ killing myself. .. . Im barely keepign my self alive now, I _ ' t imagine being all by myself and delaing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_sub+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_156_366_1
I _ stpo crying.,I _ stpo crying.,I cant stop crying.,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
_ cant tsop crying.,_ cant tsop crying.,I cant stop crying.,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_2334_738_1
I dno ' t like _.,I dno ' t like _.,I don't like me.,nlp_randword_sub+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
I don ' t liek _.,I don ' t liek _.,I don't like me.,nlp_randword_sub+ta_char_neighbor,WORTHLESSNESS,1,s_2415_816_5
Im _ tired oS,Im _ tired oS,Im generally tired So,nlp_randword_sub+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
Im generalyl tired _,Im generalyl tired _,Im generally tired So,nlp_randword_sub+ta_char_neighbor,FATIGUE,1,s_2007_1467_0
I ' _ cride.,I ' _ cride.,I've cried.,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I ' _ cired.,I ' _ cired.,I've cried.,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_145_86_2
I began ot _.,I began ot _.,I began to cry.,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
I began _ cyr.,I began _ cyr.,I began to cry.,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_2815_1660_107
Imma go _ msyelf now,Imma go _ msyelf now,Imma go kill myself now,nlp_randword_sub+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2638_683_0
Imma go ikll _ now,Imma go ikll _ now,Imma go kill myself now,nlp_randword_sub+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2638_683_0
_ ahrdly sleep.,_ ahrdly sleep.,I hardly sleep.,nlp_randword_sub+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I hardyl _.,I hardyl _.,I hardly sleep.,nlp_randword_sub+ta_char_neighbor,SLEEP_ISSUES,1,s_697_81_3
I ma _ sad.,I ma _ sad.,I am very sad.,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I am _ sda.,I am _ sda.,I am very sad.,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,0,s_411_1189_1
I _ knida really sad,I _ knida really sad,I feel kinda really sad,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_962_142_0
I _ kidna really sad,I _ kidna really sad,I feel kinda really sad,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,1,s_962_142_0
"I ' ve been like this for a long time now _ I sleep _ around 9 or 10pm, _ to wake up early ni the _ ta around 7 - 8pm, then all of a sudden I wake up at 12 or 2am ni the morning feeling groggy and nwo I cant get back _.","I ' ve been like this for a long time now _ I sleep _ around 9 or 10pm, _ to wake up early ni the _ ta around 7 - 8pm, then all of a sudden I wake up at 12 or 2am ni the morning feeling groggy and nwo I cant get back _.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_sub+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
"I ' _ been like this for a long itme now wherein I sleep at around 9 or 10pm, hoping _ wake _ early in the morning ta aroudn _ - 8pm, then all of a sudden I wake up ta 12 or 2am in _ morning feeling groggy and now I cant get back bed.","I ' _ been like this for a long itme now wherein I sleep at around 9 or 10pm, hoping _ wake _ early in the morning ta aroudn _ - 8pm, then all of a sudden I wake up ta 12 or 2am in _ morning feeling groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_sub+ta_char_neighbor,SLEEP_ISSUES,1,s_852_229_1
mI _ tired,mI _ tired,Im so tired,nlp_randword_sub+ta_char_neighbor,FATIGUE,1,s_2434_365_0
mI so _,mI so _,Im so tired,nlp_randword_sub+ta_char_neighbor,FATIGUE,1,s_2434_365_0
This hda _ crying,This hda _ crying,This had me crying,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
This ahd _ crying,This ahd _ crying,This had me crying,nlp_randword_sub+ta_char_neighbor,DEPRESSED_MOOD,0,s_2464_412_0
I _ to dei,I _ to dei,I want to die,nlp_randword_sub+ta_char_neighbor,SUICIDAL_THOUGHTS,1,s_2118_413_1
