post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% knouw th*at if I have to go to collKege Halone without Py fCamily or any suppoat Im gonna eRd up killiAng myself. .. . Im ba&rely keeping my sel1f alive now, I can ' t imagine being all by myself and dzealing with my thou$ghts and emotiKns!","I 100% knouw th*at if I have to go to collKege Halone without Py fCamily or any suppoat Im gonna eRd up killiAng myself. .. . Im ba&rely keeping my sel1f alive now, I can ' t imagine being all by myself and dzealing with my thou$ghts and emotiKns!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% knouw th*at if I have to go to collKege Halone without my fCamily or ans support Lm gonna lnd up killiAng myselh. .. . Im ba&rely keeping my sel1f alive now, I can ' t imagine being all by myself and dzealing with my thou$ghts and emotions!","I 100% knouw th*at if I have to go to collKege Halone without my fCamily or ans support Lm gonna lnd up killiAng myselh. .. . Im ba&rely keeping my sel1f alive now, I can ' t imagine being all by myself and dzealing with my thou$ghts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randchar_ins+ta_char_rand_swap,SUICIDAL_THOUGHTS,1,s_156_366_1
"It wIs only later amfter my seZond boyfriend, I realized I 5cannot feevl sexual 2attraction (if I hlve, it was very temporary ), and tchat I am pr5obably Xasexual due to tht fhact that I just get disBgusted with myself wh_en it comes to the sex part.","It wIs only later amfter my seZond boyfriend, I realized I 5cannot feevl sexual 2attraction (if I hlve, it was very temporary ), and tchat I am pr5obably Xasexual due to tht fhact that I just get disBgusted with myself wh_en it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_ins+ta_char_rand_swap,ANHEDONIA,0,s_716_26_15
I don ' t lik5e Ne.,I don ' t lik5e Ne.,I don't like me.,nlp_randchar_ins+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I doC ' t lik5e me.,I doC ' t lik5e me.,I don't like me.,nlp_randchar_ins+ta_char_rand_swap,WORTHLESSNESS,1,s_2415_816_5
I ' ve cJWied.,I ' ve cJWied.,I've cried.,nlp_randchar_ins+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I ' Ee crpied.,I ' Ee crpied.,I've cried.,nlp_randchar_ins+ta_char_rand_swap,DEPRESSED_MOOD,1,s_145_86_2
I harEdly sleeQp.,I harEdly sleeQp.,I hardly sleep.,nlp_randchar_ins+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
I harEdly slDeRp.,I harEdly slDeRp.,I hardly sleep.,nlp_randchar_ins+ta_char_rand_swap,SLEEP_ISSUES,1,s_697_81_3
"I was just feelPing like shiMt, so I didvn ' t eat fMr a Lhile, avd thVen onTce a 6week pass3ed and I was feeling OK 5again, I was waiting for the "" I ' m hungry "" (signal abgain to eat, but it never came.","I was just feelPing like shiMt, so I didvn ' t eat fMr a Lhile, avd thVen onTce a 6week pass3ed and I was feeling OK 5again, I was waiting for the "" I ' m hungry "" (signal abgain to eat, but it never came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_randchar_ins+ta_char_rand_swap,APPETITE_CHANGE,1,s_1294_205_1
