post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"It was o$nly later apfter my seecond boyfriEend, I reallized I cannot &feel sexual attraction (if I have, it waa very temporary ), and that I am prHobably asexual dhe to the fzct _that I just get disgusted with my8self rwhen it comes to the sex part.","It was o$nly later apfter my seecond boyfriEend, I reallized I cannot &feel sexual attraction (if I have, it waa very temporary ), and that I am prHobably asexual dhe to the fzct _that I just get disgusted with my8self rwhen it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_ins+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
"It was onaly later af@ter my seco)nd boydriend, I realized I cxannot fee9l sexual attraction (if I hAavd, it was very temBporary ), and Ythat I am p1robabpy asexual due to thd fact that I jusmt get disgusted with myself when it comes to the sex part.","It was onaly later af@ter my seco)nd boydriend, I realized I cxannot fee9l sexual attraction (if I hAavd, it was very temBporary ), and Ythat I am p1robabpy asexual due to thd fact that I jusmt get disgusted with myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randchar_ins+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
I don ' t likLs me.,I don ' t likLs me.,I don't like me.,nlp_randchar_ins+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I don ' t ligke ms.,I don ' t ligke ms.,I don't like me.,nlp_randchar_ins+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I ' ve crTked.,I ' ve crTked.,I've cried.,nlp_randchar_ins+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I ' ve cfi@ed.,I ' ve cfi@ed.,I've cried.,nlp_randchar_ins+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I haexdly sl0eep.,I haexdly sl0eep.,I hardly sleep.,nlp_randchar_ins+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
I harxdly zl0eep.,I harxdly zl0eep.,I hardly sleep.,nlp_randchar_ins+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_697_81_3
"I was juNst feelin7g like shit, so I dicdn ' t eat for a pwhile, and thTen once a week 9passed and I was feeliXng OK again, I was aaiting gor the "" I ' m hPungry "" signal agDain to eat, gut it never 6camd.","I was juNst feelin7g like shit, so I dicdn ' t eat for a pwhile, and thTen once a week 9passed and I was feeliXng OK again, I was aaiting gor the "" I ' m hPungry "" signal agDain to eat, gut it never 6camd.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_randchar_ins+ta_wordswap_qwerty,APPETITE_CHANGE,1,s_1294_205_1
"I ' ve been likVe 8this flr a lOong timie now wherein I suleep ay around 9 or 10pm, hsopkng to waRke up ear8ly in the morning at around 7 - 8pm, then all of a sudden I wake up wt 12 ot 2am in the morning feeli^ng groggy and now I 1cant get back bed.","I ' ve been likVe 8this flr a lOong timie now wherein I suleep ay around 9 or 10pm, hsopkng to waRke up ear8ly in the morning at around 7 - 8pm, then all of a sudden I wake up wt 12 ot 2am in the morning feeli^ng groggy and now I 1cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randchar_ins+ta_wordswap_qwerty,SLEEP_ISSUES,1,s_852_229_1
