post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I feel Bo spirit oppressed.,I feel Bo spirit oppressed.,I feel so oppressed.,ta_char_rand_swap+ta_word_insert_syn,WORTHLESSNESS,0,s_1955_1069_2
thus I feJl so oppressed.,thus I feJl so oppressed.,I feel so oppressed.,ta_char_rand_swap+ta_word_insert_syn,WORTHLESSNESS,0,s_1955_1069_2
"I 100% knoT thot if I have to go to college alone without my famiUy or any support sustain Im gonna end active up killinL myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!","I 100% knoT thot if I have to go to college alone without my famiUy or any support sustain Im gonna end active up killinL myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% knoT thot if I have to go to college own alone without my famiUy or any support Im gonna retention end up killinL myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!","I 100% knoT thot if I have to go to college own alone without my famiUy or any support Im gonna retention end up killinL myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_swap+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant ace stop cryiMg.,I cant ace stop cryiMg.,I cant stop crying.,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2334_738_1
I caIt one stop crying.,I caIt one stop crying.,I cant stop crying.,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2334_738_1
I iodin don't lKke me.,I iodin don't lKke me.,I don't like me.,ta_char_rand_swap+ta_word_insert_syn,WORTHLESSNESS,1,s_2415_816_5
I don't unity like fe.,I don't unity like fe.,I don't like me.,ta_char_rand_swap+ta_word_insert_syn,WORTHLESSNESS,1,s_2415_816_5
s've exclaim cried.,s've exclaim cried.,I've cried.,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,1,s_145_86_2
scream s've cried.,scream s've cried.,I've cried.,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,1,s_145_86_2
start I began yo cry.,start I began yo cry.,I began to cry.,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2815_1660_107
I began start tb cry.,I began start tb cry.,I began to cry.,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2815_1660_107
I ane hardly nleep.,I ane hardly nleep.,I hardly sleep.,ta_char_rand_swap+ta_word_insert_syn,SLEEP_ISSUES,1,s_697_81_3
I slumber harUly sleep.,I slumber harUly sleep.,I hardly sleep.,ta_char_rand_swap+ta_word_insert_syn,SLEEP_ISSUES,1,s_697_81_3
I comprise am veny sad.,I comprise am veny sad.,I am very sad.,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,0,s_411_1189_1
I aG really very sad.,I aG really very sad.,I am very sad.,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,0,s_411_1189_1
Im sap To tired,Im sap To tired,Im so tired,ta_char_rand_swap+ta_word_insert_syn,FATIGUE,1,s_2434_365_0
Im thus so tfred,Im thus so tfred,Im so tired,ta_char_rand_swap+ta_word_insert_syn,FATIGUE,1,s_2434_365_0
This had instant mS crying,This had instant mS crying,This had me crying,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,0,s_2464_412_0
This outcry had Ke crying,This outcry had Ke crying,This had me crying,ta_char_rand_swap+ta_word_insert_syn,DEPRESSED_MOOD,0,s_2464_412_0
decease I waDt to die,decease I waDt to die,I want to die,ta_char_rand_swap+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_2118_413_1
croak I waDt to die,croak I waDt to die,I want to die,ta_char_rand_swap+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_2118_413_1
suffer I lost Fy libido.,suffer I lost Fy libido.,I lost my libido.,ta_char_rand_swap+ta_word_insert_syn,ANHEDONIA,1,s_2904_522_5
I befuddled lost my libiTo.,I befuddled lost my libiTo.,I lost my libido.,ta_char_rand_swap+ta_word_insert_syn,ANHEDONIA,1,s_2904_522_5
I am beiWg torment tortured.,I am beiWg torment tortured.,I am being tortured.,ta_char_rand_swap+ta_word_insert_syn,WORTHLESSNESS,0,s_1351_120_5
cost I am beiWg tortured.,cost I am beiWg tortured.,I am being tortured.,ta_char_rand_swap+ta_word_insert_syn,WORTHLESSNESS,0,s_1351_120_5
"I was able to experience novelty anS joy tven if I did stilf feel lonely/ demoralise joyousness depressed amd would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressivc hole where everyday is lived robotically or axerophthol ghostly.","I was able to experience novelty anS joy tven if I did stilf feel lonely/ demoralise joyousness depressed amd would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressivc hole where everyday is lived robotically or axerophthol ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_swap+ta_word_insert_syn,ANHEDONIA,1,s_258_546_2
"I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , stillness I haN the ability capable very to enjoy and feel like the real se - now alD thats goge and Ive just gotten buried into a depressive hole where everyday is lived robotScally or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , stillness I haN the ability capable very to enjoy and feel like the real se - now alD thats goge and Ive just gotten buried into a depressive hole where everyday is lived robotScally or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_swap+ta_word_insert_syn,ANHEDONIA,1,s_258_546_2
"Masturbating right before and also during sleep I feel likQ its affecting my sleep quality experience If I wake up tired in the morning when I should Fo back kip to sleep, instead I start masturbating which also afvects how mucB rest I get.","Masturbating right before and also during sleep I feel likQ its affecting my sleep quality experience If I wake up tired in the morning when I should Fo back kip to sleep, instead I start masturbating which also afvects how mucB rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_swap+ta_word_insert_syn,SLEEP_ISSUES,1,s_1404_1455_0
