post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I suppress feel os oppressed.,I suppress feel os oppressed.,I feel so oppressed.,ta_char_neighbor+ta_word_insert_syn,WORTHLESSNESS,0,s_1955_1069_2
I feel oppress os oppressed.,I feel oppress os oppressed.,I feel so oppressed.,ta_char_neighbor+ta_word_insert_syn,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know taht if I have to go to college alone just without my away family or any spuport Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself adn dealnig with my thoughts and emotions!","I 100% know taht if I have to go to college alone just without my away family or any spuport Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself adn dealnig with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_neighbor+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know taht if I have cognise to go to college alone without my family or any spuport Im gonna end up killing myself....Im barely keeping my self alive now, opine I can't imagine being all by myself adn dealnig with my thoughts and emotions!","I 100% know taht if I have cognise to go to college alone without my family or any spuport Im gonna end up killing myself....Im barely keeping my self alive now, opine I can't imagine being all by myself adn dealnig with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_neighbor+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_156_366_1
I cnat stop unity crying.,I cnat stop unity crying.,I cant stop crying.,ta_char_neighbor+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2334_738_1
I cant iodin stop crynig.,I cant iodin stop crynig.,I cant stop crying.,ta_char_neighbor+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2334_738_1
I don't like i em.,I don't like i em.,I don't like me.,ta_char_neighbor+ta_word_insert_syn,WORTHLESSNESS,1,s_2415_816_5
I don't like pica em.,I don't like pica em.,I don't like me.,ta_char_neighbor+ta_word_insert_syn,WORTHLESSNESS,1,s_2415_816_5
'Ive cry cried.,'Ive cry cried.,I've cried.,ta_char_neighbor+ta_word_insert_syn,DEPRESSED_MOOD,1,s_145_86_2
I'ev holler cried.,I'ev holler cried.,I've cried.,ta_char_neighbor+ta_word_insert_syn,DEPRESSED_MOOD,1,s_145_86_2
