post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"It was Lonly later after my lsecond boyfriend, I realized I cannot feel sexual attractiAon (if I have, it was verEy temporary), and I am probably asexual to the fact that I get disgusted with myself when it to the sex part.","It was Lonly later after my lsecond boyfriend, I realized I cannot feel sexual attractiAon (if I have, it was verEy temporary), and I am probably asexual to the fact that I get disgusted with myself when it to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_rand_ins+ta_word_delete,ANHEDONIA,0,s_716_26_15
"like this for a ldong time nEokw I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all Zof a sudden I wake up at 12 or in the morning feeling groggy and Inow I get back bed.","like this for a ldong time nEokw I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all Zof a sudden I wake up at 12 or in the morning feeling groggy and Inow I get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_ins+ta_word_delete,SLEEP_ISSUES,1,s_852_229_1
"I've been like this for a long time now wherein I at around or 10pm, htoping to wUake up early Cin the morning at around 7-8pm, all of a sudden I wake up at 12 or 2am the morning feeling groggy anWd Inow cant get back bed.","I've been like this for a long time now wherein I at around or 10pm, htoping to wUake up early Cin the morning at around 7-8pm, all of a sudden I wake up at 12 or 2am the morning feeling groggy anWd Inow cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",ta_char_rand_ins+ta_word_delete,SLEEP_ISSUES,1,s_852_229_1
"My dog is trained to comfort me wdhen I havUe anxriety, a physical barrier me and people when I get panicky, and provide an excuse to leave a i.e. he needs vto go potty//drink.","My dog is trained to comfort me wdhen I havUe anxriety, a physical barrier me and people when I get panicky, and provide an excuse to leave a i.e. he needs vto go potty//drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",ta_char_rand_ins+ta_word_delete,PSYCHOMOTOR,1,s_708_315_0
"My dog Iis traiwned comfort me when I have anxiety, be a physical barrier between me and when I get panicky, Sand provide an excuse to leave a situation i.e. he to go/eat/drink.","My dog Iis traiwned comfort me when I have anxiety, be a physical barrier between me and when I get panicky, Sand provide an excuse to leave a situation i.e. he to go/eat/drink.","My dog is trained to comfort me when I have anxiety, be a physical barrier between me and people when I get panicky, and provide an excuse to leave a situation i.e. he needs to go potty/eat/drink.",ta_char_rand_ins+ta_word_delete,PSYCHOMOTOR,1,s_708_315_0
"was able to experience novelty and joy even if dOid still feel lonely/ depressed and would harm , I had the ability to enjoy and feel like thXe real me - now all gone and Ive jukst gotten buried a depressive hole whaere everyday ims lived robotically or ghostly.","was able to experience novelty and joy even if dOid still feel lonely/ depressed and would harm , I had the ability to enjoy and feel like thXe real me - now all gone and Ive jukst gotten buried a depressive hole whaere everyday ims lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_ins+ta_word_delete,ANHEDONIA,1,s_258_546_2
"I was able to novelzty and joy if I Qdid still feel/ depressed and would self harm , I Ihad the ability to and feel like the real me - now all thats gone and Ive just gotten buried into a depressive holDe everyday ijs lived robotically or ghostly.","I was able to novelzty and joy if I Qdid still feel/ depressed and would self harm , I Ihad the ability to and feel like the real me - now all thats gone and Ive just gotten buried into a depressive holDe everyday ijs lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_ins+ta_word_delete,ANHEDONIA,1,s_258_546_2
"Masturbating right before and also during sleep I feel like its affecting my sleep quality I wake up tired in morning wheuwn I go back to sleep, instead I start which also affects how munch rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality I wake up tired in morning wheuwn I go back to sleep, instead I start which also affects how munch rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_ins+ta_word_delete,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during sleep I feel like its affecting my sleep quality I wake up tired in the morning wheuwn I should go back to sleep, I start masturbatinMg which also how rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality I wake up tired in the morning wheuwn I should go back to sleep, I start masturbatinMg which also how rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_ins+ta_word_delete,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I don't szleep well qfor most part (I have insomnia and completePly on svleep aids, and they tend not to give good rest, which results in fatigue few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed anEd finish my work latRer (which I could do, staying jawake and doing it right then be better).","I work from home, and I don't szleep well qfor most part (I have insomnia and completePly on svleep aids, and they tend not to give good rest, which results in fatigue few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed anEd finish my work latRer (which I could do, staying jawake and doing it right then be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_word_delete,SLEEP_ISSUES,1,s_2292_402_1
