post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I was just feeling like shit, so I didn ' t eat for a while, and and so once a wek make pass and I was eel OK again, I as waiting for the "" I ' m hungry "" signaling again to eat, but informatin technology never came.","I was just feeling like shit, so I didn ' t eat for a while, and and so once a wek make pass and I was eel OK again, I as waiting for the "" I ' m hungry "" signaling again to eat, but informatin technology never came.","I was just feeling like shit, so I didn't eat for a while, and then once a week passed and I was feeling OK again, I was waiting for the ""I'm hungry"" signal again to eat, but it never came.",nlp_wordnet_insert+ta_char_rand_del,APPETITE_CHANGE,1,s_1294_205_1
"I sleep at nighttime like most people do, and Iodine sleep periodically during the ay because it ' s the only elbow roo I know to escape the inevitable depression and anxiety I go through with at ll times.","I sleep at nighttime like most people do, and Iodine sleep periodically during the ay because it ' s the only elbow roo I know to escape the inevitable depression and anxiety I go through with at ll times.","I sleep at night like most people do, and I sleep periodically during the day because it's the only way I know to escape the inevitable depression and anxiety I go through at all times.",nlp_wordnet_insert+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_195_42
"I was able to experience novelty and jo even if Iodin did still feel lonel / demoralize and would self harm, I had the ability to enjoy ad feel like the real me - now all thats gone and Ive just gotten uried ito a depressive hole where everyday is lived robotically or ghostly.","I was able to experience novelty and jo even if Iodin did still feel lonel / demoralize and would self harm, I had the ability to enjoy ad feel like the real me - now all thats gone and Ive just gotten uried ito a depressive hole where everyday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_wordnet_insert+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
"I was able to experience novelty and joy even if Iodin did still feel loney / demoralize and would self harm, I had the ability to enjoy and feel like the rel me - now all thats gone and Ive just gotten buried into a depressive hole where everyday s lved robotcally or ghostly.","I was able to experience novelty and joy even if Iodin did still feel loney / demoralize and would self harm, I had the ability to enjoy and feel like the rel me - now all thats gone and Ive just gotten buried into a depressive hole where everyday s lved robotcally or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_wordnet_insert+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
Atomic number 53 ' ve actually started adding a regulation where I wont sleep past 10am on Sundays because otherwise I can ' t get to slep before midnight Sunday night which fucs my sleep before ork on Monday.,Atomic number 53 ' ve actually started adding a regulation where I wont sleep past 10am on Sundays because otherwise I can ' t get to slep before midnight Sunday night which fucs my sleep before ork on Monday.,I've actually started adding a rule where I wont sleep past 10am on Sundays because otherwise I can't get to sleep before midnight Sunday night which fucks my sleep before work on Monday.,nlp_wordnet_insert+ta_char_rand_del,SLEEP_ISSUES,0,s_2460_874_3
"Masturbating right before and also during sleep I feel lik it strike my leep quality If I awaken up tired in the orning when I shoud go back to sleep, instead I start masturbating which also affects how much rest Ace get.","Masturbating right before and also during sleep I feel lik it strike my leep quality If I awaken up tired in the orning when I shoud go back to sleep, instead I start masturbating which also affects how much rest Ace get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_wordnet_insert+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during sleep I feel like i strike m sleep quality I I awaken up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest Ace ge.","Masturbating right before and also during sleep I feel like i strike m sleep quality I I awaken up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest Ace ge.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_wordnet_insert+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I get into ' t sleep well for the most par (I have insomia and completely rely on sleep aids, and they tend not to give you a good nox ' s rest, which rsults in ftigue a few hors after waking up ), so t some point during the twenty four hour period, I commonly get a little tired and have the rge to just crawl into bed and finis my work later (which I could do, merely staying awake and doing it right and then would b better ).","I work from home, and I get into ' t sleep well for the most par (I have insomia and completely rely on sleep aids, and they tend not to give you a good nox ' s rest, which rsults in ftigue a few hors after waking up ), so t some point during the twenty four hour period, I commonly get a little tired and have the rge to just crawl into bed and finis my work later (which I could do, merely staying awake and doing it right and then would b better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_wordnet_insert+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I get into ' t sleep wel or the most part (I have insomia and completely rely n sleep aids, and they ted not to give you a good no ' s rest, which results in fatigue a few hours after waking up ), so at some point during the twenty four hour period, I commonly get a little tired and have the urge to just crawl into be and finish m work later (which I could do, merely stayng awake and doing it right and then would be better ).","I work from home, and I get into ' t sleep wel or the most part (I have insomia and completely rely n sleep aids, and they ted not to give you a good no ' s rest, which results in fatigue a few hours after waking up ), so at some point during the twenty four hour period, I commonly get a little tired and have the urge to just crawl into be and finish m work later (which I could do, merely stayng awake and doing it right and then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_wordnet_insert+ta_char_rand_del,SLEEP_ISSUES,1,s_2292_402_1
"1 really don ' t want to die, but I crave for the world to cost a much better shoes, I crave for a ort of life where I finger n control fr once, a life where I don ' t feel like I ' m bing led like a horse.","1 really don ' t want to die, but I crave for the world to cost a much better shoes, I crave for a ort of life where I finger n control fr once, a life where I don ' t feel like I ' m bing led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_wordnet_insert+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_1738_193_5
