post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I ceel so popressed.,I ceel so popressed.,I feel so oppressed.,ta_char_neighbor+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I efel so oporessed.,I efel so oporessed.,I feel so oppressed.,ta_char_neighbor+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to bo to college alone without my family or any support mI gonna end up killing myself....Im barely keeping ny self alive now, I can't umagine being all yb myself and dealing with ym thoughgs and emotinos!","I 100% know that if I have to bo to college alone without my family or any support mI gonna end up killing myself....Im barely keeping ny self alive now, I can't umagine being all yb myself and dealing with ym thoughgs and emotinos!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_neighbor+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I cant stpo cruing.,I cant stpo cruing.,I cant stop crying.,ta_char_neighbor+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I cant stpi crying.,I cant stpi crying.,I cant stop crying.,ta_char_neighbor+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later fater ym second boyfrisnd, I realized I cannot feel sexual attraction (fi I have, it was vrey temporary), and ghat I am probably asexual due to the fact that I just get disgusted wiyh myself when it comws to the sex part.","It was only later fater ym second boyfrisnd, I realized I cannot feel sexual attraction (fi I have, it was vrey temporary), and ghat I am probably asexual due to the fact that I just get disgusted wiyh myself when it comws to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",ta_char_neighbor+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
I doh't liek me.,I doh't liek me.,I don't like me.,ta_char_neighbor+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I so'nt like me.,I so'nt like me.,I don't like me.,ta_char_neighbor+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
'Uve cried.,'Uve cried.,I've cried.,ta_char_neighbor+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
K've cired.,K've cired.,I've cried.,ta_char_neighbor+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_145_86_2
I began lt cry.,I began lt cry.,I began to cry.,ta_char_neighbor+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2815_1660_107
