post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that iXf I have to go to cullege alone withoot lmy family uzr any support SIm gunna end op killing myself. .. . 1m barely keeping my self alive now, I can ' t imagine bein9 all by myself and dealing with my thoughts and emotions!","I 100% know that iXf I have to go to cullege alone withoot lmy family uzr any support SIm gunna end op killing myself. .. . 1m barely keeping my self alive now, I can ' t imagine bein9 all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_ocr+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_156_366_1
"1t was unly later after my second boyfriend, 1 realized I cannot fee1 sexual attraction (if I have, it wa8 Qveky temporary ), and that 1 am probably a8exual due to the fact that I just gIet disgusted with myseXlf when it comeZs to the sex part.","1t was unly later after my second boyfriend, 1 realized I cannot fee1 sexual attraction (if I have, it wa8 Qveky temporary ), and that 1 am probably a8exual due to the fact that I just gIet disgusted with myseXlf when it comeZs to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"It was only 1ater after Xmy 8econd b0yfriend, I kealized I cannot feel sexual attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just gQet disgusted with myseGlf when it comes to the dsex part.","It was only 1ater after Xmy 8econd b0yfriend, I kealized I cannot feel sexual attraction (if I have, it was very temporary ), and that I am probably asexual due to the fact that I just gQet disgusted with myseGlf when it comes to the dsex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_ocr+ta_char_rand_ins,ANHEDONIA,0,s_716_26_15
"I worfk froHm home, and I don ' t sleep wel1 for the most part (I have insomnia and completely grely on slZeep aids, and they tend not to give you a good night ' 8 rest, which results in fatigue a few houks after waking up ), so at some point dutring the day, I usually get a little tired Xand hOave the ur9e to jost crawl into bed and finish Jmy w0rk later (which 1 could do, but staying awake and doing it right then would be better ).","I worfk froHm home, and I don ' t sleep wel1 for the most part (I have insomnia and completely grely on slZeep aids, and they tend not to give you a good night ' 8 rest, which results in fatigue a few houks after waking up ), so at some point dutring the day, I usually get a little tired Xand hOave the ur9e to jost crawl into bed and finish Jmy w0rk later (which 1 could do, but staying awake and doing it right then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_ocr+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"I work from home, and I don ' t sleep well fur the most part (I have insomnia and completely rely on msleep aids, and they tend not tto give you a tgood night ' s rest, which results in fatigue a few hours after waking up ), so at some pobint during the day, I usually get a little tiked and have the urge to just crawl into bed and tfiZnish my work later (which I could do, but stayinzg awarme and d0ing it kight then would be better ).","I work from home, and I don ' t sleep well fur the most part (I have insomnia and completely rely on msleep aids, and they tend not tto give you a tgood night ' s rest, which results in fatigue a few hours after waking up ), so at some pobint during the day, I usually get a little tiked and have the urge to just crawl into bed and tfiZnish my work later (which I could do, but stayinzg awarme and d0ing it kight then would be better ).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",nlp_ocr+ta_char_rand_ins,SLEEP_ISSUES,1,s_2292_402_1
"1 really dun ' t want to die, buit 1 crave for the world to be a moch bettek place, I crave for a sordt of 1ife where 1 feel in control for oncye, a life wheke I doBn ' t feel like I ' m being led like a horse.","1 really dun ' t want to die, buit 1 crave for the world to be a moch bettek place, I crave for a sordt of 1ife where 1 feel in control for oncye, a life wheke I doBn ' t feel like I ' m being led like a horse.","I really don't want to die, but I crave for the world to be a much better place, I crave for a sort of life where I feel in control for once, a life where I don't feel like I'm being led like a horse.",nlp_ocr+ta_char_rand_ins,SUICIDAL_THOUGHTS,1,s_1738_193_5
"It has been a rough school year for me with a lIut of changes that brought Zme to the point 0f uncontrollable crying for twu days in a row, migraines, muscle tension, and an inpability to real1y get anIy worr dune with my students.","It has been a rough school year for me with a lIut of changes that brought Zme to the point 0f uncontrollable crying for twu days in a row, migraines, muscle tension, and an inpability to real1y get anIy worr dune with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_ocr+ta_char_rand_ins,SPECIAL_CASE,1,s_1190_67_2
"It has been a rougbh school year for me with a lut obf changes that brought me to the point 0f uncontrollable crying for twu days in a row, migraines, muscle tension, and an ignability to real1y gLet any worr dune with my students.","It has been a rougbh school year for me with a lut obf changes that brought me to the point 0f uncontrollable crying for twu days in a row, migraines, muscle tension, and an ignability to real1y gLet any worr dune with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",nlp_ocr+ta_char_rand_ins,SPECIAL_CASE,1,s_1190_67_2
"It ' s basically a con8tant knowledge, that 1 ' m worthless, 1 ' m stupid, 1 ' m unlovable, nobody ever has or oevek will love me, everything I do is wrong, I ' m a Bbad human beging and I need tdo 6e dead ri9ht now.","It ' s basically a con8tant knowledge, that 1 ' m worthless, 1 ' m stupid, 1 ' m unlovable, nobody ever has or oevek will love me, everything I do is wrong, I ' m a Bbad human beging and I need tdo 6e dead ri9ht now.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",nlp_ocr+ta_char_rand_ins,WORTHLESSNESS,1,s_1483_222_18
"1t ' 8 basically a constant knowledsge, that I ' m worthless, I ' m stupid, I ' m unlovable, nobody ever has or ever will love me, everything I do iys wrong, 1 ' m a bad homan being anDd I need to be dead wri9ht now.","1t ' 8 basically a constant knowledsge, that I ' m worthless, I ' m stupid, I ' m unlovable, nobody ever has or ever will love me, everything I do iys wrong, 1 ' m a bad homan being anDd I need to be dead wri9ht now.","It's basically a constant knowledge, that I'm worthless, I'm stupid, I'm unlovable, nobody ever has or ever will love me, everything I do is wrong, I'm a bad human being and I need to be dead right now.",nlp_ocr+ta_char_rand_ins,WORTHLESSNESS,1,s_1483_222_18
"1 have struggled witRh binge seating fmok a decade, 6ut I think I ' m fina1ly recovering from that because I ' ve gune from binging 2500 + calories every other day, tko just finding a snack when I fee1 like I want to binge.","1 have struggled witRh binge seating fmok a decade, 6ut I think I ' m fina1ly recovering from that because I ' ve gune from binging 2500 + calories every other day, tko just finding a snack when I fee1 like I want to binge.","I have struggled with binge eating for a decade, but I think I'm finally recovering from that because I've gone from binging 2500+ calories every other day, to just finding a snack when I feel like I want to binge.",nlp_ocr+ta_char_rand_ins,APPETITE_CHANGE,0,s_1499_1118_9
"Occasionally I ' ve taken 25 / 50mg t0 get tu sleep at night but I ' ve definite1y never expJerienced anything on it Jbefore othek than getting drowsy. .. so, like twenty minutes later I ' m gettiMng in bed, and I turn on this whihte noise ten huour youtube video I sometimes use to help me sleep.","Occasionally I ' ve taken 25 / 50mg t0 get tu sleep at night but I ' ve definite1y never expJerienced anything on it Jbefore othek than getting drowsy. .. so, like twenty minutes later I ' m gettiMng in bed, and I turn on this whihte noise ten huour youtube video I sometimes use to help me sleep.","Occasionally I've taken 25/50mg to get to sleep at night but I've definitely never experienced anything on it before other than getting drowsy...so, like twenty minutes later I'm getting in bed, and I turn on this white noise ten hour youtube video I sometimes use to help me sleep.",nlp_ocr+ta_char_rand_ins,SLEEP_ISSUES,1,s_1965_10_8
