post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fsed so oppressed.,I fsed so oppressed.,I feel so oppressed.,nlp_spelling+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
I fesd so oppressed.,I fesd so oppressed.,I feel so oppressed.,nlp_spelling+ta_wordswap_qwerty,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I having to go to college allne without mai family our any support Im gonna end up kidding myself. .. . Im barely keeping my self alive now, I cen ' t imagine beinb all by nyself and deallng with my thoughts and emotions!","I 100% know that if I having to go to college allne without mai family our any support Im gonna end up kidding myself. .. . Im barely keeping my self alive now, I cen ' t imagine beinb all by nyself and deallng with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I having to go to college alone without mzi family our any support Im gonna end up kidding myself. .. . Im barely keepinb my self alive now, I cen ' t imagine being aol by myself and dealing with my thoughts anr emotions!","I 100% know that if I having to go to college alone without mzi family our any support Im gonna end up kidding myself. .. . Im barely keepinb my self alive now, I cen ' t imagine being aol by myself and dealing with my thoughts anr emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_spelling+ta_wordswap_qwerty,SUICIDAL_THOUGHTS,1,s_156_366_1
I camt step crying.,I camt step crying.,I cant stop crying.,nlp_spelling+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
I cant step cryihg.,I cant step cryihg.,I cant stop crying.,nlp_spelling+ta_wordswap_qwerty,DEPRESSED_MOOD,1,s_2334_738_1
"It was ojly later affter my second boyfriend, I realized I cannot feel sexual attraction (if j have, it was very temporary ), and that I am probably asexual due to tge fact that I just get disgusted witn myself whet ot comes do the sex part.","It was ojly later affter my second boyfriend, I realized I cannot feel sexual attraction (if j have, it was very temporary ), and that I am probably asexual due to tge fact that I just get disgusted witn myself whet ot comes do the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_spelling+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
"It was only later affter my second boyfriend, I realized I cannot feel sexual attraction (if j have, it was very temporary ), and that I am probably asexual due to the fact that I just uet disgusted with myself whet it comfs do the sex pqrt.","It was only later affter my second boyfriend, I realized I cannot feel sexual attraction (if j have, it was very temporary ), and that I am probably asexual due to the fact that I just uet disgusted with myself whet it comfs do the sex pqrt.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_spelling+ta_wordswap_qwerty,ANHEDONIA,0,s_716_26_15
I don't ' t loke me.,I don't ' t loke me.,I don't like me.,nlp_spelling+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
I do ' t kike me.,I do ' t kike me.,I don't like me.,nlp_spelling+ta_wordswap_qwerty,WORTHLESSNESS,1,s_2415_816_5
