post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I hate that clamant i'm crying rn.,I hate that clamant i'm crying rn.,I hate that i am crying rn.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_321_219_4
I hate ane that i'm crying rn.,I hate ane that i'm crying rn.,I hate that i am crying rn.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_321_219_4
I'm very lamentable sad.,I'm very lamentable sad.,I am very sad.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_411_1189_1
I'm very real sad.,I'm very real sad.,I am very sad.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_411_1189_1
I've low been feeling down on and off.,I've low been feeling down on and off.,I have been feeling down on and off.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2035_91_6
notion I've been feeling down on and off.,notion I've been feeling down on and off.,I have been feeling down on and off.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2035_91_6
I'm very low depressed also.,I'm very low depressed also.,I am very depressed also.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_131_822_0
I'm demoralize very depressed also.,I'm demoralize very depressed also.,I am very depressed also.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_131_822_0
I'm being tormented tortured.,I'm being tormented tortured.,I am being tortured.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,0,s_1351_120_5
I'm rack being tortured.,I'm rack being tortured.,I am being tortured.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,0,s_1351_120_5
That's all I've afterwards energy for after work.,That's all I've afterwards energy for after work.,That's all I have energy for after work.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1483_10_2
That's all I've energy for later after work.,That's all I've energy for later after work.,That's all I have energy for after work.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1483_10_2
I've no energy At at all.,I've no energy At at all.,I have no energy at all.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1455_72_50
Energy I've no energy at all.,Energy I've no energy at all.,I have no energy at all.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1455_72_50
I'm identical very tired.,I'm identical very tired.,I am very tired.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1030_1290_8
I'm very really tired.,I'm very really tired.,I am very tired.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1030_1290_8
lugubriousness I'm.. sadness,lugubriousness I'm.. sadness,I am.. sadness,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_855_1863_0
I'm.. gloominess sadness,I'm.. gloominess sadness,I am.. sadness,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_855_1863_0
rile I'm more than annoyed.,rile I'm more than annoyed.,I am more than annoyed.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_1296_12_9
I'm More more than annoyed.,I'm More more than annoyed.,I am more than annoyed.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_1296_12_9
wretched I'm worthless.,wretched I'm worthless.,I am worthless.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_2415_2_3
I'm slimy worthless.,I'm slimy worthless.,I am worthless.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_2415_2_3
Then I'd astatine get really angry at times.,Then I'd astatine get really angry at times.,Then I would get really angry at times.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_84_60_2
Then I'd get really actually angry at times.,Then I'd get really actually angry at times.,Then I would get really angry at times.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_84_60_2
I'm ATM extremely suicidal atm.,I'm ATM extremely suicidal atm.,I am extremely suicidal atm.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_2800_49_0
ATM I'm extremely suicidal atm.,ATM I'm extremely suicidal atm.,I am extremely suicidal atm.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_2800_49_0
I've already contrive planned my own suicide.,I've already contrive planned my own suicide.,I have already planned my own suicide.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_1989_742_0
I've already possess planned my own suicide.,I've already possess planned my own suicide.,I have already planned my own suicide.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_1989_742_0
And intemperately I'd cry so hard.,And intemperately I'd cry so hard.,And I would cry so hard.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2190_134_3
And I'd hence cry so hard.,And I'd hence cry so hard.,And I would cry so hard.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2190_134_3
flavor But I'm feeling miserable.,flavor But I'm feeling miserable.,But I am feeling miserable.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_2415_600_3
But I'm feeling just miserable.,But I'm feeling just miserable.,But I am feeling miserable.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_2415_600_3
I'm lamentable sad waiting.,I'm lamentable sad waiting.,I am sad waiting.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_577_923_1
I'm sad deplorable waiting.,I'm sad deplorable waiting.,I am sad waiting.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_577_923_1
I've issues in focusing return and attention.,I've issues in focusing return and attention.,I have issues in focusing and attention.,ta_contraction+ta_word_insert_syn,COGNITIVE_ISSUES,0,s_2257_110_29
I've issues care in focusing and attention.,I've issues care in focusing and attention.,I have issues in focusing and attention.,ta_contraction+ta_word_insert_syn,COGNITIVE_ISSUES,0,s_2257_110_29
I cant focus focalize and i've no energy.,I cant focus focalize and i've no energy.,I cant focus and i have no energy.,ta_contraction+ta_word_insert_syn,COGNITIVE_ISSUES,1,s_1404_729_2
I cant focus and i've bank no energy.,I cant focus and i've bank no energy.,I cant focus and i have no energy.,ta_contraction+ta_word_insert_syn,COGNITIVE_ISSUES,1,s_1404_729_2
I just don't think I'd like single to live anymore.,I just don't think I'd like single to live anymore.,I just don't think I would like to live anymore.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_2415_738_1
I just don't think I'd like to iodin live anymore.,I just don't think I'd like to iodin live anymore.,I just don't think I would like to live anymore.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_2415_738_1
miscarry I've always failed.,miscarry I've always failed.,I have always failed.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_356_95_6
I've always fail failed.,I've always fail failed.,I have always failed.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_356_95_6
I'm screwing fucking CRYING.,I'm screwing fucking CRYING.,I am fucking CRYING.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_74_207_1
hollo I'm fucking CRYING.,hollo I'm fucking CRYING.,I am fucking CRYING.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_74_207_1
I'm in a constant Indiana dilemma.,I'm in a constant Indiana dilemma.,I am in a constant dilemma.,ta_contraction+ta_word_insert_syn,COGNITIVE_ISSUES,0,s_2415_1014_1
I'm in quandary a constant dilemma.,I'm in quandary a constant dilemma.,I am in a constant dilemma.,ta_contraction+ta_word_insert_syn,COGNITIVE_ISSUES,0,s_2415_1014_1
I'm very directly lonely now.,I'm very directly lonely now.,I am very lonely now.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2415_1014_9
I'm very lonely rattling now.,I'm very lonely rattling now.,I am very lonely now.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2415_1014_9
I'm kinda angry all rather the time.,I'm kinda angry all rather the time.,I am kinda angry all the time.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_1749_859_23
I'm kinda wholly angry all the time.,I'm kinda wholly angry all the time.,I am kinda angry all the time.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_1749_859_23
I'm fag tired.,I'm fag tired.,I am tired.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_681_475_2
I'd really like some free energy right immediately now.,I'd really like some free energy right immediately now.,I would really like some free energy right now.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_969_1077_3
I'd really around like some free energy right now.,I'd really around like some free energy right now.,I would really like some free energy right now.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_969_1077_3
