post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I have cease to go to college alone without my family or any support Im gonna end up killinɡ myself....Im barely keeping my self alive now, I can't whatever imagine being all by myseⅼf and dealing with ｍy 𝚝houghts and emotions!","I 100% know that if I have cease to go to college alone without my family or any support Im gonna end up killinɡ myself....Im barely keeping my self alive now, I can't whatever imagine being all by myseⅼf and dealing with ｍy 𝚝houghts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_word_insert_syn+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I've call ϲried.,I've call ϲried.,I've cried.,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I've hollo cⲅied.,I've hollo cⲅied.,I've cried.,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I juѕt hardly sleep.,I juѕt hardly sleep.,I hardly sleep.,ta_word_insert_syn+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I just hardlу sleep.,I just hardlу sleep.,I hardly sleep.,ta_word_insert_syn+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I real aｍ very sad.,I real aｍ very sad.,I am very sad.,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I am iodin veⲅy sad.,I am iodin veⲅy sad.,I am very sad.,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
Im bore so tіred,Im bore so tіred,Im so tired,ta_word_insert_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Im so 𝚝hus tired,Im so 𝚝hus tired,Im so tired,ta_word_insert_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
I exit waոt to die,I exit waոt to die,I want to die,ta_word_insert_syn+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I exit want to dіe,I exit want to dіe,I want to die,ta_word_insert_syn+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
In the end its all my fault i inward ludіcrous should have tried harder for her not to give her away by like locking myself in a rooｍ with my cat but my IN idiotic dіsgus𝚝ing dumb self didnt so i blame myself,In the end its all my fault i inward ludіcrous should have tried harder for her not to give her away by like locking myself in a rooｍ with my cat but my IN idiotic dіsgus𝚝ing dumb self didnt so i blame myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_94_1
In the end its aⅼl my faul𝚝 i inward ludicrous should have tⲅied harder for her not to give hеr away by like locking myself in a room with my cat but my IN idiotic disgusting dumb self didnt so i blame myself,In the end its aⅼl my faul𝚝 i inward ludicrous should have tⲅied harder for her not to give hеr away by like locking myself in a room with my cat but my IN idiotic disgusting dumb self didnt so i blame myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_94_1
Iո the еnd its ɑll my fault i inward ludicrous should have tried harder for her not to give her away by like locking myself in a room with my cat but my IN idiotic disgusting dumb seⅼf didnt so i blame myself,Iո the еnd its ɑll my fault i inward ludicrous should have tried harder for her not to give her away by like locking myself in a room with my cat but my IN idiotic disgusting dumb seⅼf didnt so i blame myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_94_1
In the end its all my fault i inward ludіcrous should have tried harder for her not to give her away by like locking myself in a rooｍ with my cat but my IN idiotic dіsgus𝚝ing dumb self didnt so i blame myself,In the end its all my fault i inward ludіcrous should have tried harder for her not to give her away by like locking myself in a rooｍ with my cat but my IN idiotic dіsgus𝚝ing dumb self didnt so i blame myself,In the end its all my fault i should have tried harder for her not to give her away by like locking myself in a room with my cat but my idiotic disgusting dumb self didnt so i blame myself,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_94_1
"I was able to experience novelty and joy even if I give did still feeⅼ lonelу/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all tha𝚝s gone cause and Ive impairment just gotten buried into a depressive hole where еveryday is liveԁ robotically or ghostly.","I was able to experience novelty and joy even if I give did still feeⅼ lonelу/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all tha𝚝s gone cause and Ive impairment just gotten buried into a depressive hole where еveryday is liveԁ robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_word_insert_syn+ta_wordswap_homoglyph,ANHEDONIA,1,s_258_546_2
i do wan𝚝 to go die,i do wan𝚝 to go die,i do want to die,ta_word_insert_syn+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
i do want to gо die,i do want to gо die,i do want to die,ta_word_insert_syn+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
I cry one erуtime,I cry one erуtime,I cry erytime,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
I cry iodin erytimе,I cry iodin erytimе,I cry erytime,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
I'm quite wild ɑngry,I'm quite wild ɑngry,I'm quite angry,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I'm quite wild anɡry,I'm quite wild anɡry,I'm quite angry,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I ace was usеless.,I ace was usеless.,I was useless.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
I ace was uѕeless.,I ace was uѕeless.,I was useless.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
I am ѵery MA tired.,I am ѵery MA tired.,I am very tired.,ta_word_insert_syn+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
I am veⲅy MA tired.,I am veⲅy MA tired.,I am very tired.,ta_word_insert_syn+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
I iodin hatе myself.,I iodin hatе myself.,I hate myself.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1601_880_7
I iodin hɑte myself.,I iodin hɑte myself.,I hate myself.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1601_880_7
"I like sоcializing with people, I like to talk about what's hapрening in wisհ the day to day, have drinks, go to parties and have a good time, but I feel like a whole safe side of me is never еngaged.","I like sоcializing with people, I like to talk about what's hapрening in wisհ the day to day, have drinks, go to parties and have a good time, but I feel like a whole safe side of me is never еngaged.","I like socializing with people, I like to talk about what's happening in the day to day, have drinks, go to parties and have a good time, but I feel like a whole side of me is never engaged.",ta_word_insert_syn+ta_wordswap_homoglyph,ANHEDONIA,1,s_2958_116_21
"I like sоcializing with people, I like to talk about what's hapрening in wisհ the day to day, have drinks, go to parties and have a good time, but I feel like a whole safe side of me is never еngaged.","I like sоcializing with people, I like to talk about what's hapрening in wisհ the day to day, have drinks, go to parties and have a good time, but I feel like a whole safe side of me is never еngaged.","I like socializing with people, I like to talk about what's happening in the day to day, have drinks, go to parties and have a good time, but I feel like a whole side of me is never engaged.",ta_word_insert_syn+ta_wordswap_homoglyph,ANHEDONIA,0,s_2958_116_21
I am.. ane sadոess,I am.. ane sadոess,I am.. sadness,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_855_1863_0
I am.. ane sadnеss,I am.. ane sadnеss,I am.. sadness,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_855_1863_0
I iodin hɑte myself.,I iodin hɑte myself.,I hate myself.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2006_107_7
I iodin hate ｍyself.,I iodin hate ｍyself.,I hate myself.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2006_107_7
𝚝hus I'm so tired.,𝚝hus I'm so tired.,I'm so tired.,ta_word_insert_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_10
I'm so jade 𝚝ired.,I'm so jade 𝚝ired.,I'm so tired.,ta_word_insert_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_10
I'm so 𝚝hen tired.,I'm so 𝚝hen tired.,I'm so tired.,ta_word_insert_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_16
I'ｍ so then tired.,I'ｍ so then tired.,I'm so tired.,ta_word_insert_syn+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_16
i I  hatе myself.,i I  hatе myself.,I  hate myself.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_614_5
i I  hate mуself.,i I  hate mуself.,I  hate myself.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_614_5
Life Hadeѕ is hell.,Life Hadeѕ is hell.,Life is hell.,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_614_6
Lifе cost is hell.,Lifе cost is hell.,Life is hell.,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_614_6
"It has been a rough school year for me with a lot bear dustup of cհanges that brought me to the point of uncontrollabⅼe crying for indocile two days in a roԝ, migraines, muscle tension, and an inability to reallу get any work done with my students.","It has been a rough school year for me with a lot bear dustup of cհanges that brought me to the point of uncontrollabⅼe crying for indocile two days in a roԝ, migraines, muscle tension, and an inability to reallу get any work done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_word_insert_syn+ta_wordswap_homoglyph,SPECIAL_CASE,1,s_1190_67_2
chalk I'm 𝚝rash.,chalk I'm 𝚝rash.,I'm trash.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2130_82_12
I'm icе trash.,I'm icе trash.,I'm trash.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2130_82_12
ane I am worthⅼess.,ane I am worthⅼess.,I am worthless.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_2_3
ane I am worthlesѕ.,ane I am worthlesѕ.,I am worthless.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_2_3
I am ane hopelеss.,I am ane hopelеss.,I am hopeless.,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_2_4
ane I am hopelеss.,ane I am hopelеss.,I am hopeless.,ta_word_insert_syn+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_2_4
I iodin hatе myself.,I iodin hatе myself.,I hate myself.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_2_8
I iodin hate ｍyself.,I iodin hate ｍyself.,I hate myself.,ta_word_insert_syn+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_2_8
