post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
"I 100% know that if I have to go to college alone without mPy family or any supporAt Im gonna end up kiSlling iodin myself....Im whatever barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotiRons!","I 100% know that if I have to go to college alone without mPy family or any supporAt Im gonna end up kiSlling iodin myself....Im whatever barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotiRons!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",ta_char_rand_ins+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_156_366_1
"I was able to experience novelty aNnd jocy even if I dUid still feel loneUly/ depressed and would self harm , I had the ability tZo enjoy and feel like the real me - now all thats gone and Ive just gotten buried surgery into a see depressive hole where everyday pickle is lived robotically or ghostly.","I was able to experience novelty aNnd jocy even if I dUid still feel loneUly/ depressed and would self harm , I had the ability tZo enjoy and feel like the real me - now all thats gone and Ive just gotten buried surgery into a see depressive hole where everyday pickle is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",ta_char_rand_ins+ta_word_insert_syn,ANHEDONIA,1,s_258_546_2
"Masturbating right before ripe and also redress during sleep I feel like cits affecting my sleep quality If I wake uSp tired in the mIorning when I should go back to sleep, instead I staTrt masturbating which also affects how much rest I get.","Masturbating right before ripe and also redress during sleep I feel like cits affecting my sleep quality If I wake uSp tired in the mIorning when I should go back to sleep, instead I staTrt masturbating which also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",ta_char_rand_ins+ta_word_insert_syn,SLEEP_ISSUES,1,s_1404_1455_0
"I work from home, and I doDn't sleep well for improving the most part (I have insomnia and lcompletely relMy on sleep aids, and they tend noAt to give you a good night's rest, which results in fatigue a few hours after waking up), so at Csome point during the day, I usually Mget a little tired and have the urge to just crawl into bed and sopor finish my work awaken later (which I could do, but staying awake and set doing it right tEhen woKuld be better).","I work from home, and I doDn't sleep well for improving the most part (I have insomnia and lcompletely relMy on sleep aids, and they tend noAt to give you a good night's rest, which results in fatigue a few hours after waking up), so at Csome point during the day, I usually Mget a little tired and have the urge to just crawl into bed and sopor finish my work awaken later (which I could do, but staying awake and set doing it right tEhen woKuld be better).","I work from home, and I don't sleep well for the most part (I have insomnia and completely rely on sleep aids, and they tend not to give you a good night's rest, which results in fatigue a few hours after waking up), so at some point during the day, I usually get a little tired and have the urge to just crawl into bed and finish my work later (which I could do, but staying awake and doing it right then would be better).",ta_char_rand_ins+ta_word_insert_syn,SLEEP_ISSUES,1,s_2292_402_1
"It has been a rough schooCl year for rank me with a lot of changees that unfitness brought me to the point of uncontrollable crying for two days in a rouw, migraines, muscle tension, and an inability to really get any pwork done with my students.","It has been a rough schooCl year for rank me with a lot of changees that unfitness brought me to the point of uncontrollable crying for two days in a rouw, migraines, muscle tension, and an inability to really get any pwork done with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_word_insert_syn,SPECIAL_CASE,1,s_1190_67_2
"It has been a rough schooJl yQear for me with a dlot owf changes that ampere brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done pugnacious with my students.","It has been a rough schooJl yQear for me with a dlot owf changes that ampere brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done pugnacious with my students.","It has been a rough school year for me with a lot of changes that brought me to the point of uncontrollable crying for two days in a row, migraines, muscle tension, and an inability to really get any work done with my students.",ta_char_rand_ins+ta_word_insert_syn,SPECIAL_CASE,1,s_1190_67_2
"Some exclusively suicide attempts left mhw crying qfter all the pain and once, the thought of my mother just at Rthe other side of the door and she wakiGng me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point bof not caring anymore Hif I following can get rid of sire future this pain is becoming stronger anKd coming qcloser again.","Some exclusively suicide attempts left mhw crying qfter all the pain and once, the thought of my mother just at Rthe other side of the door and she wakiGng me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point bof not caring anymore Hif I following can get rid of sire future this pain is becoming stronger anKd coming qcloser again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_rand_ins+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_782_6_12
"Some suicide attempts left mVw crying qfter all the pain and once, the thought of my mother just at the other side of jthe door Maine and she waking me up cheerfully the next morning, but again, living for Tothevrs mcan only gTo so fqr, and this is gthe breaking point where the point of exist not caring anymore if I can get rid of entirely this pain exist is becoming stronger and coming closer again.","Some suicide attempts left mVw crying qfter all the pain and once, the thought of my mother just at the other side of jthe door Maine and she waking me up cheerfully the next morning, but again, living for Tothevrs mcan only gTo so fqr, and this is gthe breaking point where the point of exist not caring anymore if I can get rid of entirely this pain exist is becoming stronger and coming closer again.","Some suicide attempts left mw crying qfter all the pain and once, the thought of my mother just at the other side of the door and she waking me up cheerfully the next morning, but again, living for others can only go so fqr, and this is the breaking point where the point of not caring anymore if I can get rid of this pain is becoming stronger and coming closer again.",ta_char_rand_ins+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_782_6_12
"I tZried to stavy uwp longer past 3 pm yesterday but I got way too tired i and fell asleep until 11 pm and now I xcant get any sleejp since iodin Im not tired and my tics want to non come out, but I cant let them since my mom will be angry.","I tZried to stavy uwp longer past 3 pm yesterday but I got way too tired i and fell asleep until 11 pm and now I xcant get any sleejp since iodin Im not tired and my tics want to non come out, but I cant let them since my mom will be angry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_rand_ins+ta_word_insert_syn,SLEEP_ISSUES,1,s_2434_538_2
"I tZried to stavy uwp longer past whatever 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I xcant get any sleejp since pose Im merely not tired and my tics want to come out, but I cant let them since my mom will be angry.","I tZried to stavy uwp longer past whatever 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I xcant get any sleejp since pose Im merely not tired and my tics want to come out, but I cant let them since my mom will be angry.","I tried to stay up longer past 3 pm yesterday but I got way too tired and fell asleep until 11 pm and now I cant get any sleep since Im not tired and my tics want to come out, but I cant let them since my mom will be angry.",ta_char_rand_ins+ta_word_insert_syn,SLEEP_ISSUES,1,s_2434_538_2
