post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I fel so.,I fel so.,I feel so oppressed.,nlp_randword_delete+ta_char_rand_del,WORTHLESSNESS,0,s_1955_1069_2
I eel so.,I eel so.,I feel so oppressed.,nlp_randword_delete+ta_char_rand_del,WORTHLESSNESS,0,s_1955_1069_2
"I 100% know that if I have to go to college alone my family or any support onna nd up killing. .. . Im keeing my sel alive now, I can ' imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone my family or any support onna nd up killing. .. . Im keeing my sel alive now, I can ' imagine being all by myself and dealing with my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_delete+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_156_366_1
"It was only later after second boyfriend, I realized I canno sexual attraction (if I, it was very temporary ), and that I am probaly asexual due to the fact that I just disgusted ith myself t comes to the sex part.","It was only later after second boyfriend, I realized I canno sexual attraction (if I, it was very temporary ), and that I am probaly asexual due to the fact that I just disgusted ith myself t comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_delete+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
"It was only later after my second boyfriend, I realized I feel sexual attraction (if I, it was very ), nd that I m probably asexul ue the fact that I just get disgusted myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I feel sexual attraction (if I, it was very ), nd that I m probably asexul ue the fact that I just get disgusted myself when it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_delete+ta_char_rand_del,ANHEDONIA,0,s_716_26_15
I ' crie.,I ' crie.,I've cried.,nlp_randword_delete+ta_char_rand_del,DEPRESSED_MOOD,1,s_145_86_2
I ' cied.,I ' cied.,I've cried.,nlp_randword_delete+ta_char_rand_del,DEPRESSED_MOOD,1,s_145_86_2
I hadly.,I hadly.,I hardly sleep.,nlp_randword_delete+ta_char_rand_del,SLEEP_ISSUES,1,s_697_81_3
I leep.,I leep.,I hardly sleep.,nlp_randword_delete+ta_char_rand_del,SLEEP_ISSUES,1,s_697_81_3
I am ver.,I am ver.,I am very sad.,nlp_randword_delete+ta_char_rand_del,DEPRESSED_MOOD,0,s_411_1189_1
I a very.,I a very.,I am very sad.,nlp_randword_delete+ta_char_rand_del,DEPRESSED_MOOD,0,s_411_1189_1
o tired,o tired,Im so tired,nlp_randword_delete+ta_char_rand_del,FATIGUE,1,s_2434_365_0
I o die,I o die,I want to die,nlp_randword_delete+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_2118_413_1
I to di,I to di,I want to die,nlp_randword_delete+ta_char_rand_del,SUICIDAL_THOUGHTS,1,s_2118_413_1
I lst my.,I lst my.,I lost my libido.,nlp_randword_delete+ta_char_rand_del,ANHEDONIA,1,s_2904_522_5
I los my.,I los my.,I lost my libido.,nlp_randword_delete+ta_char_rand_del,ANHEDONIA,1,s_2904_522_5
"I was able to experience novelty and joy even if still feel lonely / and would harm, I hd the ability t enjoy feel like the real me - now all thats gone nd Ive just gotten buried into a depressive hole where veryday is lived robotically or ghostly.","I was able to experience novelty and joy even if still feel lonely / and would harm, I hd the ability t enjoy feel like the real me - now all thats gone nd Ive just gotten buried into a depressive hole where veryday is lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randword_delete+ta_char_rand_del,ANHEDONIA,1,s_258_546_2
"Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired te morning when I should go back to sleep, instead I masturbating which alo affects how rst get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired te morning when I should go back to sleep, instead I masturbating which alo affects how rst get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randword_delete+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating right before and also during sleep I feel like is affecting my sleep quality If I wake up tred the mornin when I should go back to sleep, instead I masturbating which also affects how rest get.","Masturbating right before and also during sleep I feel like is affecting my sleep quality If I wake up tred the mornin when I should go back to sleep, instead I masturbating which also affects how rest get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randword_delete+ta_char_rand_del,SLEEP_ISSUES,1,s_1404_1455_0
I rytime,I rytime,I cry erytime,nlp_randword_delete+ta_char_rand_del,DEPRESSED_MOOD,1,s_523_60_1
I eytime,I eytime,I cry erytime,nlp_randword_delete+ta_char_rand_del,DEPRESSED_MOOD,1,s_523_60_1
